match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_blockedScoringAttempt,captain,stat_challengeLost,stat_shotOffTarget,stat_clearanceOffLine,stat_outfielderBlock,player_sofascoreId,stat_goalAssist,stat_accurateCross,stat_totalContest,stat_bigChanceCreated,stat_keyPass,player_firstName,player_lastName,stat_wonContest,stat_onTargetScoringAttempt,stat_totalOffside,stat_goals,stat_bigChanceMissed,stat_aerialLost,stat_ownGoals
11352629,home,Brighton & Hove Albion,Bart Verbruggen,bart-verbruggen,B. Verbruggen,G,1,193,4212,M,994363,EUR,1029628800,G,1,1,False,49.0,33.0,22.0,8.0,26.0,30.0,7.0,19.0,5.0,1.0,1.0,2.0,2.0,90.0,55.0,6.2,16.0,0.0,0.0,0.00239312,0,-0.3817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352629,home,Brighton & Hove Albion,Joël Veltman,joel-veltman,J. Veltman,D,34,184,1147,M,219572,EUR,695433600,D,34,34,False,47.0,35.0,6.0,4.0,22.0,29.0,13.0,19.0,4.0,,,,,90.0,81.0,7.4,16.0,0.0,0.0,0.0127255,0,,1.0,2.0,2.0,14.0,1.0,2.0,2.0,8.0,5.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,
11352629,home,Brighton & Hove Albion,Adam Webster,adam-webster,A. Webster,D,4,191,505,M,216308,EUR,789177600,D,4,4,False,89.0,80.0,7.0,4.0,66.0,72.0,14.0,17.0,5.0,,,,,90.0,100.0,7.1,9.0,0.0652,0.0,0.0053049,1,,,2.0,1.0,4.0,,5.0,,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11352629,home,Brighton & Hove Albion,Lewis Dunk,lewis-dunk,L. Dunk,D,5,190,1911,M,115365,EUR,690681600,D,5,5,False,78.0,72.0,9.0,7.0,59.0,61.0,13.0,17.0,7.0,,,,,90.0,87.0,8.0,6.0,0.2636,0.0,0.00864659,2,,,2.0,3.0,2.0,,,2.0,,,,,1.0,1.0,True,2.0,1.0,1.0,4.0,,,,,,,,,,,,,,,
11352629,home,Brighton & Hove Albion,Pervis Estupiñán,pervis-estupinan,P. Estupiñán,D,2,175,14887,M,805465,EUR,885340800,D,30,30,False,38.0,34.0,1.0,1.0,22.0,23.0,13.0,16.0,8.0,,,,,90.0,61.0,7.1,9.0,0.0204,0.0,0.329166,1,,1.0,2.0,4.0,4.0,,2.0,1.0,1.0,,4.0,1.0,2.0,1.0,,1.0,,,1.0,pervisestupinan,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
11352629,home,Brighton & Hove Albion,Mahmoud Dahoud,mahmoud-dahoud,M. Dahoud,M,18,177,1881,M,341589,EUR,820454400,M,8,8,False,28.0,23.0,1.0,,16.0,17.0,7.0,11.0,1.0,,,,,74.0,33.0,6.9,6.0,0.03,0.0,0.0472808,1,,,,2.0,1.0,,2.0,,1.0,1.0,,,,1.0,,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,
11352629,home,Brighton & Hove Albion,Billy Gilmour,gilmour-billy,B. Gilmour,M,6,169,4342,M,907668,EUR,992217600,M,11,11,False,72.0,64.0,5.0,2.0,44.0,47.0,22.0,31.0,5.0,,,,,90.0,88.0,7.5,13.0,0.005,0.0,0.13796,1,,6.0,,5.0,4.0,,1.0,,3.0,3.0,,,1.0,,,4.0,1.0,,,billygilmour,,2.0,1.0,,4.0,,,1.0,,,,,,
11352629,home,Brighton & Hove Albion,Facundo Buonanotte,facundo-buonanotte,F. Buonanotte,M,40,174,18092,M,1117025,EUR,1103760000,M,40,40,False,13.0,10.0,,,6.0,9.0,4.0,5.0,4.0,,,,,45.0,29.0,6.6,10.0,0.0368,0.1285,0.0239291,1,,1.0,,6.0,6.0,3.0,,2.0,2.0,,2.0,4.0,2.0,,,,,,,facubuonanotte_,,,1.0,,,Facundo Buonanotte,,,1.0,,,,,
11352629,home,Brighton & Hove Albion,Danny Welbeck,danny-welbeck,D. Welbeck,F,18,185,4510,M,33902,EUR,659577600,M,18,18,False,19.0,17.0,1.0,,9.0,10.0,8.0,10.0,1.0,,,,,63.0,26.0,6.4,7.0,0.0,0.0,0.00720894,0,,1.0,,2.0,1.0,,,1.0,,,2.0,1.0,,,,,,,,,,,2.0,,1.0,,,,,,,,,
11352629,home,Brighton & Hove Albion,Simon Adingra,simon-adingra,S. Adingra,M,24,175,53010,M,1110842,EUR,1009843200,M,24,24,False,26.0,26.0,,,11.0,11.0,16.0,18.0,5.0,,,,,87.0,44.0,6.7,11.0,0.0,0.0,0.112697,0,,3.0,1.0,8.0,4.0,1.0,,2.0,,,5.0,1.0,2.0,,,2.0,,,,simon.adingra,,1.0,5.0,1.0,2.0,,,2.0,,1.0,,,,
11352629,home,Brighton & Hove Albion,Evan Ferguson,evan-ferguson,E. Ferguson,F,11,188,8346,M,999231,EUR,1098144000,F,28,28,False,8.0,6.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,,,,,45.0,16.0,6.7,6.0,0.016,0.3437,0.328555,1,,,,1.0,,1.0,1.0,,,,3.0,,,,,,,,,EvanFerguson9,,,,,1.0,,,,1.0,,,,,
