match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,stat_totalCross,stat_aerialWon,stat_duelWon,stat_totalTackle,stat_wonTackle,captain,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_shotOffTarget,stat_expectedGoals,stat_keyPass,stat_goalAssist,stat_duelLost,stat_totalContest,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_wasFouled,player_lastName,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_fouls,stat_expectedGoalsOnTarget,player_sofascoreId,stat_accurateCross,stat_aerialLost,stat_dispossessed,stat_challengeLost,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_hitWoodwork
11401903,home,SC Heerenveen,Andries Noppert,andries-noppert,A. Noppert,G,44,203,438,M,339339,EUR,765676800,G,44,44,False,32.0,20.0,22.0,10.0,13.0,16.0,7.0,16.0,10.0,2.0,3.0,90.0,39.0,7.5,12.0,0.00250816,0,0.4807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401903,home,SC Heerenveen,Oliver Braude,braude-oliver,O. Braude,D,45,174,214,M,1150061,EUR,1077321600,D,45,45,False,27.0,21.0,2.0,,18.0,20.0,3.0,8.0,10.0,,,69.0,36.0,6.9,7.0,0.0175794,0,,Oliver Braude,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401903,home,SC Heerenveen,Sven van Beek,sven-van-beek,S. v. Beek,D,22,188,75,M,309302,EUR,775353600,D,4,4,False,56.0,46.0,7.0,2.0,41.0,43.0,5.0,13.0,6.0,,,90.0,67.0,7.3,10.0,0.00352181,0,,,,2.0,3.0,1.0,,True,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
11401903,home,SC Heerenveen,Paweł Bochniewicz,pawel-bochniewicz,P. Bochniewicz,D,4,194,794,M,286097,EUR,822960000,D,5,5,False,46.0,39.0,6.0,4.0,31.0,36.0,8.0,10.0,4.0,,,90.0,56.0,7.4,7.0,0.0164096,1,,,,3.0,5.0,2.0,2.0,,5.0,,,1.0,0.1769,1.0,,,,,,,,,,,,,,,,,,,,,
11401903,home,SC Heerenveen,Mats Köhlert,mats-kohlert,M. Köhlert,D,27,168,173,M,794998,EUR,894067200,D,7,7,False,37.0,27.0,4.0,1.0,18.0,23.0,9.0,18.0,3.0,,,90.0,57.0,7.2,18.0,0.533093,0,,,4.0,2.0,3.0,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
11401903,home,SC Heerenveen,Luuk Brouwers,luuk-brouwers,L. Brouwers,M,8,180,141,M,794014,EUR,894153600,M,28,28,False,13.0,10.0,1.0,1.0,4.0,6.0,6.0,7.0,1.0,,,77.0,27.0,9.1,4.0,0.0154624,6,,,,1.0,8.0,3.0,1.0,,,,,2.0,0.8151,,,2.0,2.0,,,3.0,,1.0,4.0,2.0,1.0,1.1867,,,,,,,,,
11401903,home,SC Heerenveen,Thom Haye,thom-haye,T. Haye,M,33,187,10984,M,149666,EUR,792288000,M,33,33,False,60.0,54.0,7.0,6.0,37.0,40.0,22.0,26.0,11.0,,,90.0,79.0,7.6,11.0,0.121985,2,,,6.0,,2.0,2.0,2.0,,1.0,,1.0,1.0,0.0384,3.0,,6.0,2.0,,1.0,,,,1.0,,2.0,0.0893,thomhaye,5.0,1.0,1.0,,,,,
11401903,home,SC Heerenveen,Simon Olsson,simon-olsson,S. Olsson,M,10,185,159,M,850851,EUR,874195200,M,19,19,False,42.0,31.0,2.0,2.0,14.0,16.0,17.0,26.0,8.0,,,90.0,57.0,7.0,18.0,0.307926,0,,,,2.0,3.0,1.0,,,,,2.0,,,4.0,1.0,11.0,3.0,1.0,2.0,,,,,,4.0,,,,1.0,1.0,2.0,,,,
11401903,home,SC Heerenveen,Patrik Wålemark,patrik-walemark,P. Wålemark,M,10,184,585,M,1014588,EUR,1003017600,F,24,24,False,11.0,6.0,2.0,,4.0,5.0,2.0,6.0,4.0,,,77.0,30.0,6.7,9.0,0.0009621,4,,,,,5.0,2.0,1.0,,,1.0,,2.0,0.7206,,,5.0,4.0,,1.0,1.0,,2.0,1.0,,,0.0393,,,1.0,,2.0,1.0,1.0,,
11401903,home,SC Heerenveen,Pelle van Amersfoort,pelle-van-amersfoort,P. v. Amersfoort,F,9,193,129,M,318585,EUR,828316800,F,11,11,False,20.0,4.0,,,2.0,4.0,2.0,16.0,,,,69.0,25.0,6.7,19.0,0.00044595,1,,,,9.0,9.0,,,,,,,1.0,0.0711,,,5.0,,,3.0,,,,,,1.0,,,,4.0,,,,,,
