match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_fouls,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_shotOffTarget,stat_shotValueNormalized,player_firstName,stat_bigChanceCreated,stat_wonTackle,stat_unsuccessfulTouch,stat_totalOffside,stat_keyPass,stat_dispossessed,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,player_lastName,stat_bigChanceMissed,stat_hitWoodwork
14585931,home,Fortuna Düsseldorf,Florian Kastenmeier,florian-kastenmeier,F. Kastenmeier,G,33,191,163,M,795024,EUR,867456000,G,33,33,False,True,47.0,37.0,16.0,6.0,0.0,31.0,32.0,6.0,15.0,1.0,11.0,2.0,1.0,4.0,1.0,1.0,1.0,90.0,59.0,6.4,10.0,0.2217,0,0.1,0.02,-0.22,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14585931,home,Fortuna Düsseldorf,Matthias Zimmermann,matthias-zimmermann,M. Zimmermann,D,25,178,71,M,82240,EUR,708652800,D,25,25,False,,29.0,21.0,5.0,1.0,0.0,8.0,9.0,13.0,20.0,,2.0,,,,,,,53.0,49.0,6.4,13.0,,0,0.27,0.01,-0.22,,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14585931,home,Fortuna Düsseldorf,Tim Christopher Oberdorf,tim-christopher-oberdorf,T. C. Oberdorf,D,15,185,74,M,844199,EUR,840153600,D,15,15,False,,68.0,62.0,6.0,2.0,0.0,37.0,38.0,25.0,30.0,1.0,7.0,,,,,,,90.0,77.0,6.0,6.0,,1,0.28,0.09,-0.41,,,,7.0,2.0,,2.0,3.0,1.0,,4.0,2.0,1.0,1.0,1.0,-0.16,,,,,,,,,,,,,,
14585931,home,Fortuna Düsseldorf,Jesper Daland,jesper-daland,J. Daland,D,2,188,223,M,958915,EUR,947116800,D,2,2,False,,58.0,56.0,5.0,4.0,0.0,34.0,35.0,22.0,23.0,3.0,8.0,,,,,,,90.0,65.0,6.4,2.0,,0,0.14,0.06,-0.3,,,,3.0,1.0,,1.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14585931,home,Fortuna Düsseldorf,Kenneth Schmidt,kenneth-schmidt,K. Schmidt,D,4,186,130,M,1063364,EUR,1023062400,D,4,4,False,,29.0,24.0,1.0,,1.0,12.0,16.0,12.0,13.0,3.0,3.0,,,,,,,78.0,43.0,7.4,8.0,,0,0.65,0.04,-0.26,,,,1.0,5.0,,,1.0,1.0,1.0,1.0,,3.0,,,,Kenneth Schmidt,1.0,1.0,2.0,1.0,1.0,,,,,,,,
14585931,home,Fortuna Düsseldorf,Anouar El Azzouzi,anouar-el-azzouzi,A. E. Azzouzi,M,8,181,517,M,1021104,EUR,991094400,M,8,8,False,,49.0,34.0,6.0,4.0,0.0,10.0,10.0,24.0,39.0,,5.0,,,,,,,90.0,68.0,6.9,26.0,,3,0.08,0.33,-0.27,,4.0,,13.0,6.0,5.0,1.0,1.0,1.0,,5.0,1.0,4.0,2.0,,0.4,,,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,,,
14585931,home,Fortuna Düsseldorf,Tim Breithaupt,tim-breithaupt,T. Breithaupt,M,6,192,115,M,1049177,EUR,1013040000,M,6,6,False,,48.0,38.0,2.0,1.0,0.0,14.0,19.0,24.0,29.0,4.0,8.0,,,,,,,90.0,62.0,7.2,11.0,,2,0.15,0.08,-0.09,,,,4.0,11.0,,,,1.0,3.0,1.0,3.0,7.0,,,0.01,,,1.0,1.0,,1.0,,,,2.0,,,,
14585931,home,Fortuna Düsseldorf,Christian Rasmussen,kjelder-rasmussen-christian,C. Rasmussen,F,10,184,577,M,996989,EUR,1042934400,M,10,10,False,,22.0,16.0,2.0,1.0,0.0,2.0,2.0,14.0,20.0,,1.0,,,,,,,79.0,42.0,6.8,19.0,,3,0.43,0.24,-0.14,,3.0,,7.0,4.0,6.0,,,1.0,1.0,2.0,,1.0,,,0.08,,1.0,1.0,4.0,,2.0,1.0,1.0,1.0,2.0,,,,
14585931,home,Fortuna Düsseldorf,Shinta Karl Appelkamp,appelkamp-shinta-karl,S. K. Appelkamp,M,23,175,391,M,980466,EUR,973036800,M,23,23,False,,49.0,40.0,4.0,4.0,0.0,15.0,16.0,25.0,33.0,,3.0,,,,,,,90.0,59.0,6.4,10.0,,2,-0.01,0.2,-0.26,,,,3.0,2.0,1.0,,1.0,1.0,,2.0,1.0,,1.0,1.0,-0.16,,,1.0,,,3.0,,1.0,,1.0,,,,
14585931,home,Fortuna Düsseldorf,Florent Muslija,florent-muslija,F. Muslija,M,24,172,809,M,882019,EUR,899683200,M,24,24,False,,40.0,37.0,4.0,2.0,0.0,9.0,9.0,28.0,31.0,,4.0,,,,,,,90.0,57.0,6.2,14.0,,1,0.25,0.14,-0.13,,6.0,1.0,9.0,1.0,3.0,,,1.0,,1.0,4.0,,1.0,,-0.15,,,1.0,,,4.0,,,1.0,,,,,
