match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_challengeLost,stat_shotOffTarget,stat_unsuccessfulTouch,stat_dispossessed,stat_totalContest,stat_wonContest,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_totalOffside,captain,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox
11450153,home,Samsunspor,Okan Kocuk,okan-kocuk,O. Koçuk,G,1,187.0,289,M,190179,EUR,806803200,G,1,1,False,25.0,12.0,21.0,8.0,6.0,9.0,6.0,16.0,2.0,7.0,3.0,1.0,1.0,1.0,90.0,32.0,7.2,14.0,0.00205342,0,0.2804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450153,home,Samsunspor,Zeki Yavru,zeki-yavru,Z. Yavru,D,18,178.0,204,M,140735,EUR,684028800,D,18,18,False,23.0,16.0,2.0,,8.0,12.0,9.0,12.0,2.0,4.0,,,,,70.0,37.0,8.2,10.0,0.276252,1,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0352,0.0216,1.0,,,,,,,,,,,,,,,,,,
11450153,home,Samsunspor,Ľubomír Šatka,ubomir-satka,Ľ. Šatka,D,37,185.0,293,M,187231,EUR,817862400,D,37,37,False,35.0,26.0,7.0,3.0,13.0,14.0,13.0,21.0,4.0,6.0,,,,,90.0,47.0,7.5,9.0,0.00579502,0,,,,,1.0,2.0,5.0,,,,3.0,3.0,,,,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,
11450153,home,Samsunspor,Alim Öztürk,alim-ozturk,A. Öztürk,D,5,190.0,29,M,151074,EUR,721958400,D,5,5,False,44.0,28.0,13.0,5.0,18.0,21.0,10.0,23.0,4.0,8.0,,,,,90.0,51.0,7.0,16.0,0.0291962,0,,,,,2.0,2.0,3.0,,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,
11450153,home,Samsunspor,Marc Bola,marc-bola,M. Bola,D,16,185.0,264,M,862083,EUR,881625600,D,16,16,False,31.0,15.0,5.0,,5.0,11.0,10.0,20.0,3.0,4.0,,,,,90.0,67.0,7.8,19.0,0.0124269,1,,,,,1.0,1.0,8.0,,,,7.0,4.0,1.0,0.0277,,,,1.0,3.0,,,1.0,1.0,,,,,,,,,,,
11450153,home,Samsunspor,Taylan Antalyalı,taylan-antalyali,T. Antalyalı,M,14,180.0,286,M,190197,EUR,789523200,M,48,48,False,24.0,18.0,3.0,1.0,7.0,8.0,11.0,17.0,,9.0,,,,,70.0,35.0,6.8,11.0,0.0255316,0,,,1.0,,2.0,4.0,6.0,,,,1.0,,,,,1.0,1.0,,1.0,,1.0,,2.0,2.0,3.0,3.0,,,,,,,,
11450153,home,Samsunspor,Flavien Tait,flavien-tait,F. Tait,M,,175.0,101,M,312388,EUR,728611200,M,13,13,False,34.0,30.0,,,16.0,17.0,14.0,17.0,1.0,7.0,,,,,81.0,49.0,7.0,8.0,0.0215112,1,,,,,1.0,1.0,3.0,,,,1.0,,,0.0863,,1.0,,,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,,
11450153,home,Samsunspor,Emre Kılınç,emre-kilinc,E. Kılınç,M,11,174.0,320,M,202032,EUR,777600000,M,11,11,False,15.0,9.0,2.0,,,1.0,10.0,16.0,1.0,4.0,,,,,61.0,30.0,6.9,10.0,0.0216652,1,,,2.0,1.0,,4.0,2.0,,,,,,,0.0438,,,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,
11450153,home,Samsunspor,Carlo Holse,carlo-holse,C. Holse,M,21,177.0,633,M,837012,EUR,928281600,M,21,21,False,30.0,22.0,,,6.0,8.0,16.0,22.0,,2.0,,,,,90.0,52.0,7.2,16.0,0.0551734,1,,,,,3.0,7.0,10.0,,1.0,,4.0,1.0,,0.0606,0.158,2.0,2.0,,,3.0,,,2.0,2.0,4.0,1.0,,,,1.0,,,,
11450153,home,Samsunspor,Moryke Fofana,moryke-fofana,M. Fofana,M,7,182.0,112,M,269199,EUR,690854400,M,7,7,False,19.0,14.0,2.0,2.0,4.0,5.0,10.0,14.0,,5.0,,,,,60.0,32.0,7.4,10.0,0.107661,1,,,,,,2.0,3.0,1.0,,,1.0,1.0,,0.0623,,2.0,,,1.0,1.0,,1.0,3.0,1.0,2.0,1.0,,,,,True,,,
