match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_aerialLost,stat_bigChanceCreated,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_sofascoreId,captain,stat_hitWoodwork,stat_wasFouled,stat_blockedScoringAttempt,stat_totalOffside,stat_goals,stat_goodHighClaim,stat_punches,stat_errorLeadToAGoal
12117317,home,Bahia,Adriel,Adriel,,adriel,Adriel,G,1,195,392,M,1106840,EUR,979430400,G,23,23,False,29.0,25.0,6.0,2.0,0.0,24.0,25.0,1.0,4.0,9.0,2.0,2.0,1.0,1.0,90.0,36.0,6.9,4.0,0.00033227,0,-0.3483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117317,home,Bahia,Gilberto,,,gilberto,Gilberto,D,2,181,1500,M,261687,EUR,731462400,D,2,2,False,73.0,68.0,2.0,1.0,0.0,29.0,31.0,39.0,49.0,3.0,,,,,69.0,103.0,6.7,15.0,0.027096,3,,7.0,1.0,5.0,7.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,0.17,0.5476,,,,,,,,,,,,,,,,,,
12117317,home,Bahia,Gabriel Xavier,Gabriel Xavier,,gabriel-xavier,G. Xavier,D,3,190,1259,M,1117710,EUR,989107200,D,3,3,False,101.0,97.0,4.0,3.0,0.0,56.0,57.0,42.0,46.0,3.0,,,,,90.0,118.0,7.8,7.0,0.311848,1,,2.0,6.0,5.0,9.0,1.0,,,,,1.0,,1.0,3.0,2.0,0.0578,,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,
12117317,home,Bahia,Kanu,,,kanu,Kanu,D,4,186,926,M,871705,EUR,857692800,D,4,4,False,103.0,99.0,5.0,4.0,0.0,49.0,50.0,50.0,53.0,7.0,,,,,90.0,109.0,7.1,6.0,0.0284731,1,,,3.0,5.0,5.0,,1.0,1.0,,,1.0,,,2.0,2.0,0.1761,,,3.0,,,,,,,,,,,,,,,,
12117317,home,Bahia,Luciano Juba,,,luciano-juba,L. Juba,D,46,176,3659,M,1017264,EUR,935884800,D,46,46,False,80.0,75.0,6.0,5.0,0.0,26.0,28.0,49.0,57.0,5.0,,,,,90.0,96.0,7.5,11.0,0.0604111,2,,5.0,1.0,,3.0,,,,,,2.0,,,2.0,,0.0498,,,,1.0,,,,,2.0,,,,,,,,,,
12117317,home,Bahia,Everton Ribeiro,,,everton-ribeiro,E. Ribeiro,M,10,174,5845,M,145063,EUR,608169600,M,10,10,False,70.0,62.0,2.0,1.0,0.0,10.0,11.0,54.0,66.0,7.0,,,,,90.0,93.0,7.3,20.0,0.413065,1,,7.0,,5.0,5.0,,2.0,3.0,,,,1.0,,2.0,1.0,0.1837,0.7014,2.0,,,,,2.0,,2.0,evertonri,True,1.0,3.0,,,,,,
12117317,home,Bahia,Caio Alexandre,,,caio-alexandre,C. Alexandre,M,19,174,1777,M,1008832,EUR,919814400,M,19,19,False,78.0,77.0,3.0,2.0,0.0,22.0,22.0,55.0,57.0,2.0,,,,,79.0,87.0,7.5,3.0,0.285418,1,,1.0,,5.0,2.0,2.0,,,,,,,,1.0,,0.0243,,,2.0,1.0,,,1.0,1.0,4.0,,,,1.0,1.0,,,,,
12117317,home,Bahia,Jean Lucas,,,jean-lucas,J. Lucas,M,6,181,3752,M,927975,EUR,898473600,M,6,6,False,26.0,21.0,2.0,1.0,0.0,7.0,8.0,14.0,19.0,2.0,,,,,79.0,36.0,6.9,9.0,0.0149669,4,,1.0,,5.0,1.0,,2.0,,,,3.0,1.0,,1.0,1.0,0.2666,0.0528,,1.0,,,,1.0,2.0,,,,,,,,,,,
12117317,home,Bahia,Ademir,,,ademir,Ademir,F,7,172,1700,M,922546,EUR,792892800,F,7,7,False,36.0,31.0,,,0.0,5.0,5.0,28.0,41.0,4.0,,,,,79.0,69.0,7.7,19.0,0.127982,2,,10.0,,6.0,10.0,,1.0,6.0,3.0,,,1.0,,4.0,2.0,0.0467,0.024,2.0,2.0,,,,1.0,,3.0,,,,3.0,1.0,,,,,
12117317,home,Bahia,Luciano Rodríguez,,,luciano-rodriguez,L. Rodríguez,F,19,179,4244,M,1099361,EUR,1058313600,F,17,17,False,11.0,9.0,2.0,2.0,0.0,2.0,2.0,7.0,12.0,2.0,,,,,90.0,31.0,6.6,13.0,0.06533,2,,3.0,,8.0,3.0,1.0,1.0,2.0,,1.0,,2.0,,,,0.3649,1.0217,,4.0,,,,4.0,,2.0,,,,3.0,,,,,,
