match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_aerialLost,stat_totalCross,stat_interceptionWon,stat_lastManTackle,player_firstName,stat_accurateCross,stat_blockedScoringAttempt,captain,stat_wonContest,player_lastName,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_bigChanceCreated,stat_errorLeadToAGoal
12436585,home,Arsenal,David Raya,david-raya,D. Raya,G,1,183,26174,M,d_raya1,581310,EUR,811123200,G,22,22,False,28.0,10.0,22.0,6.0,0.0,5.0,8.0,5.0,20.0,3.0,4.0,2.0,11.0,3.0,1.0,2.0,4.0,5.0,1.0,2.0,2.0,90.0,45.0,8.1,18.0,0.00974352,1.0,0,1.9414,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436585,home,Arsenal,Ben White,benjamin-white,B. White,D,4,186,13830,M,benwhite,846036,EUR,876268800,D,4,4,False,32.0,29.0,1.0,,0.0,8.0,8.0,21.0,24.0,,1.0,4.0,5.0,,,,,,,,,90.0,57.0,7.2,11.0,0.0216362,,1,,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0195,,,,,,,,,,,,,,,,
12436585,home,Arsenal,William Saliba,william-saliba,W. Saliba,D,2,193,43258,M,WSaliba4,941168,EUR,985392000,D,2,2,False,30.0,28.0,,,0.0,14.0,16.0,14.0,14.0,1.0,1.0,2.0,4.0,1.0,,,,,,,,45.0,34.0,6.5,2.0,0.00461342,,0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
12436585,home,Arsenal,Jakub Kiwior,kiwior-jakub,J. Kiwior,D,4,189,15163,M,j_kiwior,976037,EUR,950572800,D,15,15,False,44.0,41.0,2.0,1.0,0.0,20.0,20.0,21.0,25.0,2.0,6.0,11.0,4.0,,,,,,,,,90.0,68.0,8.3,4.0,0.0239389,2.0,0,,3.0,,,,,2.0,4.0,1.0,,1.0,,2.0,1.0,2.0,1.0,,,,,,,,,,,,
12436585,home,Arsenal,Myles Lewis-Skelly,lewis-skelly-myles,M. Lewis-Skelly,D,49,178,16151,M,myleslewisskelly,1423711,EUR,1159228800,D,49,49,False,42.0,38.0,3.0,,0.0,10.0,11.0,30.0,33.0,2.0,4.0,2.0,3.0,,2.0,,,,,,,90.0,60.0,7.2,6.0,0.0318275,1.0,1,,2.0,1.0,1.0,,,,,,,,0.0377,,2.0,1.0,,Myles Lewis-Skelly,2.0,1.0,,,,,,,,,
12436585,home,Arsenal,Martin Ødegaard,martin-odegaard,M. Ødegaard,M,8,178,78911,M,Ødegaard,547410,EUR,913852800,M,8,8,False,44.0,36.0,5.0,3.0,1.0,7.0,8.0,29.0,38.0,,1.0,1.0,3.0,,,,,,,,,89.0,56.0,7.4,14.0,0.0379725,4.0,1,,4.0,,1.0,2.0,1.0,,,,2.0,2.0,0.0253,,2.0,1.0,,,,,True,1.0,,,,,,,
12436585,home,Arsenal,Thomas Partey,thomas-partey,T. Partey,M,16,185,42575,M,TPartey5,316148,EUR,739929600,M,5,5,False,50.0,41.0,8.0,4.0,0.0,14.0,17.0,27.0,33.0,1.0,5.0,,4.0,,1.0,,,,,,,90.0,62.0,7.0,11.0,0.0223569,1.0,2,,7.0,1.0,1.0,,,1.0,3.0,2.0,1.0,1.0,0.2363,4.0,,1.0,,,,1.0,,,,1.0,1.0,0.67,,,
12436585,home,Arsenal,Declan Rice,declan-rice,D. Rice,M,41,188,64734,M,DeclanRice,856714,EUR,916272000,M,41,41,False,25.0,21.0,3.0,2.0,0.0,12.0,14.0,10.0,15.0,4.0,6.0,3.0,5.0,,,,,,,,,90.0,40.0,7.8,8.0,0.0166626,,2,,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,0.0904,1.0,4.0,,,,1.0,,,1.0,,,2.0,0.6113,1.0,,
12436585,home,Arsenal,Bukayo Saka,bukayo-saka,B. Saka,F,7,178,182271,M,BSaka7,934235,EUR,999648000,F,7,7,False,31.0,23.0,1.0,1.0,0.0,6.0,7.0,19.0,28.0,1.0,7.0,,2.0,,1.0,,,,,,,76.0,46.0,7.7,13.0,0.277453,2.0,2,,2.0,,,2.0,,,4.0,2.0,1.0,,0.0637,1.0,4.0,,,,2.0,1.0,,1.0,,,1.0,0.0652,,1.0,
12436585,home,Arsenal,Leandro Trossard,leandro-trossard,L. Trossard,F,19,172,31477,M,leandrotrossard,135666,EUR,786499200,F,19,19,False,40.0,33.0,1.0,,0.0,9.0,9.0,24.0,32.0,,8.0,1.0,6.0,,1.0,,,,,,,88.0,69.0,6.9,21.0,0.052279,1.0,1,,10.0,,4.0,8.0,,,2.0,1.0,6.0,1.0,0.0487,2.0,1.0,,,,,1.0,,5.0,,,,,,,
