match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_shotOffTarget,stat_expectedGoals,stat_blockedScoringAttempt,stat_totalContest,stat_wonContest,stat_lastManTackle,stat_wonTackle,stat_wasFouled,captain,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_accurateCross,player_sofascoreId,stat_bigChanceMissed,stat_goals,stat_bigChanceCreated
11409023,home,SC Farense,Ricardo Velho,ricardo-velho,R. Velho,G,24,188,499,M,845792,EUR,903571200,G,33,33,False,34.0,26.0,16.0,8.0,18.0,18.0,8.0,16.0,2.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,90.0,48.0,7.1,9.0,0.00538004,0,0.4335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409023,home,SC Farense,Pastor,pastor,Pastor,D,2,176,138,M,1046354,EUR,951004800,D,28,28,False,24.0,16.0,1.0,1.0,9.0,12.0,7.0,15.0,,2.0,2.0,2.0,,,,,66.0,52.0,6.9,14.0,0.0125404,0,,3.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
11409023,home,SC Farense,Gonçalo Silva,goncalo-silva,G. Silva,D,37,184,75,M,169729,EUR,675993600,D,37,37,False,45.0,34.0,15.0,8.0,27.0,32.0,7.0,14.0,3.0,4.0,3.0,3.0,,,,,90.0,56.0,6.8,12.0,0.00300009,1,,1.0,5.0,,,1.0,1.0,,,,4.0,1.0,1.0,0.091,,,,,,,,,,,,,,,,,
11409023,home,SC Farense,Zach Muscat,zach-muscat,Z. Muscat,D,22,184,90,M,97622,EUR,745977600,D,6,6,False,54.0,41.0,7.0,1.0,37.0,41.0,4.0,13.0,2.0,3.0,5.0,1.0,,,,,90.0,66.0,6.8,13.0,0.00147054,1,,,1.0,,1.0,2.0,1.0,,,,1.0,,,0.0666,1.0,,,,,,,,,,,,,,,,
11409023,home,SC Farense,Talocha,talocha,Talocha,D,31,180,43,M,778216,EUR,620438400,D,31,31,False,28.0,20.0,5.0,1.0,13.0,13.0,7.0,20.0,,7.0,2.0,2.0,,,,,83.0,52.0,7.1,17.0,0.00418954,0,,5.0,4.0,,,,5.0,2.0,2.0,,1.0,1.0,,,,1.0,1.0,1.0,4.0,1.0,,,,,,,,,,,
11409023,home,SC Farense,Fabrício Isidoro,fabricio-isidoro,F. Isidoro,M,14,172,31,M,915638,EUR,696556800,M,14,14,False,47.0,39.0,7.0,4.0,18.0,22.0,21.0,26.0,1.0,2.0,1.0,8.0,,,,,90.0,58.0,6.7,11.0,0.0168466,0,,1.0,5.0,,1.0,,,1.0,2.0,,1.0,2.0,,,,1.0,,,,1.0,True,,,,,,,,,,
11409023,home,SC Farense,Facundo Cáseres,facundo-caseres,F. Cáseres,M,5,178,226,M,989837,EUR,991008000,M,5,5,False,26.0,22.0,,,15.0,18.0,7.0,8.0,1.0,6.0,,3.0,,,,,66.0,39.0,7.2,5.0,0.0031181,0,,,3.0,,3.0,1.0,3.0,1.0,,,1.0,2.0,,,,,,,2.0,2.0,,,,,,,,,,,
11409023,home,SC Farense,Elves Baldé,elves-balde,E. Baldé,F,21,168,195,M,846040,EUR,938822400,M,7,7,False,17.0,11.0,4.0,3.0,3.0,6.0,8.0,19.0,2.0,6.0,,5.0,,,,,90.0,52.0,6.7,23.0,0.0596743,1,,8.0,6.0,1.0,,,1.0,5.0,2.0,,1.0,,1.0,0.0253,,3.0,1.0,,,2.0,,,,,,,,,,,
11409023,home,SC Farense,Mattheus,mattheus,Mattheus,M,,182,151,M,243575,EUR,773539200,M,27,27,False,9.0,9.0,,,6.0,6.0,3.0,3.0,,3.0,,,,,,,36.0,17.0,5.8,,0.00192687,1,,,4.0,,,1.0,2.0,,2.0,,2.0,,,0.0335,,,,,2.0,1.0,,,,1.0,0.3121,,,,,,
11409023,home,SC Farense,Rafael Barbosa,rafael-barbosa,R. Barbosa,M,27,170,124,M,823128,EUR,828057600,M,8,8,False,13.0,8.0,2.0,,4.0,8.0,4.0,7.0,,5.0,,7.0,,,,,55.0,23.0,6.7,8.0,0.00602717,1,,2.0,3.0,,,,1.0,,,,1.0,1.0,1.0,0.0749,,2.0,1.0,,1.0,3.0,,,,,,,,,,,
11409023,home,SC Farense,Bruno Duarte,bruno-duarte,B. Duarte,F,17,182,1470,M,878830,EUR,827625600,F,9,9,False,7.0,1.0,2.0,1.0,,,1.0,8.0,3.0,6.0,,1.0,,,,,45.0,13.0,6.9,7.0,0.00287699,0,,1.0,2.0,,,,1.0,,,1.0,2.0,,,,,,,,1.0,2.0,,,,,,1.0,,,,,
