match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,captain,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_fouls,stat_challengeLost,stat_bigChanceCreated,stat_dispossessed,stat_wonContest,stat_penaltyWon,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_goals,stat_penaltyFaced,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock,stat_lastManTackle,stat_penaltyConceded
14131906,home,Gil Vicente,Andrew,andrew,Andrew,G,42,189,2669,M,947893,EUR,993945600,G,42,42,False,27.0,14.0,19.0,6.0,0.0,10.0,12.0,4.0,15.0,5.0,3.0,3.0,90.0,32.0,7.0,13.0,0.00130971,0.5678,0,0.364,0.04,-0.07,0.18,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131906,home,Gil Vicente,Zé Carlos,ze-carlos,Z. Carlos,D,2,177,69,M,1001662,EUR,901843200,D,2,2,False,43.0,27.0,10.0,2.0,0.0,13.0,19.0,14.0,24.0,3.0,,,80.0,67.0,7.6,25.0,0.110408,,1,,0.56,0.22,0.13,,Zé,Carlos,True,3.0,1.0,5.0,1.0,7.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0146,2.0,-0.12,,,,,,,,,,,,,,,,,,,,
14131906,home,Gil Vicente,Marvin Elimbi,marvin-elimbi,M. Elimbi,D,4,186,83,M,1114164,EUR,1045699200,D,4,4,False,31.0,25.0,7.0,3.0,0.0,17.0,19.0,8.0,12.0,3.0,,,90.0,51.0,6.9,7.0,0.00454991,,3,,0.05,0.03,0.46,,Marvin,Elimbi,,1.0,,2.0,5.0,3.0,,3.0,10.0,,1.0,,,,0.2946,,-0.6,4.0,1.0,,,,,,,,,,,,,,,,,,
14131906,home,Gil Vicente,Jonathan Buatu,jonathan-buatu-mananga,J. Buatu,D,39,187,415,M,800348,EUR,749088000,D,39,39,False,36.0,27.0,8.0,3.0,0.0,20.0,22.0,7.0,14.0,2.0,,,90.0,39.0,6.7,9.0,0.00276825,,0,,0.04,0.03,0.13,,,,,,,1.0,3.0,2.0,,,1.0,,1.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,
14131906,home,Gil Vicente,Ghislain Konan,ghislain-konan,G. Konan,D,3,176,2821,M,831781,EUR,820022400,D,3,3,False,37.0,32.0,9.0,7.0,0.0,14.0,15.0,18.0,22.0,5.0,,,90.0,60.0,7.4,12.0,0.382835,,0,,0.51,0.17,-0.1,,Ghislain,Konan,,2.0,1.0,,5.0,2.0,3.0,,1.0,,1.0,,,1.0,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14131906,home,Gil Vicente,Facundo Cáseres,facundo-caseres,F. Cáseres,M,5,178,226,M,989837,EUR,991008000,M,5,5,False,18.0,15.0,3.0,1.0,0.0,11.0,11.0,4.0,7.0,4.0,,,72.0,31.0,6.8,3.0,0.00545384,,1,,0.07,0.04,0.21,,,,,,,1.0,8.0,9.0,,1.0,,1.0,6.0,4.0,,2.0,0.1145,,-0.11,2.0,6.0,,,,,,,,,,,,,,,,,,
14131906,home,Gil Vicente,Luís Esteves,luis-esteves,L. Esteves,M,10,171,237,M,1097527,EUR,892080000,M,10,10,False,45.0,33.0,8.0,5.0,0.0,13.0,15.0,20.0,30.0,6.0,,,90.0,69.0,7.4,25.0,0.0795456,,0,,0.34,0.17,-0.03,,Luís,Esteves,,5.0,,,10.0,6.0,3.0,,1.0,2.0,2.0,2.0,3.0,3.0,,1.0,,,3.0,3.0,,2.0,1.0,1.0,,,,,,,,,,,,,
14131906,home,Gil Vicente,Murilo Souza,murilo-souza,M. Souza,F,77,176,196,M,611880,EUR,783561600,M,77,77,False,16.0,14.0,3.0,3.0,0.0,3.0,3.0,11.0,13.0,5.0,,,79.0,40.0,6.6,13.0,0.0768807,,5,,0.25,0.24,0.13,,,,,3.0,1.0,,7.0,5.0,8.0,3.0,1.0,,1.0,1.0,3.0,,0.5275,1.0,-0.62,1.0,,,,2.0,4.0,,1.0,1.0,1.0,0.223,,,,,,,,,
14131906,home,Gil Vicente,Santi García,santi-garcia,S. García,M,95,184,131,M,1084746,EUR,999043200,M,95,95,False,28.0,20.0,4.0,2.0,0.0,6.0,7.0,14.0,21.0,6.0,,,90.0,61.0,6.8,27.0,0.0101147,,1,,-0.09,0.17,0.22,,,,,1.0,,5.0,14.0,11.0,1.0,,,,4.0,3.0,4.0,2.0,0.0428,,-0.12,7.0,1.0,,,6.0,1.0,,,,1.0,,,,,,,,,,
14131906,home,Gil Vicente,Agustín Moreira,moreira-agustin,A. Moreira,M,27,174,68,M,1799336,EUR,991008000,M,27,27,False,12.0,10.0,,,0.0,2.0,2.0,8.0,10.0,2.0,,,55.0,23.0,6.4,8.0,0.00791598,,1,,-0.18,0.14,0.15,,Agustín,Moreira,,1.0,,,5.0,2.0,,1.0,,1.0,2.0,2.0,2.0,,0.0908,,-0.06,2.0,,,,3.0,,,,,,,1.0,,,,,,,,
