match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_lastManTackle,stat_totalTackle,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_fouls,stat_shotOffTarget,stat_goals,stat_errorLeadToAShot,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_bigChanceCreated,player_sofascoreId
12528276,home,Eyüpspor,Berke Özer,berke-ozer,B. Özer,G,1,191.0,3020,M,847494,EUR,959212800,G,1,1,False,34.0,10.0,29.0,5.0,0.0,6.0,10.0,4.0,24.0,1.0,1.0,14.0,1.0,1.0,2.0,4.0,4.0,1.0,90.0,53.0,7.9,26.0,0.00058273,0,0.7771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528276,home,Eyüpspor,Melih Kabasakal,kabasakal-melih,M. Kabasakal,M,6,178.0,97,M,828872,EUR,824601600,D,57,57,False,47.0,37.0,4.0,2.0,0.0,21.0,26.0,18.0,25.0,10.0,5.0,6.0,,6.0,,,,,90.0,87.0,7.5,21.0,0.0481194,0,,4.0,2.0,1.0,5.0,1.0,3.0,2.0,1.0,2.0,6.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
12528276,home,Eyüpspor,Robin Yalçın,robin-yalcin,R. Yalçın,D,2,183.0,91,M,138154,EUR,759456000,D,6,6,False,31.0,26.0,7.0,4.0,0.0,22.0,24.0,4.0,7.0,2.0,6.0,1.0,,1.0,,,,,90.0,43.0,7.6,5.0,0.00388024,1,,,,1.0,1.0,,,,,2.0,,,,,,,1.0,1.0,1.0,1.0,0.1411,0.1981,,,,,,,,,,,
12528276,home,Eyüpspor,Luccas Claro,luccas-claro,L. Claro,D,4,182.0,171,M,998209,EUR,687916800,D,4,4,False,26.0,19.0,5.0,1.0,0.0,17.0,20.0,2.0,6.0,6.0,5.0,4.0,,2.0,,,,,90.0,37.0,7.0,8.0,0.00043459,0,,,,3.0,5.0,,,,,1.0,1.0,1.0,2.0,,,,3.0,,,,,,True,2.0,,,,,,,,,
12528276,home,Eyüpspor,Léo Dubois,leo-dubois,L. Dubois,D,,178.0,587,M,552680,EUR,779500800,D,15,15,False,41.0,28.0,7.0,,0.0,15.0,22.0,13.0,20.0,7.0,1.0,4.0,,3.0,,,,,90.0,64.0,6.7,19.0,0.0119977,1,,1.0,,2.0,3.0,1.0,,3.0,1.0,,2.0,,2.0,,,,,1.0,,,0.1708,0.2247,,,,,,,,,,,
12528276,home,Eyüpspor,Fredrik Midtsjø,fredrik-midtsjo,F. Midtsjø,M,,176.0,251,M,98198,EUR,745027200,M,18,18,False,41.0,36.0,,,0.0,10.0,10.0,26.0,31.0,6.0,2.0,5.0,,3.0,,,,,90.0,54.0,7.2,6.0,0.0670394,0,,,,2.0,7.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,2.0,,1.0,,,,,4.0,,,,,,,,,
12528276,home,Eyüpspor,Jonjo Shelvey,jonjo-shelvey,J. Shelvey,M,53,185.0,480,M,36465,EUR,699148800,M,16,16,False,38.0,31.0,10.0,6.0,0.0,19.0,22.0,12.0,17.0,4.0,1.0,2.0,,2.0,,,,,69.0,47.0,6.8,11.0,0.00957591,0,,1.0,,1.0,1.0,,1.0,,,,1.0,2.0,1.0,,Jonjo,Shelvey,,,,,,,,,,,,,,,,,
12528276,home,Eyüpspor,Emre Akbaba,emre-akbaba,E. Akbaba,M,8,180.0,414,M,343527,EUR,718156800,M,8,8,False,48.0,38.0,3.0,2.0,0.0,13.0,16.0,26.0,34.0,9.0,,12.0,,7.0,,,,,89.0,70.0,7.8,16.0,0.0767574,3,,2.0,1.0,,6.0,2.0,,1.0,,,4.0,3.0,2.0,1.0,,,3.0,1.0,,,0.2621,0.4586,,,2.0,,,,,,,,
12528276,home,Eyüpspor,Samu Sáiz,samu-saiz,S. Sáiz,M,,174.0,123,M,99527,EUR,664502400,M,10,10,False,24.0,21.0,1.0,,0.0,5.0,6.0,16.0,19.0,4.0,,1.0,,,,,,,69.0,33.0,6.6,7.0,0.0288875,0,,1.0,,,3.0,,1.0,2.0,1.0,,,1.0,3.0,,,,1.0,,,,,,,,,,,,,,,,
12528276,home,Eyüpspor,Ahmed Kutucu,ahmed-kutucu,A. Kutucu,M,21,181.0,3238,M,906049,EUR,951868800,M,23,23,False,19.0,12.0,3.0,,0.0,5.0,5.0,8.0,15.0,9.0,,5.0,,5.0,,,,,89.0,41.0,8.0,14.0,0.115877,4,,1.0,1.0,1.0,8.0,,1.0,3.0,1.0,,4.0,4.0,2.0,1.0,,,2.0,3.0,,,0.6205,0.7583,,3.0,1.0,1.0,,,,,,,
12528276,home,Eyüpspor,Mame Thiam,mame-thiam,M. Thiam,F,17,185.0,1076,M,180981,EUR,718588800,F,9,9,False,30.0,19.0,1.0,1.0,0.0,6.0,7.0,13.0,27.0,10.0,,8.0,,1.0,,,,,89.0,52.0,7.3,23.0,0.0260695,1,,4.0,,6.0,14.0,1.0,1.0,5.0,2.0,,,3.0,2.0,1.0,,,6.0,,,2.0,0.0627,,,3.0,1.0,,,,,,,,
12528276,home,Eyüpspor,Prince Ampem,prince-ampem,P. Ampem,M,40,171.0,278,M,923888,EUR,892425600,F,40,40,True,6.0,6.0,,,0.0,3.0,3.0,3.0,5.0,1.0,,1.0,,1.0,,,,,21.0,9.0,6.7,2.0,0.00155747,0,,2.0,,,2.0,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,
12528276,home,Eyüpspor,Dorukhan Toköz,dorukhan-tokoz,D. Toköz,M,24,180.0,156,M,796133,EUR,832636800,M,5,5,True,9.0,7.0,2.0,1.0,0.0,2.0,4.0,5.0,5.0,1.0,2.0,,,,,,,,21.0,18.0,6.3,5.0,0.0113762,0,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,
12528276,home,Eyüpspor,Halil Akbunar,halil-akbunar,H. Akbunar,M,77,170.0,140,M,217782,EUR,752803200,F,7,7,True,,,,,0.0,,,,,,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528276,home,Eyüpspor,Taşkın Ilter,taskin-ilter,T. Ilter,M,28,185.0,82,M,171911,EUR,773366400,M,28,28,True,,,,,0.0,,,,,,2.0,,,,,,,,1.0,2.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528276,home,Eyüpspor,Gianni Bruno,gianni-bruno,G. Bruno,F,9,180.0,179,M,100680,EUR,682560000,F,99,99,True,,,,,0.0,,,,,,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528276,home,Eyüpspor,Muhammed Birkan Tetik,muhammed-birkan-tetik,M. B. Tetik,G,1,190.0,18,M,788087,EUR,814060800,G,71,71,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528276,home,Eyüpspor,Rúben Vezo,ruben-vezo,R. Vezo,D,21,183.0,435,M,233180,EUR,767232000,D,14,14,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528276,home,Eyüpspor,Caner Erkin,caner-erkin,C. Erkin,D,88,181.0,260,M,15680,EUR,591926400,D,88,88,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528276,home,Eyüpspor,Anastasios Chatzigiovanis,anastasios-chatzigiovanis,A. Chatzigiovanis,M,10,175.0,405,M,850770,EUR,865036800,M,39,39,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528276,home,Eyüpspor,Sinan Gümüş,sinan-gumus,S. Gümüş,F,,179.0,110,M,169165,EUR,758592000,F,11,11,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528276,away,Göztepe,Mateusz Lis,mateusz-lis,M. Lis,G,1,192.0,577,M,798375,EUR,857001600,G,97,97,False,27.0,17.0,17.0,7.0,0.0,13.0,13.0,4.0,14.0,,2.0,5.0,,,,3.0,5.0,,90.0,36.0,7.6,11.0,0.00404409,0,0.6397,,,,,,,,,,,,,,,,,,,,,,True,,,,,1.0,1.0,,,,
12528276,away,Göztepe,Malcom Bokele,malcom-bokele,M. Bokele,D,26,193.0,545,M,1122632,EUR,950313600,D,26,26,False,51.0,44.0,9.0,4.0,0.0,24.0,26.0,20.0,26.0,4.0,2.0,7.0,,1.0,,,,,90.0,67.0,7.2,10.0,0.0137531,0,,1.0,,1.0,1.0,,,,,6.0,1.0,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,
12528276,away,Göztepe,Héliton,heliton,Héliton,D,5,196.0,324,M,922725,EUR,816220800,D,5,5,False,37.0,33.0,3.0,3.0,0.0,23.0,27.0,10.0,10.0,8.0,2.0,4.0,,3.0,,,,,90.0,52.0,6.8,5.0,0.00489071,2,,,,4.0,7.0,,,2.0,1.0,2.0,1.0,,,,,,5.0,1.0,,,0.5735,0.4371,,3.0,1.0,,,,,1.0,,,
12528276,away,Göztepe,Taha Altıkardeş,taha-altikardes,T. Altıkardeş,D,4,188.0,271,M,1101279,EUR,1061510400,D,4,4,False,53.0,45.0,6.0,3.0,0.0,27.0,30.0,18.0,23.0,1.0,2.0,7.0,,,,,,,90.0,60.0,6.7,9.0,0.0106408,0,,,,1.0,6.0,1.0,,,,4.0,,1.0,,,,,3.0,,,,,,,2.0,,,,,,,,,
12528276,away,Göztepe,Ogün Bayrak,ogun-bayrak,O. Bayrak,M,77,175.0,45,M,903999,EUR,907977600,M,77,77,False,23.0,20.0,2.0,1.0,0.0,10.0,11.0,11.0,15.0,2.0,,4.0,,1.0,,,,,70.0,36.0,6.9,7.0,0.136197,0,,3.0,1.0,,5.0,1.0,1.0,,,2.0,1.0,,1.0,1.0,,,2.0,,,,,,,2.0,,,,,,,,,
