match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_bigChanceCreated,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,captain,player_firstName,player_lastName,stat_interceptionWon,stat_unsuccessfulTouch,stat_totalContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_challengeLost,stat_wonContest,stat_dispossessed,stat_shotOffTarget,stat_goals,stat_bigChanceMissed,stat_totalOffside,stat_accurateCross,stat_goodHighClaim,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded
14167893,home,Olympique de Marseille,Jeffrey de Lange,jeffrey-de-lange,J. de Lange,G,12,188,614,M,803034,EUR,891388800,G,12,12,False,24.0,22.0,1.0,0.0,22.0,24.0,5.0,1.0,1.0,1.0,90.0,25.0,6.1,2.0,8.211e-05,0.0319,0,-0.3533,-0.06,0.01,-0.33,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14167893,home,Olympique de Marseille,Benjamin Pavard,benjamin-pavard,B. Pavard,D,28,186,10877,M,787505,EUR,827971200,D,28,28,False,96.0,90.0,5.0,1.0,37.0,38.0,6.0,,,,90.0,113.0,7.7,7.0,0.184451,,0,,0.56,0.2,-0.24,,benpavard21,4.0,53.0,58.0,1.0,1.0,2.0,2.0,5.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14167893,home,Olympique de Marseille,Leonardo Balerdi,leonardo-balerdi,L. Balerdi,D,5,188,7165,M,928236,EUR,917308800,D,5,5,False,99.0,97.0,3.0,0.0,63.0,64.0,7.0,,,,90.0,104.0,6.9,2.0,0.0233625,,0,,0.31,0.15,-0.28,,leobalerdi5,3.0,34.0,35.0,,2.0,2.0,4.0,5.0,,2.0,,3.0,1.0,,2.0,,True,,,,,,,,,,,,,,,,,,,,,,,
14167893,home,Olympique de Marseille,Nayef Aguerd,nayef-aguerd,N. Aguerd,D,20,188,25735,M,877102,EUR,828144000,D,21,21,False,94.0,90.0,5.0,0.0,39.0,42.0,3.0,,,,90.0,105.0,7.0,6.0,0.0390386,,0,,0.31,0.25,-0.31,,nayefaguard,3.0,51.0,52.0,,2.0,4.0,4.0,7.0,,3.0,1.0,1.0,,2.0,3.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
14167893,home,Olympique de Marseille,Emerson Palmieri,emerson-palmieri,Emerson,D,33,176,2398,M,155997,EUR,775872000,D,33,33,False,39.0,35.0,,0.0,12.0,13.0,2.0,,,,65.0,58.0,6.1,12.0,0.0405237,,2,,-0.02,-0.56,-0.16,,,,23.0,26.0,1.0,,1.0,2.0,1.0,,2.0,,,,,,1.0,,,,1.0,5.0,2.0,1.0,1.0,0.0621,0.1683,0.01,,,,,,,,,,,,,
14167893,home,Olympique de Marseille,Matt O'Riley,matt-oriley,M. O'Riley,M,33,187,5045,M,891829,EUR,974764800,M,17,17,False,45.0,39.0,2.0,0.0,15.0,16.0,4.0,,,,65.0,48.0,6.7,7.0,0.18987,,0,,0.28,0.01,-0.11,,,1.0,24.0,29.0,,1.0,1.0,3.0,2.0,,,,1.0,,,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
14167893,home,Olympique de Marseille,Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,23,185,4495,M,149593,EUR,807580800,M,23,23,False,90.0,86.0,7.0,0.0,35.0,35.0,4.0,,,,90.0,97.0,7.4,4.0,0.117436,,2,,0.35,0.23,-0.09,,hojbjerg23,6.0,51.0,55.0,,,,1.0,3.0,,,,,,2.0,1.0,1.0,,,,,,1.0,2.0,,0.0567,0.0293,-0.01,,1.0,,,,,,,,,,,
14167893,home,Olympique de Marseille,Mason Greenwood,mason-greenwood,M. Greenwood,F,10,181,65939,M,942116,EUR,1001894400,M,10,10,False,62.0,56.0,2.0,0.0,11.0,12.0,2.0,,,,79.0,81.0,10.0,16.0,0.416608,,6,,0.16,0.36,-0.07,,MGreenwood,2.0,45.0,50.0,7.0,,,2.0,2.0,1.0,,,,,2.0,,2.0,,,,,1.0,1.0,4.0,1.0,1.8711,2.3844,1.0,,,1.0,1.0,4.0,,,,,,,,
14167893,home,Olympique de Marseille,Angel Gomes,angel-gomes,A. Gomes,M,47,168,3430,M,867441,EUR,967680000,M,8,8,False,36.0,34.0,3.0,0.0,4.0,4.0,2.0,,,,65.0,44.0,6.2,6.0,0.0601233,,1,,-0.16,0.11,-0.07,,,3.0,30.0,32.0,1.0,2.0,,5.0,1.0,,,,,,1.0,2.0,2.0,,,,,1.0,1.0,1.0,,0.1111,0.031,-0.29,,,,,,1.0,,,,,,,
14167893,home,Olympique de Marseille,Igor Paixão,igor-paixao,I. Paixão,F,14,168,12542,M,981815,EUR,962150400,M,14,14,False,33.0,30.0,3.0,1.0,3.0,4.0,1.0,,,,71.0,47.0,6.8,8.0,0.0695996,,4,,0.16,0.38,-0.06,,,3.0,27.0,29.0,,2.0,1.0,6.0,4.0,,,,,,1.0,1.0,1.0,,,,,2.0,4.0,,1.0,0.2431,,-0.59,,2.0,1.0,3.0,,,,,,,,,
