match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_aerialLost,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_totalOffside,stat_keyPass,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,captain,stat_goalAssist,stat_totalContest,stat_bigChanceCreated,stat_wasFouled,stat_wonContest,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goodHighClaim,player_sofascoreId,stat_penaltyWon
11067509,home,América Mineiro,Jory,,,jory,Jory,G,1,190.0,55,M,839762,EUR,826675200,G,12,12,False,15.0,12.0,8.0,5.0,9.0,10.0,3.0,5.0,1.0,8.0,1.0,1.0,6.0,1.0,7.0,90.0,28.0,7.2,4.0,0.00064454,0,-0.7168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067509,home,América Mineiro,Ricardo Silva,,,ricardo-silva,R. Silva,D,45,190.0,76,M,599700,EUR,713664000,D,45,45,False,44.0,34.0,4.0,2.0,19.0,26.0,15.0,18.0,3.0,11.0,,2.0,,,,90.0,61.0,6.4,12.0,0.00634112,0,,1.0,3.0,1.0,4.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11067509,home,América Mineiro,Iago Maidana,,,iago-maidana,I. Maidana,D,36,194.0,211,M,599686,EUR,823564800,D,3,3,False,30.0,21.0,4.0,,17.0,20.0,4.0,10.0,3.0,3.0,,2.0,,,,90.0,44.0,6.6,9.0,0.00155417,2,,2.0,4.0,,3.0,6.0,2.0,,,1.0,2.0,1.0,0.1059,,,,,,,,,,,,,,,,,,,
11067509,home,América Mineiro,Danilo Avelar,,,danilo-avelar,Danilo Avelar,D,,184.0,107,M,121221,EUR,613353600,D,22,22,False,27.0,17.0,6.0,2.0,8.0,11.0,9.0,16.0,4.0,4.0,,2.0,,,,81.0,43.0,6.4,10.0,0.0034269,0,,2.0,4.0,1.0,4.0,3.0,2.0,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
11067509,home,América Mineiro,Rodriguinho,Rodriguinho,,rodriguinho,Rodriguinho,M,75,170.0,859,M,1174770,EUR,1054771200,M,75,75,False,44.0,31.0,5.0,,10.0,12.0,24.0,41.0,4.0,7.0,,1.0,,,,90.0,72.0,7.1,21.0,0.0911858,2,,1.0,2.0,1.0,,2.0,1.0,1.0,,1.0,1.0,,0.1452,,2.0,9.0,3.0,1.0,1.0,1.0,0.4662,,,,,,,,,,,
11067509,home,América Mineiro,Juninho,,,juninho,Juninho,M,28,173.0,218,M,330691,EUR,561945600,M,8,8,False,16.0,11.0,,,1.0,2.0,11.0,15.0,3.0,,,,,,,90.0,29.0,7.0,8.0,0.446043,1,,,6.0,1.0,,,3.0,1.0,1.0,,,,0.0347,,1.0,1.0,1.0,1.0,1.0,,0.052,True,1.0,1.0,1.0,3.0,,,,,,
11067509,home,América Mineiro,Alê,,,ale,Alê,M,16,184.0,96,M,869564,EUR,644630400,M,16,16,False,35.0,31.0,1.0,1.0,18.0,21.0,13.0,14.0,2.0,6.0,,2.0,,,,73.0,47.0,7.2,4.0,0.0589227,0,,1.0,6.0,,1.0,2.0,4.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,
11067509,home,América Mineiro,Emmanuel Martínez,,,emmanuel-martinez,E. Martinez,M,6,177.0,616,M,794312,EUR,770688000,M,5,5,False,70.0,59.0,2.0,2.0,18.0,19.0,42.0,53.0,8.0,10.0,,,,,,90.0,87.0,6.6,19.0,0.71527,0,,,4.0,3.0,,1.0,2.0,2.0,3.0,1.0,,,,,3.0,2.0,1.0,2.0,,,,,,4.0,,,2.0,,,,,
11067509,home,América Mineiro,Marlon Lopes,,,marlon-lopes,Marlon,D,6,177.0,100,M,870933,EUR,761097600,M,6,6,False,19.0,17.0,,,5.0,5.0,12.0,15.0,,5.0,,,,,,45.0,30.0,6.5,5.0,0.00774102,0,,,,,1.0,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,
11067509,home,América Mineiro,Gonzalo Mastriani,,,gonzalo-mastriani,G. Mastriani,F,39,180.0,1585,M,345847,EUR,735955200,F,17,17,False,12.0,7.0,1.0,,4.0,7.0,3.0,5.0,5.0,2.0,,1.0,,,,90.0,22.0,8.0,6.0,0.00721234,5,,1.0,1.0,1.0,,,,,,2.0,3.0,,1.9321,,1.0,,,1.0,2.0,2.0,1.905,,,,,,,1.0,,,,
11067509,home,América Mineiro,Martín Benítez,,,martin-benitez,M. Benítez,M,7,173.0,425,M,155715,EUR,771811200,F,10,10,False,29.0,25.0,6.0,5.0,10.0,10.0,16.0,21.0,7.0,3.0,,,,,,73.0,47.0,8.1,10.0,1.09279,4,,,2.0,,,1.0,,,1.0,3.0,2.0,,0.1304,,4.0,2.0,1.0,1.0,2.0,,0.327,,2.0,4.0,1.0,1.0,1.0,,,,,
11067509,home,América Mineiro,Nicolas,,,nicolas,Nicolas,D,30,180.0,238,M,841336,EUR,856742400,D,30,30,True,5.0,2.0,,,1.0,2.0,1.0,3.0,,,,,,,,17.0,7.0,6.6,3.0,0.00078221,0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
