match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_keyPass,stat_blockedScoringAttempt,captain,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalCross,stat_errorLeadToAShot,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside
11409183,home,Gil Vicente,Andrew,andrew,Andrew,G,42,189,2669,M,947893,EUR,993945600,G,42,42,False,33.0,21.0,18.0,6.0,18.0,21.0,3.0,12.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,90.0,44.0,5.9,12.0,0.0,0.0,0.00061439,0,-0.7337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409183,home,Gil Vicente,Zé Carlos,ze-carlos,Z. Carlos,D,2,177,69,M,1001662,EUR,901843200,D,2,2,False,32.0,17.0,8.0,1.0,12.0,18.0,5.0,14.0,1.0,6.0,1.0,4.0,,1.0,,,,,,90.0,60.0,5.9,21.0,0.0,0.0,0.0123582,0,,Zé,Carlos,2.0,6.0,4.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11409183,home,Gil Vicente,Gabriel Pereira,gabriel-pereira,G. Pereira,D,5,188,592,M,992652,EUR,957657600,D,13,13,False,44.0,38.0,8.0,5.0,33.0,35.0,5.0,9.0,1.0,4.0,9.0,4.0,,2.0,,,,,,90.0,67.0,7.6,7.0,0.1834,0.0,0.00104061,1,,,,,1.0,,5.0,2.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,
11409183,home,Gil Vicente,Rúben Fernandes,ruben-fernandes,R. Fernandes,D,26,186,38,M,59751,EUR,515721600,D,26,26,False,41.0,33.0,11.0,6.0,29.0,32.0,4.0,9.0,2.0,3.0,3.0,3.0,,,,,,,,90.0,48.0,6.4,8.0,0.0281,0.0,0.00158585,1,,,,2.0,4.0,2.0,,2.0,,,,,,,,True,1.0,1.0,1.0,,,,,,,,,,,
11409183,home,Gil Vicente,Leonardo Buta,leonardo-buta,L. Buta,D,24,182,172,M,1120038,EUR,1023235200,D,23,23,False,41.0,30.0,9.0,3.0,21.0,24.0,9.0,19.0,,4.0,1.0,8.0,,3.0,,,,,,76.0,59.0,6.5,16.0,0.0,0.0,0.236731,0,,,,,3.0,,,1.0,1.0,,,,1.0,1.0,,,2.0,,,2.0,1.0,,,,,,,,,
11409183,home,Gil Vicente,Pedro Tiba,pedro-tiba,P. Tiba,M,,174,70,M,138700,EUR,588988800,M,25,25,False,39.0,28.0,6.0,3.0,14.0,18.0,15.0,22.0,,6.0,,14.0,,,,,,,,85.0,57.0,7.1,16.0,0.0328,0.3155,0.0412746,1,,,,,10.0,3.0,1.0,,5.0,4.0,,,2.0,1.0,,,3.0,1.0,,1.0,,1.0,3.0,1.0,1.0,,,,,
11409183,home,Gil Vicente,Martim Neto,neto-martim,M. Neto,M,16,185,858,M,1100646,EUR,1042502400,M,76,76,False,23.0,20.0,3.0,2.0,9.0,9.0,11.0,14.0,,2.0,,5.0,,,,,,,,64.0,28.0,6.7,5.0,0.0,0.0,0.0296051,0,,,,,3.0,1.0,,,,,1.0,,1.0,1.0,,,2.0,2.0,,,,,1.0,,,1.0,,,,
11409183,home,Gil Vicente,Murilo Souza,murilo-souza,M. Souza,F,77,176,196,M,611880,EUR,783561600,M,77,77,False,16.0,15.0,,,4.0,5.0,11.0,12.0,,4.0,,2.0,,1.0,,,,,,64.0,28.0,7.5,6.0,0.8777,0.9838,0.0815891,2,,,,,1.0,,,,3.0,3.0,3.0,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,
11409183,home,Gil Vicente,Maxime Dominguez,maxime-dominguez,M. Dominguez,M,10,172,688,M,282233,EUR,823132800,M,8,8,False,42.0,38.0,4.0,4.0,14.0,15.0,26.0,30.0,,8.0,,12.0,,2.0,,,,,,90.0,68.0,8.5,11.0,0.3727,0.3743,0.653539,3,,,,1.0,9.0,1.0,,1.0,2.0,1.0,,,2.0,4.0,1.0,,5.0,4.0,1.0,3.0,,2.0,5.0,1.0,1.0,1.0,1.0,,,
11409183,home,Gil Vicente,Félix Correia,felix-correia,F. Correia,M,27,178,1349,M,934498,EUR,980121600,M,70,70,False,18.0,12.0,3.0,2.0,3.0,7.0,9.0,12.0,,6.0,,4.0,,2.0,,,,,,76.0,40.0,7.9,14.0,0.0227,0.3814,0.103784,1,,,,1.0,8.0,,2.0,,2.0,1.0,1.0,,1.0,1.0,,,4.0,2.0,,1.0,,,4.0,1.0,1.0,1.0,,,,
