match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_penaltyConceded,stat_fouls,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_outfielderBlock,captain,stat_totalOffside,stat_shotOffTarget,stat_savedShotsFromInsideTheBox,stat_saves,stat_keeperSaveValue,stat_clearanceOffLine,player_sofascoreId,stat_penaltyWon,stat_ownGoals
14053780,home,NEC Nijmegen,Gonzalo Crettaz,,,gonzalo-crettaz,G. Crettaz,G,1,181.0,165,M,990798,EUR,951696000,G,1,1,False,63.0,48.0,27.0,12.0,0.0,43.0,44.0,5.0,19.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,90.0,68.0,6.0,15.0,0.00993396,0,-0.7218,0.16,0.04,-0.35,-0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053780,home,NEC Nijmegen,Eli Dasa,,,eli-dasa,E. Dasa,D,14,177.0,315,M,127846,EUR,723340800,D,14,14,False,64.0,54.0,7.0,5.0,0.0,23.0,24.0,31.0,40.0,4.0,4.0,2.0,1.0,,,,,90.0,86.0,6.6,15.0,0.10123,0,,0.46,-0.05,-0.51,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14053780,home,NEC Nijmegen,Ahmetcan Kaplan,,,ahmetcan-kaplan,A. Kaplan,D,4,189.0,1602,M,1064177,EUR,1042675200,D,4,4,False,57.0,51.0,4.0,2.0,0.0,33.0,35.0,18.0,22.0,11.0,9.0,7.0,,,,,,90.0,78.0,5.9,7.0,0.0298495,0,,0.19,0.14,-0.78,,1.0,5.0,7.0,,,2.0,,,6.0,,5.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
14053780,home,NEC Nijmegen,Thomas Ouwejan,,,thomas-ouwejan,T. Ouwejan,D,5,184.0,241,M,798180,EUR,844041600,D,5,5,False,32.0,30.0,2.0,1.0,1.0,21.0,21.0,9.0,11.0,3.0,,1.0,3.0,,,,,89.0,58.0,8.1,13.0,0.286618,2,,0.51,0.25,-0.43,,5.0,,6.0,1.0,1.0,1.0,1.0,2.0,,3.0,2.0,,2.0,2.0,1.0,1.0,1.0,1.0,0.0932,0.3052,0.51,,,,,,,,,,,,,,
14053780,home,NEC Nijmegen,Darko Nejašmić,,,darko-nejasmic,D. Nejašmić,M,6,184.0,320,M,897603,EUR,917222400,M,6,6,False,49.0,40.0,6.0,5.0,0.0,16.0,17.0,24.0,32.0,6.0,4.0,5.0,,,,,,90.0,65.0,7.3,12.0,0.0313651,1,,0.24,0.12,-0.09,,1.0,4.0,1.0,,,,,2.0,1.0,,1.0,,,,,1.0,,,0.0968,,-0.2,1.0,1.0,1.0,,,,,,,,,,,
14053780,home,NEC Nijmegen,Sami Ouaissa,Sami Ouaissa,,sami-ouaissa,S. Ouaissa,M,25,180.0,486,M,1394147,EUR,1096675200,M,25,25,False,26.0,24.0,,,0.0,7.0,8.0,17.0,18.0,7.0,2.0,3.0,4.0,,,,,90.0,54.0,6.8,12.0,0.165744,0,,0.28,0.12,-0.03,,3.0,1.0,3.0,,,1.0,2.0,6.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,3.0,1.0,,,,,,,,,,,,
14053780,home,NEC Nijmegen,Kodai Sano,Kodai Sano,,kodai-sano,K. Sano,M,23,176.0,1251,M,1184054,EUR,1064448000,M,23,23,False,37.0,33.0,2.0,1.0,1.0,17.0,18.0,16.0,19.0,10.0,3.0,5.0,3.0,,,,,90.0,63.0,7.7,8.0,0.126302,1,,0.34,0.23,0.29,,1.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,,,1.0,1.0,,,1.0,,0.0117,,-0.08,3.0,3.0,,1.0,,,,,,,,,,
14053780,home,NEC Nijmegen,Tjaronn Chery,,,tjaronn-chery,T. Chery,M,10,170.0,860,M,35208,EUR,581385600,M,10,10,False,35.0,32.0,3.0,2.0,0.0,17.0,17.0,15.0,18.0,2.0,,2.0,,,,,,90.0,40.0,6.6,5.0,0.0398222,0,,0.13,-0.14,-0.29,,2.0,,,,,,,1.0,2.0,,,1.0,2.0,1.0,,,,,,,,,,,,True,,,,,,,,,
14053780,home,NEC Nijmegen,Virgil Misidjan,,,virgil-misidjan,V. Misidjan,F,7,173.0,280,M,148623,EUR,743472000,M,7,7,False,16.0,10.0,,,0.0,2.0,2.0,8.0,14.0,4.0,,,,,,,,64.0,25.0,6.1,10.0,0.00756802,0,,-0.27,-0.52,-0.16,,,2.0,6.0,1.0,2.0,,,1.0,2.0,1.0,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,
14053780,home,NEC Nijmegen,Koki Ogawa,,,koki-ogawa,K. Ogawa,F,18,186.0,1472,M,831860,EUR,870998400,F,18,18,False,8.0,5.0,,,0.0,,,5.0,8.0,2.0,,1.0,,,,,,65.0,12.0,6.2,5.0,0.00301717,1,,-0.24,0.06,-0.01,,,1.0,7.0,,1.0,,,1.0,1.0,,5.0,,1.0,,,,1.0,,0.029,,-0.08,,,1.0,,,1.0,,,,,,,,
