match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_totalContest,stat_shotOffTarget,stat_lastManTackle,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_outfielderBlock,stat_wasFouled,captain,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_totalCross,stat_accurateCross,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_wonTackle,stat_expectedGoalsOnTarget,stat_keyPass,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_errorLeadToAShot,stat_hitWoodwork
12450892,home,Nice,Marcin Bułka,marcin-bulka,M. Bułka,G,99,198,4805,M,marcinbulka1,889590,EUR,938995200,G,1,1,False,17.0,15.0,3.0,1.0,0.0,15.0,15.0,2.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,90.0,28.0,7.1,2.0,0.00011051,0,0.0441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450892,home,Nice,Moise Bombito,bombito-moise,M. Bombito,D,64,190,602,M,,1469180,EUR,954374400,D,64,64,False,65.0,56.0,7.0,4.0,0.0,38.0,43.0,22.0,11.0,12.0,9.0,2.0,,,,90.0,83.0,7.4,12.0,0.0233798,1,,Moise Bombito,,18.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0212,,,,,,,,,,,,,,,,,,,,,
12450892,home,Nice,Youssouf Ndayishimiye,youssouf-ndayishimiye,Y. Ndayishimiye,D,55,183,1788,M,,985934,EUR,909446400,D,55,55,False,71.0,68.0,1.0,,0.0,50.0,51.0,20.0,5.0,6.0,10.0,7.0,,,,90.0,86.0,7.4,4.0,0.00739307,0,,,,18.0,3.0,4.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
12450892,home,Nice,Dante,dante,Dante,D,4,188,1257,M,,3577,EUR,435283200,D,4,4,False,70.0,64.0,10.0,6.0,0.0,48.0,51.0,19.0,2.0,4.0,3.0,4.0,,,,90.0,82.0,6.9,10.0,0.0154094,0,,,,16.0,3.0,7.0,2.0,,,,1.0,,,1.0,2.0,True,1.0,1.0,1.0,,,,,,,,,,,,,,,
12450892,home,Nice,Jonathan Clauss,jonathan-clauss,J. Clauss,M,92,178,2004,M,,821728,EUR,717379200,M,92,92,False,47.0,36.0,4.0,2.0,0.0,15.0,17.0,38.0,2.0,5.0,2.0,5.0,,,,90.0,83.0,8.3,27.0,0.548587,1,,,,22.0,,3.0,4.0,,,1.0,4.0,,0.1064,,1.0,,,,6.0,8.0,1.0,1.0,1.0,1.0,1.0,0.3388,4.0,,,,,,,
12450892,home,Nice,Hicham Boudaoui,hicham-boudaoui,H. Boudaoui,M,6,176,11417,M,hicham_boudaoui,985923,EUR,938044800,M,6,6,False,46.0,38.0,2.0,,0.0,15.0,17.0,29.0,,5.0,1.0,4.0,,,,87.0,60.0,7.7,12.0,0.242869,1,,,,23.0,,5.0,2.0,,,3.0,,1.0,0.2265,1.0,2.0,,,2.0,,,,,1.0,1.0,1.0,0.3016,1.0,,,,,,,
12450892,home,Nice,Baptiste Santamaria,baptiste-santamaria,B. Santamaria,M,22,183,473,M,,344751,EUR,794707200,M,28,28,False,37.0,28.0,2.0,,0.0,15.0,17.0,20.0,2.0,4.0,1.0,3.0,,,,63.0,51.0,6.9,11.0,0.0089852,2,,,,13.0,4.0,8.0,,,,,1.0,3.0,0.0574,1.0,2.0,,,1.0,2.0,,,,1.0,,,0.0311,,1.0,,,,,,
12450892,home,Nice,Ali Abdi,ali-abdi,A. Abdi,M,2,183,4213,M,,919027,EUR,756345600,M,2,2,False,25.0,20.0,2.0,,0.0,14.0,17.0,8.0,,,1.0,1.0,,,,64.0,46.0,6.6,10.0,0.0035042,0,,,,6.0,,3.0,,,,,3.0,1.0,,,,,2.0,,1.0,,,,,,,,1.0,,,,,,,
12450892,home,Nice,Evann Guessand,evann-guessand,E. Guessand,F,29,185,5228,M,,930245,EUR,993945600,F,29,29,False,17.0,12.0,,,1.0,1.0,2.0,17.0,1.0,6.0,,3.0,,,,76.0,38.0,7.3,14.0,0.188648,4,,,,11.0,1.0,10.0,3.0,3.0,,1.0,2.0,5.0,0.721,,3.0,,,2.0,,2.0,,1.0,1.0,,1.0,0.7442,2.0,,1.0,,,,,
12450892,home,Nice,Mohamed-Ali Cho,mohamed-ali-cho,M. Cho,F,25,182,1757,M,,1063235,EUR,1074470400,F,25,25,False,24.0,21.0,,,0.0,9.0,10.0,16.0,,2.0,1.0,8.0,,,,76.0,41.0,7.1,11.0,0.334358,3,,,,13.0,2.0,4.0,2.0,1.0,,,5.0,1.0,0.2442,,1.0,,,1.0,,2.0,1.0,1.0,,,,,1.0,2.0,,1.0,1.0,,,
