match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_errorLeadToAShot,stat_wasFouled,stat_totalCross,stat_challengeLost,stat_unsuccessfulTouch,stat_wonContest,stat_accurateCross,stat_dispossessed,stat_keyPass,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,captain,stat_totalOffside,stat_hitWoodwork,stat_punches,player_sofascoreId
13472853,home,Fortaleza,Magrão,Magrão,,magrao,Magrão,G,15,197,179,M,1083070,EUR,958348800,G,15,15,False,20.0,7.0,13.0,2.0,0.0,7.0,11.0,9.0,9.0,3.0,3.0,1.0,1.0,90.0,29.0,6.6,14.0,4.488e-05,0,0.0736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472853,home,Fortaleza,Emanuel Brítez,,,emanuel-britez,E. Brítez,D,33,178,532,M,789395,EUR,701568000,D,33,33,False,11.0,9.0,,,0.0,5.0,5.0,6.0,1.0,,,,,68.0,25.0,6.7,4.0,0.0051532,1,,4.0,2.0,1.0,4.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,0.026,,,,,,,,,,,,,,,,,,,,,,
13472853,home,Fortaleza,Benjamin Kuscevic,,,benjamin-kuscevic,B. Kuscevic,D,13,185,1470,M,590324,EUR,830995200,D,13,13,False,15.0,12.0,3.0,1.0,0.0,9.0,9.0,6.0,2.0,,,,,90.0,28.0,6.9,3.0,0.00057127,2,,3.0,,1.0,,3.0,,,4.0,1.0,1.0,,0.1833,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
13472853,home,Fortaleza,Gastón Ávila,,,gaston-avila,G. Ávila,D,13,182,1203,M,975526,EUR,1001808000,D,3,3,False,25.0,16.0,9.0,2.0,0.0,8.0,8.0,17.0,,,,,,90.0,39.0,6.5,11.0,0.00195635,0,,8.0,1.0,,3.0,2.0,,,7.0,2.0,1.0,1.0,,,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,
13472853,home,Fortaleza,Diogo Barbosa,,,diogo-barbosa,D. Barbosa,D,16,180,555,M,243107,EUR,714009600,D,16,16,False,24.0,20.0,3.0,2.0,0.0,6.0,7.0,17.0,4.0,,,,,90.0,46.0,6.7,8.0,0.014319,1,,14.0,1.0,,6.0,5.0,3.0,1.0,4.0,3.0,1.0,2.0,0.1281,,,,,,1.0,2.0,,2.0,,,,,,,,,,,,,
13472853,home,Fortaleza,Tomás Pochettino,,,tomas-pochettino,T. Pochettino,M,7,178,994,M,824626,EUR,823132800,M,7,7,False,13.0,10.0,4.0,1.0,0.0,,1.0,12.0,4.0,,,,,68.0,30.0,6.9,10.0,0.0965458,2,,10.0,,,6.0,2.0,2.0,1.0,1.0,,,2.0,0.0202,1.0,,,,1.0,5.0,2.0,2.0,1.0,2.0,1.0,3.0,,,,,,,,,,
13472853,home,Fortaleza,Lucas Sasha,,,lucas-sasha,L. Sasha,M,88,177,479,M,123225,EUR,636249600,M,88,88,False,34.0,27.0,5.0,3.0,0.0,14.0,15.0,19.0,7.0,,,,,90.0,44.0,7.1,8.0,0.0072785,0,,13.0,1.0,3.0,8.0,5.0,1.0,,2.0,,,1.0,,,1.0,1.0,,1.0,,6.0,1.0,1.0,,,3.0,1.0,,,,,,,,,
13472853,home,Fortaleza,Matheus Pereira,,,pereira-matheus,M. Pereira,M,23,181,3434,M,795268,EUR,888364800,M,5,5,False,45.0,40.0,8.0,5.0,0.0,15.0,15.0,30.0,5.0,,,,,90.0,55.0,6.7,8.0,0.015855,0,,25.0,2.0,2.0,9.0,7.0,5.0,,,2.0,1.0,3.0,,,,1.0,,,1.0,2.0,,3.0,,,1.0,,,,,,,,,,
13472853,home,Fortaleza,Marinho,,,marinho,Marinho,M,7,169,2296,M,798127,EUR,643939200,F,11,11,False,12.0,8.0,3.0,1.0,0.0,1.0,2.0,10.0,3.0,,,,,69.0,23.0,7.2,8.0,0.0184381,4,,7.0,1.0,,3.0,1.0,,1.0,,,,2.0,0.7576,1.0,,1.0,,1.0,2.0,,1.0,,,,,,1.0,2.0,1.0,0.4522,,,,,
13472853,home,Fortaleza,Juan Martín Lucero,,,juan-martin-lucero,J. M. Lucero,F,9,179,1899,M,359024,EUR,691459200,F,9,9,False,13.0,9.0,1.0,,0.0,4.0,5.0,8.0,2.0,,,,,79.0,21.0,6.4,6.0,0.0038724,0,,5.0,5.0,2.0,8.0,3.0,,,,1.0,,2.0,,,,,,,,1.0,2.0,,,,,,,,,,True,1.0,,,
