match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_shotOffTarget,stat_outfielderBlock,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_penaltyWon,stat_keyPass,captain,stat_goals,stat_bigChanceMissed,player_sofascoreId,stat_totalOffside,stat_clearanceOffLine,stat_penaltyFaced,stat_penaltyConceded,stat_goalAssist
10390081,home,Montpellier,Benjamin Lecomte,benjamin-lecomte,B. Lecomte,G,23,186,336,M,123207,EUR,672624000,G,40,40,False,36.0,21.0,27.0,12.0,16.0,20.0,5.0,16.0,1.0,1.0,1.0,10.0,1.0,6.0,12.0,1.0,90.0,59.0,8.3,15.0,0.0,0.0,0.00115822,0,1.3105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390081,home,Montpellier,Falaye Sacko,falaye-sacko,F. Sacko,D,77,179,2233,M,796372,EUR,799286400,D,77,77,False,50.0,38.0,7.0,4.0,21.0,24.0,17.0,26.0,4.0,1.0,3.0,11.0,,,,,90.0,76.0,6.5,15.0,0.0309,0.0375,0.0222117,1,,1.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10390081,home,Montpellier,Boubakar Kouyaté,boubakar-kouyate,B. Kouyaté,D,25,192,907,M,848537,EUR,861062400,D,4,4,False,40.0,35.0,4.0,1.0,31.0,34.0,4.0,6.0,5.0,3.0,5.0,4.0,,,,,90.0,56.0,6.5,5.0,0.0426,0.0,0.00644061,1,,2.0,1.0,5.0,,,,,2.0,2.0,1.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,
10390081,home,Montpellier,Maxime Estève,maxime-esteve,M. Estève,D,5,192,1470,M,1117223,EUR,1022371200,D,14,14,False,46.0,41.0,1.0,,34.0,38.0,7.0,8.0,3.0,,9.0,3.0,,,,,90.0,62.0,6.7,7.0,0.0,0.0,0.00261101,0,,2.0,2.0,3.0,,,,,1.0,,,2.0,1.0,1.0,,2.0,Maxime Estève,,,,,,,,,,,,,,,,
10390081,home,Montpellier,Theo Sainte Luce,theo-sainte-luce,T. S. Luce,D,17,181,53,M,901152,EUR,908841600,D,17,17,False,15.0,14.0,1.0,,9.0,9.0,5.0,7.0,2.0,,1.0,1.0,,,,,61.0,31.0,6.9,4.0,0.0,0.0,0.00404591,0,,1.0,,5.0,,2.0,2.0,,2.0,3.0,3.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,
10390081,home,Montpellier,Jordan Ferri,jordan-ferri,J. Ferri,M,4,172,146,M,123229,EUR,700358400,M,12,12,False,43.0,42.0,2.0,2.0,28.0,29.0,14.0,14.0,6.0,4.0,,2.0,,,,,72.0,50.0,6.4,3.0,0.0,0.0,0.00836688,0,,1.0,,2.0,,1.0,1.0,,1.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,
10390081,home,Montpellier,Joris Chotard,joris-chotard,J. Chotard,M,13,179,541,M,976396,EUR,1001289600,M,13,13,False,31.0,27.0,4.0,3.0,18.0,18.0,9.0,13.0,6.0,1.0,1.0,5.0,,,,,90.0,45.0,6.3,8.0,0.0,0.0,0.167532,0,,1.0,1.0,4.0,1.0,3.0,1.0,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
10390081,home,Montpellier,Arnaud Nordin,nordin-arnaud,A. Nordin,M,70,170,384,M,848458,EUR,900633600,M,7,7,False,24.0,20.0,,,9.0,10.0,12.0,17.0,17.0,2.0,,3.0,,,,,90.0,52.0,6.2,20.0,0.0205,0.0,0.179425,1,,4.0,1.0,8.0,6.0,7.0,3.0,,,1.0,1.0,2.0,3.0,1.0,,,,,3.0,1.0,2.0,1.0,1.0,4.0,,,,,,,,,
10390081,home,Montpellier,Teji Savanier,teji-savanier,T. Savanier,M,11,171,790,M,156682,EUR,693360000,M,11,11,False,46.0,36.0,7.0,5.0,15.0,16.0,23.0,35.0,16.0,2.0,,9.0,,,,,90.0,86.0,8.1,25.0,0.9524,1.8721,0.0702671,3,,1.0,,10.0,7.0,5.0,3.0,3.0,,2.0,2.0,3.0,5.0,4.0,,,,,5.0,2.0,,,,3.0,True,2.0,,,,,,,
10390081,home,Montpellier,Wahbi Khazri,wahbi-khazri,W. Khazri,F,,176,1610,M,51640,EUR,665971200,M,99,99,False,9.0,6.0,2.0,2.0,1.0,2.0,5.0,8.0,6.0,1.0,1.0,5.0,,,,,45.0,22.0,6.4,9.0,0.3078,0.0,0.00286114,2,,1.0,,2.0,2.0,2.0,,,,2.0,1.0,1.0,,,2.0,,,,1.0,,,,,,,,1.0,,,,,,
