match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_outfielderBlock,stat_bigChanceMissed,stat_shotOffTarget,stat_lastManTackle,stat_totalTackle,stat_expectedGoals,stat_accurateCross,stat_onTargetScoringAttempt,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoalsOnTarget,stat_aerialLost,stat_errorLeadToAShot,stat_wasFouled,captain,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_keyPass,stat_penaltyWon,stat_penaltyFaced,stat_penaltyConceded,stat_hitWoodwork,stat_errorLeadToAGoal
12437050,home,West Ham United,Łukasz Fabiański,lukasz-fabianski,Ł. Fabiański,G,22,190,3777,M,lukasz.fabianski,15479,EUR,482630400,G,1,1,False,27.0,21.0,15.0,9.0,0.0,15.0,16.0,6.0,11.0,1.0,1.0,2.0,5.0,1.0,2.0,4.0,1.0,1.0,90.0,38.0,7.5,6.0,0.00071412,0,1.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437050,home,West Ham United,Aaron Wan-Bissaka,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183,18282,M,awbissaka,863653,EUR,880502400,D,29,29,False,44.0,34.0,2.0,1.0,0.0,10.0,13.0,24.0,35.0,4.0,,7.0,4.0,,,,,,90.0,74.0,7.1,19.0,0.0350435,0,,,,4.0,1.0,4.0,1.0,6.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12437050,home,West Ham United,Konstantinos Mavropanos,konstantinos-mavropanos,K. Mavropanos,D,15,194,2680,M,,829022,EUR,881798400,D,15,15,False,28.0,26.0,4.0,2.0,0.0,17.0,19.0,9.0,9.0,,,1.0,1.0,,,,,,45.0,30.0,6.7,2.0,0.00337815,0,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12437050,home,West Ham United,Max Kilman,max-kilman,M. Kilman,D,3,192,1250,M,,894474,EUR,864345600,D,26,26,False,33.0,31.0,3.0,2.0,0.0,26.0,27.0,5.0,6.0,1.0,1.0,7.0,5.0,,,,,,90.0,48.0,7.2,2.0,0.00342853,2,,,,,1.0,2.0,,,,,3.0,1.0,2.0,1.0,1.0,0.3719,,,,,,,,,,,,,,,,,,,,
12437050,home,West Ham United,Emerson Palmieri,emerson-palmieri,Emerson,D,33,176,2398,M,,155997,EUR,775872000,D,33,33,False,33.0,27.0,3.0,,0.0,14.0,17.0,14.0,22.0,5.0,2.0,3.0,5.0,,,,,,90.0,57.0,6.4,16.0,0.0251152,2,,,,6.0,,2.0,1.0,1.0,,2.0,,1.0,1.0,,2.0,0.8588,1.0,1.0,1.0,2.0,1.0,0.2062,,,,,,,,,,,,,,
12437050,home,West Ham United,Edson Álvarez,edson-alvarez,E. Álvarez,M,11,190,10872,M,EdsonAlvarez19,847151,EUR,877651200,M,19,19,False,48.0,43.0,3.0,3.0,0.0,27.0,28.0,16.0,20.0,3.0,,3.0,8.0,,,,,,90.0,63.0,7.1,8.0,0.014951,0,,,,,,1.0,1.0,,,3.0,1.0,,,,1.0,,,,1.0,1.0,,,2.0,,,,,,,,,,,,,
12437050,home,West Ham United,Guido Rodríguez,guido-rodriguez,G. Rodríguez,M,2,185,3908,M,guiido_rodriguez,609752,EUR,766108800,M,24,24,False,36.0,30.0,,,0.0,17.0,21.0,13.0,15.0,5.0,2.0,2.0,8.0,,,,,,89.0,47.0,6.9,6.0,0.00598664,0,,,,,,5.0,,,,1.0,,,,,4.0,,,,3.0,,1.0,,2.0,1.0,1.0,,,,,,,,,,,
12437050,home,West Ham United,Jarrod Bowen,jarrod-bowen,J. Bowen,M,20,174,9125,M,jarrodbowen,552884,EUR,851040000,M,20,20,False,20.0,13.0,,,0.0,1.0,1.0,13.0,25.0,10.0,1.0,1.0,3.0,,,,,,90.0,44.0,7.2,20.0,0.231671,3,,,,6.0,1.0,4.0,4.0,1.0,,,,,1.0,,2.0,0.9185,1.0,1.0,,2.0,1.0,0.9242,3.0,,1.0,True,1.0,1.0,1.0,1.0,2.0,,,,,
12437050,home,West Ham United,Lucas Paquetá,lucas-paqueta,L. Paquetá,M,20,180,63569,M,Paqueta,839981,EUR,872640000,M,10,10,False,29.0,21.0,2.0,2.0,0.0,8.0,9.0,13.0,20.0,3.0,,,5.0,,,,,,45.0,33.0,6.7,10.0,0.0103156,1,,,,,1.0,1.0,,,,1.0,,,1.0,,,0.0371,,,,2.0,3.0,,1.0,,,,,,,,,,,,,
12437050,home,West Ham United,Carlos Soler,carlos-soler,C. Soler,M,18,180,3724,M,Carlos10Soler,832427,EUR,852163200,M,4,4,False,13.0,10.0,1.0,,0.0,4.0,4.0,7.0,10.0,2.0,,,,,,,,,45.0,19.0,6.5,6.0,0.0275555,0,,,,1.0,,,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,
