match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_possessionLostCtrl,stat_keyPass,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_shotOffTarget,stat_fouls,stat_dispossessed,stat_wonTackle,player_sofascoreId,captain,stat_goalAssist,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_bigChanceMissed,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox
11452992,home,Al-Ettifaq,Paulo Victor,,,paulo-victor,P. Victor,G,48,187.0,212,M,34142,EUR,537408000.0,G,48,48,False,19.0,19.0,3.0,3.0,17.0,17.0,2.0,2.0,1.0,1.0,1.0,12.0,1.0,3.0,1.0,1.0,90.0,33.0,6.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11452992,home,Al-Ettifaq,Radhi Al-Oteibi,,,radhi-al-oteibi,R. Al-Oteibi,D,61,170.0,28,M,963642,EUR,960768000.0,D,61,61,False,25.0,18.0,2.0,,9.0,10.0,11.0,21.0,,4.0,2.0,2.0,,,,,90.0,48.0,6.5,0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,13.0,1.0,,,,,,,,,,,,,,,,,
11452992,home,Al-Ettifaq,Jack Hendry,,,jack-hendry,J. Hendry,D,4,195.0,333,M,795696,EUR,799804800.0,D,4,4,False,85.0,75.0,7.0,4.0,35.0,35.0,40.0,50.0,2.0,3.0,,4.0,,,,,90.0,89.0,6.5,0,,,1.0,3.0,1.0,,,,,11.0,,2.0,1.0,1.0,,,,,,,,,,,,,,
11452992,home,Al-Ettifaq,Abdullah Al Khateeb,,,abdullah-al-khateeb,A. A. Khateeb,D,70,173.0,38,M,920498,EUR,794966400.0,D,70,70,False,56.0,54.0,,,42.0,42.0,12.0,14.0,3.0,3.0,2.0,6.0,,,,,90.0,63.0,6.3,1,,,1.0,3.0,1.0,,,1.0,,3.0,,,,,1.0,1.0,,,,,,,,,,,,
11452992,home,Al-Ettifaq,Hamdan Al-Shamrani,,,hamdan-al-shamrani,H. Al-Shamrani,D,27,176.0,29,M,882132,EUR,850521600.0,D,13,13,False,34.0,33.0,1.0,1.0,16.0,16.0,18.0,23.0,3.0,7.0,1.0,2.0,,,,,85.0,49.0,6.3,0,5.0,1.0,,6.0,3.0,1.0,4.0,,,6.0,1.0,,,,,2.0,1.0,1.0,,,,,,,,,,
11452992,home,Al-Ettifaq,Ali Hazazi,,,ali-hazazi,A. Hazazi,M,11,185.0,62,M,818699,EUR,761529600.0,M,11,11,False,30.0,28.0,2.0,2.0,11.0,12.0,17.0,19.0,,6.0,,2.0,,,,,63.0,47.0,6.7,1,1.0,,,6.0,1.0,,1.0,,3.0,7.0,,3.0,2.0,,1.0,2.0,2.0,,,,,,,,,,,
11452992,home,Al-Ettifaq,Jordan Henderson,,,jordan-henderson,J. Henderson,M,6,183.0,6336,M,42694,EUR,645580800.0,M,10,10,False,102.0,93.0,13.0,10.0,47.0,47.0,48.0,59.0,,3.0,,6.0,,,,,90.0,111.0,7.7,0,4.0,2.0,,2.0,2.0,,1.0,,1.0,11.0,1.0,1.0,1.0,,,,,1.0,jordanhenderson,True,1.0,,,,,,,
11452992,home,Al-Ettifaq,Georginio Wijnaldum,,,georginio-wijnaldum,G. Wijnaldum,M,8,175.0,8339,M,22126,EUR,658281600.0,M,25,25,False,64.0,57.0,2.0,1.0,27.0,27.0,30.0,37.0,1.0,5.0,,5.0,,,,,90.0,81.0,8.8,6,,,,4.0,1.0,,1.0,1.0,,12.0,1.0,5.0,3.0,,2.0,,1.0,1.0,gwijnaldum,,,3.0,1.0,2.0,,,,
11452992,home,Al-Ettifaq,Robin Quaison,,,robin-quaison,R. Quaison,F,,184.0,385,M,163565,EUR,750124800.0,F,99,99,False,6.0,6.0,,,1.0,1.0,5.0,5.0,,2.0,,1.0,,,,,70.0,11.0,6.4,0,,,,2.0,,,,,2.0,2.0,,2.0,,,,,,,,,,,,,1.0,,,
11452992,home,Al-Ettifaq,Moussa Dembélé,,,moussa-dembele,M. Dembélé,F,9,183.0,2632,M,318653,EUR,837129600.0,F,9,9,False,21.0,19.0,,,5.0,6.0,14.0,15.0,4.0,5.0,,2.0,,,,,90.0,34.0,8.6,7,,,,2.0,,,,3.0,1.0,6.0,2.0,1.0,,,3.0,1.0,,,,,1.0,3.0,1.0,2.0,,2.0,,
