match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialWon,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_interceptionWon,stat_totalTackle,player_firstName,player_lastName,stat_goals,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_challengeLost,stat_totalOffside,stat_hitWoodwork,stat_goodHighClaim
11880344,home,FC Bayern München,Manuel Neuer,manuel-neuer,M. Neuer,G,1,193,36498,M,MNeuer,8959,EUR,512265600,G,1,1,False,True,21.0,19.0,6.0,4.0,16.0,17.0,3.0,4.0,1.0,7.0,1.0,1.0,90.0,27.0,7.1,2.0,0.0006494,0,0.1662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11880344,home,FC Bayern München,Konrad Laimer,konrad-laimer,K. Laimer,D,27,180,7452,M,KonradLaimer,355492,EUR,864691200,D,27,27,False,,80.0,76.0,,,24.0,24.0,53.0,58.0,,5.0,,,86.0,98.0,7.3,9.0,0.313197,2,,2.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.099,2.0,,,,,,,,,,,,,,,,,
11880344,home,FC Bayern München,Matthijs de Ligt,matthijs-de-ligt,M. de Ligt,D,4,188,32702,M,mdeligt,803031,EUR,934416000,D,4,4,False,,95.0,88.0,4.0,3.0,37.0,42.0,51.0,53.0,1.0,8.0,,,90.0,104.0,7.6,8.0,0.0251461,2,,,,3.0,4.0,5.0,1.0,1.0,1.0,1.0,,,0.2751,,4.0,1.0,1.0,0.5002,,,,,,,,,,,,,
11880344,home,FC Bayern München,Dayot Upamecano,dayot-upamecano,D. Upamecano,D,2,185,14152,M,Upamecano,798583,EUR,909446400,D,2,2,False,,50.0,49.0,2.0,2.0,19.0,20.0,30.0,30.0,,5.0,,,45.0,56.0,7.0,1.0,0.0180201,1,,,,2.0,2.0,2.0,,,,,,,0.239,,1.0,1.0,,0.3609,1.0,2.0,1.0,,,,,,,,,,
11880344,home,FC Bayern München,Raphaël Guerreiro,raphael-guerreiro,R. Guerreiro,D,22,170,7880,M,raphaelguerreiro14,246999,EUR,756518400,D,22,22,False,,107.0,105.0,1.0,1.0,25.0,25.0,81.0,86.0,,4.0,,,90.0,128.0,9.4,7.0,0.534421,2,,4.0,1.0,,,4.0,,3.0,3.0,1.0,,,0.2808,4.0,,1.0,,0.3212,,1.0,1.0,,,1.0,1.0,1.0,,,,,
11880344,home,FC Bayern München,Joshua Kimmich,joshua-kimmich,J. Kimmich,M,6,176,42486,M,Jok_32,259117,EUR,792201600,M,6,6,False,,103.0,98.0,4.0,3.0,26.0,26.0,74.0,84.0,2.0,5.0,,,90.0,125.0,8.1,13.0,0.418348,1,,7.0,2.0,4.0,4.0,3.0,,,,,,,0.057,4.0,,1.0,,0.0845,,1.0,2.0,,,,1.0,,1.0,,,,
11880344,home,FC Bayern München,Leon Goretzka,leon-goretzka,L. Goretzka,M,8,189,12148,M,leon_goretzka,184661,EUR,792028800,M,8,8,False,,80.0,68.0,3.0,2.0,15.0,21.0,53.0,59.0,2.0,7.0,,,90.0,97.0,7.8,15.0,0.0973567,3,,,,1.0,6.0,6.0,2.0,,,1.0,,1.0,0.1513,2.0,2.0,2.0,,0.3176,,2.0,3.0,,,,2.0,1.0,1.0,2.0,,,
11880344,home,FC Bayern München,Leroy Sané,leroy-sane,L. Sané,M,10,184,41295,M,LeroySane,293519,EUR,821318400,M,10,10,False,,50.0,42.0,,,4.0,4.0,38.0,55.0,,7.0,,,90.0,74.0,7.9,22.0,0.189044,3,,9.0,,,1.0,5.0,,5.0,4.0,2.0,1.0,,0.141,2.0,,,,,,,,,,,,2.0,1.0,,2.0,,
11880344,home,FC Bayern München,Jamal Musiala,jamal-musiala,J. Musiala,M,10,184,116690,M,Bambi,1010231,EUR,1046217600,M,42,42,False,,32.0,26.0,,,3.0,6.0,23.0,26.0,,4.0,,,76.0,45.0,7.2,10.0,0.199152,2,,,,,3.0,6.0,,4.0,2.0,,,1.0,0.3245,1.0,1.0,2.0,,0.7963,1.0,,2.0,,,,2.0,1.0,1.0,,1.0,,
11880344,home,FC Bayern München,Kingsley Coman,kingsley-coman,K. Coman,M,21,178,32905,M,KingComan,280441,EUR,834624000,M,11,11,False,,45.0,41.0,,,6.0,6.0,35.0,48.0,,4.0,,,76.0,66.0,7.1,19.0,0.117946,3,,9.0,,1.0,5.0,1.0,,5.0,1.0,1.0,1.0,,0.138,1.0,,1.0,,0.2693,,,,,,,,2.0,,,,,
