match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_aerialWon,stat_wasFouled,player_firstName,player_lastName,stat_penaltyConceded,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_blockedScoringAttempt,stat_goals,captain,stat_totalOffside,player_sofascoreId,stat_penaltyWon
11406744,home,Torino,Vanja Milinković-Savić,vanja-milinkovic-savic,V. Milinković-Savić,G,32,202,6222,M,356160,EUR,856396800,G,32,32,False,39.0,19.0,28.0,8.0,0.0,12.0,12.0,7.0,27.0,1.0,9.0,2.0,1.0,3.0,90.0,47.0,6.9,21.0,0.00405699,0,0.2202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406744,home,Torino,Adrien Tameze,adrien-tameze,A. Tameze,M,61,182,371,M,139235,EUR,760320000,D,61,61,False,26.0,22.0,,,0.0,16.0,17.0,6.0,9.0,,5.0,,,,90.0,39.0,6.8,6.0,0.00219753,1,,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.2679,,,,,,,,,,,,,,,,,
11406744,home,Torino,Alessandro Buongiorno,alessandro-buongiorno,A. Buongiorno,D,4,191,3972,M,870263,EUR,928627200,D,4,4,False,23.0,22.0,1.0,1.0,0.0,19.0,20.0,3.0,3.0,6.0,4.0,,,,80.0,39.0,7.0,2.0,0.00209982,0,,2.0,3.0,5.0,,,,,,,3.0,1.0,,1.0,1.0,,1.0,3.0,,,,,,,,,,,,,,,
11406744,home,Torino,Adam Masina,adam-masina,A. Masina,D,,189,5428,M,259995,EUR,757468800,D,5,5,False,28.0,26.0,4.0,3.0,0.0,20.0,20.0,6.0,8.0,4.0,2.0,,,,90.0,41.0,6.6,4.0,0.00130211,0,,1.0,2.0,3.0,,,,,,1.0,,3.0,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,
11406744,home,Torino,Raoul Bellanova,raoul-bellanova,R. Bellanova,M,16,188,2480,M,826185,EUR,958521600,M,19,19,False,13.0,11.0,2.0,,1.0,8.0,8.0,4.0,7.0,4.0,,,,,74.0,29.0,6.9,6.0,0.122184,1,,,5.0,3.0,2.0,1.0,2.0,,,1.0,,2.0,1.0,,,0.0194,,1.0,,,,2.0,1.0,1.0,1.0,0.0243,1.0,,,,,,
11406744,home,Torino,Karol Linetty,karol-linetty,K. Linetty,M,10,176,2109,M,189135,EUR,791683200,M,77,77,False,24.0,20.0,2.0,1.0,0.0,9.0,11.0,11.0,14.0,1.0,5.0,,,,90.0,34.0,6.7,6.0,0.00659746,2,,,5.0,2.0,,,,,2.0,,2.0,1.0,,1.0,5.0,0.1287,1.0,,,,,1.0,,,,,,,,,,,
11406744,home,Torino,Ivan Ilić,ivan-ilic,I. Ilić,M,8,185,1776,M,877371,EUR,984787200,M,8,8,False,28.0,22.0,4.0,1.0,0.0,11.0,13.0,12.0,18.0,1.0,2.0,,,,90.0,43.0,7.2,10.0,0.0513466,3,,1.0,3.0,2.0,,,,,1.0,,1.0,2.0,,1.0,3.0,0.2621,,,,,,3.0,1.0,,1.0,0.4524,1.0,1.0,1.0,,,,
11406744,home,Torino,Ricardo Rodríguez,ricardo-rodriguez,R. Rodríguez,D,12,182,1729,M,67769,EUR,714700800,M,13,13,False,23.0,18.0,3.0,1.0,1.0,6.0,7.0,13.0,17.0,1.0,2.0,,,,61.0,36.0,8.2,7.0,0.128844,1,,,1.0,3.0,,,1.0,,,1.0,,1.0,1.0,1.0,,0.0236,2.0,,,,,1.0,1.0,1.0,1.0,0.1025,1.0,,1.0,True,,,
11406744,home,Torino,Samuele Ricci,samuele-ricci,S. Ricci,M,4,182,4118,M,930189,EUR,998352000,F,28,28,False,28.0,24.0,3.0,2.0,0.0,7.0,9.0,17.0,19.0,,2.0,,,,90.0,37.0,7.3,5.0,0.0598481,0,,1.0,2.0,7.0,,,,,,,1.0,3.0,3.0,1.0,1.0,,2.0,3.0,,,,,,,,,1.0,,,,,,
11406744,home,Torino,Pietro Pellegri,pietro-pellegri,P. Pellegri,F,9,188,924,M,839226,EUR,984787200,F,11,11,False,14.0,11.0,,,1.0,2.0,2.0,9.0,13.0,,2.0,,,,74.0,27.0,7.3,6.0,0.0789384,0,,1.0,2.0,5.0,,1.0,1.0,1.0,,,1.0,,,1.0,,,1.0,4.0,,,,1.0,,,,,3.0,,,,1.0,,
