match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialWon,stat_shotOffTarget,stat_wasFouled,stat_fouls,stat_shotValueNormalized,player_firstName,player_lastName,stat_bigChanceMissed,stat_outfielderBlock,stat_interceptionWon,stat_challengeLost,stat_dispossessed,stat_blockedScoringAttempt,captain,stat_bigChanceCreated,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_keeperSaveValue,stat_totalOffside,stat_goals
14083574,home,Rayo Vallecano,Augusto Batalla,augusto-batalla,A. Batalla,G,13,186.0,1488,M,358910,EUR,830822400,G,13,13,False,45.0,37.0,12.0,4.0,0.0,36.0,39.0,1.0,6.0,6.0,1.0,1.0,90.0,49.0,6.4,8.0,0.00036958,0,-0.034,0.01,0.0,-0.11,-0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083574,home,Rayo Vallecano,Andrei Rațiu,andrei-ratiu,A. Rațiu,D,2,183.0,8158,M,965031,EUR,898300800,D,2,2,False,49.0,38.0,6.0,3.0,0.0,21.0,25.0,17.0,24.0,8.0,,,90.0,76.0,6.6,19.0,0.115103,1,,0.12,0.06,-0.13,,Sonic,4.0,1.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,0.0201,0.0147,1.0,,,,,,,,,,,,,,,,,,,,,,,
14083574,home,Rayo Vallecano,Florian Lejeune,florian-lejeune,F. Lejeune,D,24,190.0,1047,M,88528,EUR,674697600,D,24,24,False,83.0,73.0,10.0,6.0,0.0,54.0,58.0,19.0,25.0,6.0,,,90.0,93.0,7.0,10.0,0.00961968,3,,0.25,0.08,-0.08,,,,,,2.0,4.0,,,1.0,4.0,1.0,1.0,,0.0664,0.1758,1.0,2.0,2.0,1.0,2.0,-0.2,,,,,,,,,,,,,,,,,,
14083574,home,Rayo Vallecano,Pathé Ismaël Ciss,ismaila-ciss,P. I. Ciss,M,6,183.0,4735,M,913679,EUR,763776000,D,6,6,False,73.0,66.0,9.0,5.0,0.0,48.0,50.0,18.0,23.0,6.0,,,90.0,86.0,7.5,7.0,0.018595,1,,0.35,0.08,-0.03,,,,,1.0,1.0,4.0,,,1.0,5.0,1.0,1.0,,0.3437,0.1645,,2.0,,1.0,,0.03,,,1.0,1.0,1.0,,,,,,,,,,,,,
14083574,home,Rayo Vallecano,Josep Chavarría,josep-chavarria,J. Chavarría,D,3,174.0,630,M,1010421,EUR,892166400,D,3,3,False,38.0,29.0,9.0,3.0,0.0,16.0,20.0,13.0,18.0,5.0,,,90.0,68.0,6.8,18.0,0.103508,1,,0.34,0.4,-0.12,,,6.0,1.0,1.0,5.0,3.0,3.0,1.0,,1.0,2.0,,1.0,0.052,,1.0,,,,1.0,-0.36,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,
14083574,home,Rayo Vallecano,Jorge de Frutos,jorge-de-frutos,J. de Frutos,M,19,173.0,1878,M,900003,EUR,849312000,M,19,19,False,14.0,11.0,1.0,1.0,0.0,4.0,5.0,7.0,9.0,4.0,,,67.0,28.0,7.3,10.0,0.0495598,0,,0.34,0.12,0.15,,,3.0,,,3.0,5.0,4.0,3.0,,1.0,,,1.0,,,2.0,1.0,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,
14083574,home,Rayo Vallecano,Pedro Díaz,pedro-diaz,P. Díaz,M,4,180.0,572,M,900669,EUR,897004800,M,4,4,False,32.0,30.0,,,0.0,11.0,12.0,19.0,20.0,4.0,,,67.0,41.0,6.7,6.0,0.0146374,0,,0.09,-0.23,0.15,,,2.0,,,2.0,1.0,1.0,,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
14083574,home,Rayo Vallecano,Óscar Valentín,oscar-valentin,Ó. Valentín,M,23,177.0,443,M,900008,EUR,777340800,M,23,23,False,39.0,33.0,2.0,1.0,0.0,15.0,16.0,18.0,23.0,4.0,,,89.0,60.0,7.3,7.0,0.0420648,0,,0.39,0.14,0.33,,,,,3.0,4.0,6.0,1.0,,,2.0,6.0,4.0,,,,,,,,,,,,,1.0,3.0,,,,True,,,,,,,,,
14083574,home,Rayo Vallecano,Álvaro García,alvaro-garcia,Á. García,M,18,168.0,1132,M,345111,EUR,720144000,M,18,18,False,24.0,15.0,4.0,3.0,0.0,3.0,4.0,12.0,20.0,5.0,,,90.0,48.0,7.3,20.0,0.533392,4,,0.48,0.2,-0.08,,,8.0,1.0,1.0,4.0,3.0,1.0,,1.0,2.0,1.0,1.0,3.0,0.4419,0.7741,4.0,,1.0,2.0,1.0,0.15,,,,,,1.0,,2.0,,1.0,,,,,,,,
14083574,home,Rayo Vallecano,Alemão,alemao,Alemão,F,9,182.0,1258,M,981604,EUR,891388800,F,9,9,False,14.0,9.0,,,0.0,1.0,3.0,8.0,11.0,3.0,,,78.0,30.0,7.0,10.0,0.0111814,3,,0.06,-0.14,0.16,,,,,4.0,4.0,11.0,2.0,2.0,1.0,,1.0,,5.0,0.2357,0.1067,,3.0,1.0,5.0,,0.04,,,,,,,,1.0,,,,,,,,,,
