match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_accurateCross,stat_challengeLost,stat_shotOffTarget,stat_totalOffside,stat_expectedGoals,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_hitWoodwork,stat_errorLeadToAShot
12421258,home,KAA Gent,Tom Vandenberghe,,,tom-vandenberghe,T. Vandenberghe,G,23,190,77,M,1046454,EUR,714009600,G,32,32,False,38.0,23.0,19.0,4.0,0.0,21.0,23.0,2.0,15.0,1.0,7.0,1.0,1.0,1.0,1.0,90.0,46.0,6.2,15.0,0.00037239,0,-0.1141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421258,home,KAA Gent,Matisse Samoise,,,matisse-samoise,M. Samoise,M,18,180,256,M,1046245,EUR,1006300800,D,18,18,False,58.0,41.0,12.0,5.0,0.0,21.0,27.0,20.0,32.0,4.0,7.0,,,,,89.0,86.0,6.6,26.0,0.0258337,0,,1.0,1.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
12421258,home,KAA Gent,Jordan Torunarigha,,,jordan-torunarigha,J. Torunarigha,D,25,189,608,M,801003,EUR,870912000,D,23,23,False,47.0,38.0,9.0,8.0,0.0,30.0,35.0,8.0,12.0,5.0,4.0,,,,,90.0,61.0,6.9,10.0,0.0261033,0,,,4.0,5.0,4.0,5.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,
12421258,home,KAA Gent,Samuel Kotto,,,kotto-samuel,S. Kotto,D,22,190,2111,M,1103229,EUR,1062547200,D,2,2,False,61.0,46.0,14.0,5.0,0.0,36.0,44.0,10.0,17.0,5.0,9.0,,,,,90.0,76.0,6.7,17.0,0.00232752,0,,,2.0,4.0,2.0,8.0,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,
12421258,home,KAA Gent,Tiago Araújo,,,tiago-araujo,T. Araújo,D,20,184,265,M,997024,EUR,985651200,D,20,20,False,40.0,27.0,10.0,2.0,0.0,13.0,19.0,15.0,22.0,3.0,7.0,,,,,72.0,63.0,6.3,19.0,0.0279138,1,,1.0,,,5.0,3.0,,3.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,3.0,1.0,1.0,0.0311,,,,,,,,,
12421258,home,KAA Gent,Atsuki Ito,Atsuki Ito,,atsuki-ito,A. Ito,M,15,185,595,M,1034816,EUR,902793600,M,15,15,False,42.0,34.0,7.0,3.0,0.0,16.0,19.0,18.0,23.0,,3.0,,,,,90.0,62.0,7.4,11.0,0.618428,2,,,1.0,2.0,1.0,7.0,,2.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,,,,1.0,,0.1282,1.0,0.7369,,,,,,,
12421258,home,KAA Gent,Leonardo Lopes,,,leonardo-lopes,L. Lopes,M,22,168,202,M,783478,EUR,912384000,M,5,5,False,44.0,30.0,5.0,3.0,0.0,17.0,20.0,13.0,25.0,,9.0,,,,,90.0,66.0,7.0,22.0,0.00927052,0,,1.0,4.0,5.0,9.0,10.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,2.0,,,,,,,,,,,,
12421258,home,KAA Gent,Mathias Delorge,Mathias Delorge-Knieper,,mathias-delorge-knieper,M. Delorge,M,17,189,582,M,1124749,EUR,1091232000,M,16,16,False,38.0,28.0,4.0,,0.0,12.0,14.0,17.0,27.0,,5.0,,,,,71.0,52.0,6.3,16.0,0.0599254,1,,3.0,1.0,2.0,5.0,4.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,0.02,,,1.0,,,,,,
12421258,home,KAA Gent,Sven Kums,,,sven-kums,S. Kums,M,,176,162,M,45990,EUR,572832000,M,24,24,False,39.0,33.0,4.0,3.0,0.0,16.0,16.0,17.0,26.0,,3.0,,,,,59.0,49.0,7.0,11.0,0.446649,0,,3.0,,2.0,2.0,5.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,True,1.0,,,,
12421258,home,KAA Gent,Dante Vanzeir,,,dante-vanzeir,D. Vanzeir,F,13,175,635,M,822673,EUR,892684800,F,14,14,False,34.0,23.0,1.0,1.0,1.0,8.0,10.0,15.0,26.0,,5.0,,,,,90.0,44.0,7.2,19.0,0.201461,0,,2.0,4.0,2.0,6.0,3.0,,1.0,,,,,4.0,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,,,,
