match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_accurateCross,stat_aerialLost,stat_bigChanceCreated,stat_totalOffside,stat_keyPass,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot
12514102,home,Rio Ave,Cezary Miszta,,,cezary-miszta,C. Miszta,G,1,192,662,M,938292,EUR,1004400000,G,1,1,False,39.0,30.0,15.0,7.0,0.0,29.0,35.0,1.0,4.0,2.0,6.0,5.0,6.0,1.0,90.0,51.0,7.7,9.0,0.00021728,0,0.3922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514102,home,Rio Ave,Marios Vrousai,,,marios-vrousai,M. Vrousai,D,17,183,243,M,848521,EUR,899337600,D,17,17,False,44.0,35.0,6.0,5.0,0.0,21.0,22.0,14.0,24.0,6.0,7.0,,,,90.0,75.0,7.2,16.0,0.0112784,1,,True,2.0,1.0,4.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0175,,,,,,,,,,,,,,,
12514102,home,Rio Ave,Andreas Ndoj,,,andreas-ndoj,A. Ndoj,D,5,190,426,M,1005992,EUR,1044144000,D,3,3,False,46.0,36.0,7.0,1.0,0.0,29.0,33.0,7.0,13.0,12.0,3.0,,,,90.0,64.0,6.9,10.0,0.00405356,1,,,,1.0,1.0,1.0,1.0,,,,,2.0,,,,,,0.0583,1.0,,,,,,,,,,,,,,
12514102,home,Rio Ave,Jonathan Panzo,,,jonathan-panzo,J. Panzo,D,37,186,230,M,867438,EUR,971568000,D,2,2,False,43.0,40.0,4.0,2.0,0.0,37.0,38.0,3.0,5.0,7.0,3.0,,,,90.0,54.0,7.5,3.0,0.0010583,1,,,,3.0,2.0,5.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,0.3302,,1.0,1.0,0.717,,,,,,,,,,,
12514102,home,Rio Ave,Nelson Abbey,Nelson Abbey,,nelson-abbey,N. Abbey,D,6,187,247,M,1064359,EUR,1062028800,D,4,4,False,25.0,17.0,5.0,3.0,0.0,15.0,18.0,2.0,9.0,4.0,5.0,,,,72.0,49.0,6.4,16.0,0.00134255,0,,,2.0,,2.0,1.0,,1.0,,,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,
12514102,home,Rio Ave,Demir Ege Tıknaz,,,demir-ege-tiknaz,D. E. Tıknaz,M,34,194,2293,M,1142613,EUR,1092700800,M,34,34,False,41.0,36.0,5.0,5.0,0.0,26.0,26.0,10.0,15.0,3.0,9.0,,,,90.0,54.0,6.9,7.0,0.00842622,0,,,,2.0,3.0,4.0,,2.0,1.0,,,3.0,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,
12514102,home,Rio Ave,Brandon Aguilera,,,brandon-aguilera,B. Aguilera,M,10,180,927,M,1020203,EUR,1056758400,M,16,16,False,33.0,25.0,6.0,4.0,1.0,15.0,16.0,11.0,19.0,1.0,5.0,,,,90.0,54.0,7.6,15.0,0.264474,3,,,2.0,1.0,5.0,5.0,,3.0,2.0,2.0,,,,,1.0,2.0,,0.4239,,1.0,,0.1337,3.0,1.0,1.0,1.0,1.0,4.0,,,,,
12514102,home,Rio Ave,André Luiz,André Luiz,,andre-luiz,André Luiz,M,17,185,1296,M,1133282,EUR,1014422400,M,7,7,False,21.0,13.0,,,0.0,5.0,9.0,9.0,13.0,,4.0,,,,89.0,38.0,6.9,12.0,0.111528,2,,,1.0,1.0,5.0,7.0,1.0,3.0,2.0,2.0,,1.0,2.0,,3.0,2.0,1.0,0.1234,,,,,,1.0,2.0,,,1.0,,,,,
12514102,home,Rio Ave,Ole Pohlmann,,,ole-pohlmann,O. Pohlmann,M,80,184,239,M,930273,EUR,986428800,M,80,80,False,17.0,12.0,3.0,2.0,0.0,5.0,5.0,8.0,13.0,1.0,,,,,62.0,26.0,7.1,8.0,0.0290412,0,,,1.0,,1.0,3.0,,1.0,1.0,,1.0,,2.0,1.0,1.0,,,,,,,,1.0,1.0,,,,2.0,,,,,
12514102,home,Rio Ave,Kiko Bondoso,,,bondoso-kiko,K. Bondoso,M,10,171,86,M,1082948,EUR,816566400,M,19,19,False,22.0,15.0,2.0,,0.0,7.0,11.0,8.0,11.0,1.0,6.0,,,,72.0,26.0,6.6,8.0,0.0127664,0,,,,,4.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,,3.0,,,,,,,,
