match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_bigChanceCreated,stat_totalClearance,stat_shotOffTarget,stat_goals,stat_penaltyConceded,captain,stat_bigChanceMissed,player_sofascoreId,stat_blockedScoringAttempt,stat_totalOffside,stat_outfielderBlock,stat_errorLeadToAShot,stat_penaltyWon
14572759,home,FC Midtjylland,Elías Ólafsson,,,elias-olafsson,E. Ólafsson,G,16,201,368,M,879183,EUR,952732800,G,16,16,False,34.0,29.0,14.0,9.0,0.0,24.0,24.0,5.0,10.0,1.0,1.0,12.0,1.0,1.0,1.0,2.0,1.0,90.0,44.0,7.0,5.0,0.00100791,0.0617,0,-0.0322,0.14,-0.02,-0.09,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572759,home,FC Midtjylland,Kevin Mbabu,,,kevin-mbabu,K. Mbabu,D,43,184,780,M,227900,EUR,798249600,D,43,43,False,40.0,32.0,2.0,,0.0,15.0,16.0,17.0,24.0,7.0,,4.0,,,,,,90.0,78.0,6.8,21.0,0.116767,,2,,0.21,0.08,-0.13,,6.0,1.0,1.0,9.0,1.0,5.0,1.0,2.0,1.0,4.0,1.0,1.0,3.0,2.0,0.0645,0.0273,2.0,-0.13,,,,,,,,,,,,,,
14572759,home,FC Midtjylland,Han-Beom Lee,,,han-beom-lee,H. Lee,D,3,188,933,M,1002448,EUR,1024272000,D,3,3,False,71.0,58.0,12.0,6.0,0.0,41.0,43.0,17.0,28.0,4.0,1.0,5.0,,,,,,90.0,76.0,6.4,14.0,0.278332,,0,,0.03,0.1,-0.2,,,,1.0,2.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,
14572759,home,FC Midtjylland,Martin Erlić,,,martin-erlic,M. Erlić,D,6,192,1965,M,789234,EUR,885600000,D,6,6,False,37.0,31.0,7.0,4.0,0.0,21.0,21.0,10.0,16.0,3.0,,3.0,,,,,,85.0,49.0,7.0,7.0,0.00417317,,2,,0.14,0.03,-0.52,,,,4.0,6.0,,,,1.0,,2.0,1.0,1.0,,1.0,0.3767,0.8666,,0.38,2.0,,3.0,1.0,1.0,1.0,,,,,,,,
14572759,home,FC Midtjylland,Mads Bech Sørensen,,,mads-bech-sorensen,M. B. Sørensen,D,22,189,283,M,1006409,EUR,915667200,D,22,22,False,47.0,41.0,5.0,4.0,0.0,22.0,24.0,19.0,23.0,3.0,,5.0,,,,,,90.0,75.0,6.9,11.0,0.105782,,1,,0.27,0.06,-0.06,,,,,4.0,,,,,,2.0,2.0,1.0,2.0,2.0,0.2541,,,-0.29,1.0,,3.0,1.0,,,True,1.0,,,,,,
14572759,home,FC Midtjylland,Pedro Bravo,Pedro Bravo,,pedro-bravo,P. Bravo,M,19,190,581,M,1116573,EUR,1101427200,M,19,19,False,34.0,32.0,3.0,3.0,0.0,15.0,15.0,17.0,19.0,6.0,1.0,9.0,,,,,,90.0,49.0,6.8,7.0,0.0223223,,0,,0.16,0.14,-0.07,,,,3.0,5.0,2.0,1.0,1.0,,3.0,1.0,1.0,3.0,,3.0,,,,,,,2.0,,,,,,,,,,,
14572759,home,FC Midtjylland,Philip Billing,,,philip-billing,P. Billing,M,8,193,1783,M,548660,EUR,834451200,M,8,8,False,42.0,34.0,2.0,2.0,1.0,16.0,16.0,18.0,26.0,3.0,,4.0,,,,,,71.0,49.0,7.6,9.0,0.342587,,0,,0.57,0.08,0.14,,2.0,2.0,1.0,3.0,1.0,,,,,1.0,,,1.0,1.0,,,2.0,,1.0,,1.0,,,,,,,,,,,
14572759,home,FC Midtjylland,Darío Osorio,Darío Osorio,,dario-osorio,D. Osorio,M,11,182,7928,M,1106824,EUR,1074902400,M,11,11,False,18.0,15.0,2.0,1.0,0.0,6.0,6.0,9.0,12.0,2.0,,3.0,,,,,,59.0,34.0,7.5,10.0,0.178345,,4,,0.52,0.26,0.13,,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,5.0,,2.0,0.2428,0.0679,2.0,-0.36,,1.0,,2.0,,,,,daariioo24,1.0,,,,
14572759,home,FC Midtjylland,Gue-sung Cho,,,gue-sung-cho,G. Cho,F,10,188,2291,M,1014281,EUR,885686400,M,10,10,False,17.0,12.0,1.0,1.0,0.0,3.0,6.0,9.0,11.0,8.0,,4.0,,,,,,90.0,35.0,6.5,11.0,0.080455,,5,,0.33,0.43,-0.07,,1.0,,3.0,5.0,2.0,1.0,,3.0,1.0,1.0,,2.0,2.0,1.0,0.692,0.8228,1.0,-0.76,4.0,,,,,,,1.0,,2.0,1.0,,,
14572759,home,FC Midtjylland,Mikel Gogorza,,,mikel-gogorza,M. Gogorza,F,41,175,706,M,1146549,EUR,1159315200,M,41,41,False,21.0,18.0,1.0,1.0,1.0,8.0,9.0,10.0,12.0,4.0,1.0,1.0,,,,,,59.0,39.0,9.4,12.0,0.765291,,2,,0.85,0.23,-0.05,,6.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,,1.0,1.0,3.0,1.0,,0.1695,0.1609,4.0,0.56,1.0,1.0,,,1.0,,,,,1.0,,,,
