match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_clearanceOffLine,stat_outfielderBlock,stat_fouls,player_lastName,captain,stat_challengeLost,stat_interceptionWon,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_wasFouled,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_wonContest,stat_goals,stat_shotOffTarget,stat_bigChanceMissed,stat_hitWoodwork,stat_penaltyWon,stat_penaltyMiss,stat_goodHighClaim,stat_penaltySave,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_blockedScoringAttempt
12117311,home,Athletico,Mycael,Mycael,mycael,Mycael,G,1,191.0,790,M,1128850,EUR,1079049600.0,G,41,41,False,16.0,9.0,12.0,5.0,0.0,5.0,7.0,4.0,9.0,3.0,7.0,2.0,5.0,2.0,90.0,27.0,8.2,7.0,0.00085124,0,0.8347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117311,home,Athletico,Leonardo Godoy,,leonardo-godoy,L. Godoy,D,29,174.0,518,M,794006,EUR,799027200.0,D,29,29,False,18.0,14.0,4.0,2.0,1.0,6.0,7.0,8.0,12.0,3.0,1.0,,,,90.0,38.0,7.1,10.0,0.0264832,0,,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117311,home,Athletico,Lucas Belezi,,belezi-lucas,L. Belezi,D,45,186.0,218,M,1130040,EUR,1052352000.0,D,45,45,False,21.0,17.0,5.0,3.0,0.0,6.0,6.0,11.0,16.0,10.0,1.0,,,,90.0,37.0,8.2,6.0,0.00703099,0,,1.0,1.0,4.0,2.0,4.0,,,,1.0,,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12117311,home,Athletico,Thiago Heleno,,thiago-heleno,T. Heleno,D,44,185.0,283,M,33106,EUR,590457600.0,D,44,44,False,26.0,17.0,8.0,2.0,0.0,15.0,15.0,2.0,11.0,7.0,3.0,,,,74.0,37.0,6.3,9.0,0.00059188,0,,,2.0,1.0,4.0,2.0,,1.0,,,,,,1.0,,True,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12117311,home,Athletico,Lucas Esquivel,Lucas Esquivel,lucas-esquivel,L. Esquivel,D,37,183.0,1067,M,1087079,EUR,1003017600.0,D,37,37,False,45.0,37.0,7.0,3.0,0.0,15.0,18.0,23.0,31.0,4.0,6.0,,,,90.0,67.0,8.3,12.0,0.555279,1,,4.0,,2.0,1.0,8.0,1.0,5.0,4.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0202,0.0407,,,,,,,,,,,,,,,
12117311,home,Athletico,Gabriel Girotto,,gabriel-girotto,Gabriel,M,6,171.0,540,M,242052,EUR,710726400.0,M,3,3,False,26.0,22.0,1.0,1.0,1.0,9.0,9.0,13.0,17.0,,5.0,,,,87.0,37.0,7.2,6.0,0.0129572,0,,,3.0,,4.0,6.0,1.0,5.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
12117311,home,Athletico,Felipinho,Felipinho,felipinho,Felipinho,M,5,183.0,272,M,1107060,EUR,1003363200.0,M,23,23,False,25.0,17.0,4.0,2.0,0.0,6.0,7.0,11.0,18.0,3.0,4.0,,,,90.0,44.0,7.9,9.0,0.0106966,1,,,2.0,2.0,4.0,11.0,1.0,7.0,6.0,,1.0,,,,,,1.0,2.0,,,1.0,1.0,,0.022,0.0461,1.0,1.0,,,,,,,,,,,,,
12117311,home,Athletico,Nikão,,nikao,Nikão,M,11,174.0,442,M,139300,EUR,712368000.0,M,11,11,False,23.0,20.0,,,0.0,5.0,5.0,15.0,22.0,1.0,2.0,,,,75.0,35.0,7.8,9.0,0.0230167,1,,4.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,1.0,,,0.0923,0.7715,,1.0,1.0,,,,,,,,,,,,
12117311,home,Athletico,João Cruz,,joao-cruz,J. Cruz,M,8,172.0,469,M,1485226,EUR,1147392000.0,M,57,57,False,24.0,17.0,4.0,1.0,0.0,3.0,4.0,15.0,24.0,,3.0,,,,56.0,45.0,6.6,17.0,0.127825,0,,4.0,,,7.0,5.0,3.0,3.0,1.0,3.0,1.0,,,1.0,,,2.0,,1.0,,,,,,,3.0,2.0,,,,,,,,,,,,,
12117311,home,Athletico,Tomás Cuello,,tomas-cuello,T. Cuello,M,28,176.0,1951,M,871273,EUR,952214400.0,M,28,28,False,23.0,19.0,4.0,4.0,0.0,3.0,3.0,16.0,23.0,,8.0,,,,87.0,49.0,8.4,12.0,0.239563,4,,3.0,1.0,,5.0,6.0,3.0,2.0,,4.0,,,1.0,3.0,,,,2.0,,,3.0,1.0,,0.0921,0.364,1.0,3.0,1.0,1.0,,,,,,,,,,,
