match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_interceptionWon,stat_aerialWon,stat_dispossessed,stat_blockedScoringAttempt,stat_fouls,stat_outfielderBlock,stat_accurateCross,stat_wasFouled,stat_keyPass,stat_shotOffTarget,captain,stat_onTargetScoringAttempt,stat_totalOffside,stat_bigChanceCreated,player_sofascoreId,stat_goalAssist,stat_bigChanceMissed,stat_hitWoodwork,stat_goals
10382248,home,Vitesse,Kjell Scherpen,kjell-scherpen,K. Scherpen,G,37,205,781,M,852394,EUR,948585600,G,16,16,False,43.0,31.0,25.0,13.0,25.0,27.0,6.0,16.0,1.0,14.0,3.0,3.0,5.0,1.0,90.0,64.0,7.3,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382248,home,Vitesse,Carlens Arcus,carlens-arcus,C. Arcus,D,2,180,5896,M,794373,EUR,835920000,D,2,2,False,16.0,13.0,2.0,2.0,10.0,11.0,3.0,6.0,1.0,,,,,,45.0,32.0,6.5,7.0,0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
10382248,home,Vitesse,Dominik Oroz,dominik-oroz,D. Oroz,D,5,190,131,M,874936,EUR,972777600,D,6,6,False,59.0,50.0,9.0,2.0,39.0,41.0,11.0,18.0,2.0,1.0,,,,,82.0,68.0,6.4,10.0,0,,1.0,4.0,2.0,3.0,,,2.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,
10382248,home,Vitesse,Nicolas Isimat-Mirin,nicolas-isimat-mirin,N. Isimat-Mirin,D,,189,76,M,781556,EUR,690076800,D,29,29,False,15.0,15.0,,,12.0,12.0,3.0,3.0,,1.0,,,,,19.0,17.0,6.5,1.0,0,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
10382248,home,Vitesse,Maximilian Wittek,maximilian-wittek,M. Wittek,D,32,173,158,M,254125,EUR,808963200,D,32,32,False,56.0,45.0,7.0,3.0,19.0,21.0,26.0,45.0,1.0,8.0,,,,,90.0,84.0,6.8,23.0,1,10.0,1.0,4.0,6.0,1.0,2.0,2.0,3.0,2.0,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,
10382248,home,Vitesse,Melle Meulensteen,melle-meulensteen,M. Meulensteen,M,21,185,201,M,891795,EUR,931046400,M,20,20,False,73.0,68.0,7.0,3.0,45.0,46.0,23.0,27.0,1.0,5.0,,,,,90.0,80.0,6.8,7.0,0,,2.0,4.0,4.0,1.0,1.0,,1.0,1.0,1.0,,,,3.0,,,,2.0,,,,,,,,,,,,,
10382248,home,Vitesse,Sondre Tronstad,sondre-tronstad,S. Trondstad,M,6,173,144,M,228374,EUR,809395200,M,8,8,False,48.0,45.0,2.0,2.0,25.0,26.0,20.0,23.0,,7.0,,,,,82.0,57.0,6.8,6.0,0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,,
10382248,home,Vitesse,Kacper Kozłowski,kacper-kozlowski,K. Kozłowski,M,10,182,3151,M,984602,EUR,1066262400,M,17,17,False,20.0,10.0,2.0,,6.0,7.0,5.0,15.0,,4.0,,,,,54.0,38.0,6.5,19.0,0,2.0,3.0,8.0,5.0,1.0,7.0,4.0,,,4.0,,,,,,,1.0,,1.0,1.0,2.0,,,,,,,,,,
10382248,home,Vitesse,Marco van Ginkel,marco-van-ginkel,M. van Ginkel,F,,186,361,M,112794,EUR,723168000,M,15,15,False,41.0,33.0,1.0,1.0,16.0,19.0,17.0,24.0,,4.0,,,,,90.0,57.0,6.2,18.0,2,2.0,4.0,9.0,6.0,2.0,1.0,,,,5.0,,,,5.0,1.0,,1.0,,,1.0,,2.0,,,,,,,,,
10382248,home,Vitesse,Matúš Bero,matus-bero,M. Bero,M,19,181,413,M,187207,EUR,810345600,M,21,21,False,21.0,18.0,1.0,1.0,9.0,9.0,9.0,12.0,,7.0,,,,,90.0,41.0,6.4,6.0,4,,4.0,12.0,6.0,5.0,2.0,,1.0,,1.0,,,,2.0,,2.0,1.0,,,3.0,,1.0,True,1.0,,,,,,,
