match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_keyPass,captain,stat_aerialLost,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_clearanceOffLine,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_challengeLost,stat_goals,stat_dispossessed,stat_errorLeadToAGoal,stat_punches,stat_blockedScoringAttempt,stat_hitWoodwork,stat_bigChanceMissed,player_sofascoreId,stat_totalOffside
13472906,home,Sport Recife,Gabriel Vasconcelos,gabriel-vasconcelos,G. Vasconcelos,G,1,193,501,M,147467,EUR,717552000,G,1,1,False,27.0,12.0,22.0,7.0,0.0,5.0,5.0,7.0,22.0,6.0,2.0,5.0,1.0,1.0,90.0,36.0,7.0,15.0,0.00251432,0,-0.6733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472906,home,Sport Recife,Matheus Alexandre,matheus-alexandre,M. Alexandre,D,33,188,291,M,953736,EUR,923443200,D,33,33,False,16.0,12.0,1.0,,1.0,3.0,3.0,9.0,13.0,1.0,,,,,90.0,43.0,7.6,7.0,0.103416,1,,,,2.0,1.0,4.0,1.0,9.0,1.0,1.0,1.0,1.0,8.0,1.0,4.0,2.0,1.0,0.0198,1.0,,,,,,,,,,,,,,,,,,
13472906,home,Sport Recife,Rafael Thyere,rafael-thyere,R. Thyere,D,15,190,343,M,354894,EUR,737596800,D,15,15,False,16.0,10.0,3.0,1.0,0.0,7.0,9.0,3.0,7.0,3.0,,,,,90.0,29.0,7.1,6.0,0.0023852,2,,,,,,2.0,4.0,3.0,,,,,6.0,4.0,1.0,1.0,1.0,0.0748,,True,3.0,2.0,0.3014,,,,,,,,,,,,,,
13472906,home,Sport Recife,Ramon Menezes,ramon,R. Menezes,D,40,186,242,M,839516,EUR,799459200,D,40,40,False,30.0,21.0,7.0,4.0,0.0,14.0,19.0,7.0,11.0,3.0,,,,,90.0,39.0,7.4,9.0,0.00128569,0,,,,,,2.0,,3.0,,,,,6.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,
13472906,home,Sport Recife,Igor Cariús,igor-carius,I. Cariús,D,16,183,303,M,874195,EUR,736214400,D,16,16,False,8.0,6.0,1.0,1.0,0.0,4.0,4.0,2.0,4.0,,,,,,45.0,27.0,7.0,6.0,0.00334058,0,,,,,,,2.0,3.0,,,,,5.0,,2.0,2.0,,,,,2.0,,,,,1.0,1.0,,,,,,,,,,
13472906,home,Sport Recife,Zé Lucas,ze-lucas,Zé Lucas,M,58,174,3013,M,2040561,EUR,1206144000,M,58,58,False,22.0,16.0,2.0,1.0,0.0,6.0,7.0,10.0,15.0,4.0,,,,,90.0,32.0,6.3,11.0,0.0177943,0,,,,,,,8.0,3.0,1.0,,,,1.0,,2.0,2.0,3.0,,1.0,,4.0,,,,,4.0,1.0,2.0,,,,,,,,,
13472906,home,Sport Recife,Christian Rivera,christian-rivera,C. Rivera,M,16,184,617,M,832662,EUR,821577600,M,14,14,False,35.0,27.0,3.0,2.0,0.0,15.0,17.0,12.0,18.0,7.0,,,,,90.0,42.0,6.3,10.0,0.00651844,0,,,,,,1.0,6.0,3.0,2.0,1.0,,,,1.0,,,4.0,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,
13472906,home,Sport Recife,Matheusinho,matheusinho,Matheusinho,M,98,164,482,M,822523,EUR,887155200,M,17,17,False,15.0,11.0,1.0,1.0,0.0,4.0,5.0,7.0,10.0,4.0,,,,,73.0,26.0,6.6,7.0,0.0673461,0,,,,1.0,1.0,,1.0,1.0,1.0,,,,2.0,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,
13472906,home,Sport Recife,Lucas Lima,lucas-lima,L. Lima,M,10,176,1742,M,244589,EUR,647481600,M,10,10,False,18.0,13.0,2.0,1.0,0.0,6.0,7.0,7.0,11.0,5.0,,,,,89.0,37.0,8.0,8.0,0.33843,2,,,,8.0,5.0,,2.0,5.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.4965,3.0,,,1.0,0.3806,,,,3.0,1.0,1.0,,,,,,,,
13472906,home,Sport Recife,Léo Pereira,leo-pereira,L. Pereira,M,38,172,371,M,1008491,EUR,962236800,M,38,38,False,8.0,4.0,,,0.0,2.0,3.0,2.0,5.0,1.0,,,,,82.0,24.0,6.8,10.0,0.168963,1,,,,3.0,1.0,1.0,9.0,8.0,2.0,,,1.0,,,1.0,1.0,1.0,0.0488,,,4.0,,,,,2.0,6.0,2.0,,,,,,,,,
