match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalOffside,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_fouls,stat_totalCross,stat_accurateCross,stat_blockedScoringAttempt,stat_expectedGoals,stat_keyPass,stat_dispossessed,stat_wasFouled,player_firstName,player_lastName,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_errorLeadToAGoal,player_sofascoreId,stat_goodHighClaim,stat_errorLeadToAShot,stat_goals
13473364,home,Grêmio,Tiago Volpi,tiago-volpi,T. Volpi,G,18,189,1690,M,243509,EUR,661564800,G,1,1,False,42.0,33.0,20.0,11.0,0.0,28.0,32.0,5.0,10.0,1.0,1.0,1.0,1.0,1.0,9.0,2.0,1.0,1.0,90.0,48.0,6.4,9.0,0.00196858,0,-0.2865,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13473364,home,Grêmio,João Pedro,joao-pedro,J. Pedro,D,18,179,1116,M,605528,EUR,848016000,D,18,18,False,33.0,31.0,6.0,6.0,0.0,13.0,13.0,18.0,20.0,2.0,5.0,1.0,4.0,3.0,4.0,,,,90.0,53.0,6.9,6.0,0.0392142,0,,5.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
13473364,home,Grêmio,Rodrigo Ely,rodrigo-ely,R. Ely,D,5,188,865,M,168745,EUR,752284800,D,5,5,False,10.0,8.0,2.0,1.0,0.0,6.0,6.0,2.0,4.0,1.0,,,,,,,,,27.0,11.0,6.3,3.0,0.00102696,0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
13473364,home,Grêmio,Wagner Leonardo,wagner-leonardo,W. Leonardo,D,3,186,1490,M,976235,EUR,932688000,D,3,3,False,57.0,52.0,8.0,5.0,0.0,41.0,43.0,11.0,14.0,3.0,3.0,,,,5.0,,,,90.0,68.0,6.9,6.0,0.00525183,0,,6.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
13473364,home,Grêmio,Lucas Esteves,lucas-esteves,L. Esteves,D,25,171,881,M,1387272,EUR,961804800,D,25,25,False,39.0,34.0,3.0,1.0,0.0,17.0,17.0,17.0,22.0,1.0,3.0,,2.0,2.0,6.0,,,,90.0,61.0,6.9,10.0,0.116485,1,,1.0,1.0,1.0,1.0,2.0,,1.0,,,,4.0,2.0,1.0,0.0389,1.0,,,,,,,,,,,,,
13473364,home,Grêmio,Camilo,camilo,Camilo,M,15,176,596,M,975319,EUR,919728000,M,15,15,False,21.0,19.0,1.0,1.0,0.0,10.0,10.0,9.0,11.0,4.0,4.0,1.0,3.0,1.0,1.0,,,,75.0,37.0,6.8,5.0,0.0135809,0,,5.0,3.0,3.0,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
13473364,home,Grêmio,Mathias Villasanti,mathias-villasanti,M. Villasanti,M,20,178,2843,M,1139775,EUR,854064000,M,20,20,False,35.0,31.0,4.0,2.0,0.0,19.0,20.0,12.0,15.0,8.0,7.0,1.0,4.0,2.0,9.0,,,,90.0,52.0,6.9,7.0,0.0072982,0,,1.0,1.0,4.0,4.0,,,1.0,,,3.0,,,,,,1.0,1.0,,,,,,,,,,,
13473364,home,Grêmio,Cristian Pavón,cristian-pavon,C. Pavón,M,7,169,2406,M,358956,EUR,822182400,M,7,7,False,30.0,20.0,3.0,1.0,0.0,9.0,10.0,11.0,20.0,7.0,6.0,1.0,3.0,1.0,6.0,,,,75.0,51.0,6.7,21.0,0.0743579,2,,,1.0,1.0,1.0,1.0,,2.0,2.0,,,4.0,,,0.0362,1.0,2.0,2.0,,,1.0,1.0,0.0097,,,,,,
13473364,home,Grêmio,Edenilson,edenilson,Edenilson,M,8,175,1388,M,221636,EUR,629942400,M,8,8,False,16.0,9.0,3.0,,0.0,5.0,6.0,4.0,10.0,4.0,,1.0,1.0,,2.0,,,,61.0,26.0,5.6,11.0,0.00580145,0,,,,,,3.0,,1.0,,,1.0,,,,,1.0,,,,,,,,True,1.0,,,,
13473364,home,Grêmio,Franco Cristaldo,franco-cristaldo,F. Cristaldo,M,10,175,2295,M,558820,EUR,840067200,M,10,10,False,13.0,10.0,1.0,,0.0,2.0,2.0,8.0,11.0,3.0,5.0,,2.0,,2.0,,,,75.0,30.0,6.7,12.0,0.0056715,3,,,,2.0,2.0,,,,1.0,,,6.0,,2.0,0.1479,1.0,1.0,2.0,,,1.0,,,,,,,,
