match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOwnHalfPasses,stat_aerialLost,stat_duelLost,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalOffside,stat_totalCross,stat_accurateCross,stat_keyPass,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_expectedGoals,player_sofascoreId,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_shotOffTarget,player_firstName,player_lastName,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_saves,stat_lastManTackle,stat_errorLeadToAGoal
12530731,home,Göztepe,Mateusz Lis,mateusz-lis,M. Lis,G,1,192,577,M,798375,EUR,857001600,G,97,97,False,True,32.0,7.0,32.0,7.0,0.0,2.0,7.0,30.0,1.0,1.0,1.0,10.0,1.0,2.0,2.0,90.0,35.0,6.0,25.0,0.00395207,0,-1.4862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530731,home,Göztepe,Malcom Bokele,malcom-bokele,M. Bokele,D,26,193,545,M,1122632,EUR,950313600,D,26,26,False,,30.0,17.0,7.0,2.0,0.0,13.0,10.0,17.0,3.0,4.0,5.0,7.0,,,,90.0,46.0,6.6,15.0,0.00645159,0,,7.0,3.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530731,home,Göztepe,Héliton,heliton,Héliton,D,5,196,324,M,922725,EUR,816220800,D,5,5,False,,16.0,10.0,5.0,1.0,0.0,8.0,4.0,8.0,9.0,12.0,12.0,3.0,,,,90.0,34.0,7.0,7.0,0.00110379,0,,6.0,1.0,4.0,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
12530731,home,Göztepe,Koray Günter,koray-gunter,K. Günter,D,22,185,219,M,138165,EUR,776995200,D,22,22,False,,36.0,19.0,7.0,2.0,0.0,14.0,11.0,22.0,7.0,8.0,6.0,8.0,,,,90.0,49.0,6.8,18.0,0.00627106,0,,8.0,,3.0,3.0,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
12530731,home,Göztepe,Lasse Nielsen,lasse-nielsen,L. Nielsen,D,4,185,71,M,21547,EUR,568598400,M,24,24,False,,27.0,14.0,5.0,,0.0,6.0,11.0,29.0,2.0,3.0,4.0,5.0,,,,90.0,59.0,6.9,25.0,0.234299,0,,5.0,4.0,7.0,2.0,1.0,,1.0,,,1.0,1.0,1.0,3.0,,8.0,2.0,2.0,,,,,,,,,,,,,,,,
12530731,home,Göztepe,Anthony Junior Dennis,dennis-anthony-junior,A. J. Dennis,M,30,180,461,M,1484438,EUR,1087776000,M,16,16,False,,34.0,26.0,3.0,1.0,0.0,10.0,18.0,24.0,,10.0,2.0,11.0,,,,85.0,58.0,7.1,17.0,0.0688176,1,,8.0,1.0,7.0,,4.0,1.0,1.0,5.0,4.0,,5.0,4.0,1.0,,,,2.0,3.0,1.0,1.0,0.023,,,,,,,,,,,,
12530731,home,Göztepe,Novatus Miroshi,novatus-miroshi,N. Miroshi,M,20,185,3867,M,1103597,EUR,1030924800,M,20,20,False,,42.0,30.0,4.0,,0.0,15.0,16.0,27.0,3.0,7.0,5.0,5.0,,,,90.0,59.0,7.2,14.0,0.0187742,2,,14.0,5.0,8.0,,1.0,1.0,1.0,,,,3.0,2.0,1.0,,,,1.0,1.0,,1.0,0.8366,novatus_40,1.0,1.0,0.6964,,,,,,,,
12530731,home,Göztepe,Djalma,djalma-silva,Djalma,M,,180,97,M,973933,EUR,779932800,M,66,66,False,,10.0,3.0,2.0,,0.0,1.0,3.0,9.0,2.0,5.0,1.0,3.0,,,,24.0,20.0,6.8,9.0,0.00258752,2,,,,1.0,,1.0,,,3.0,2.0,,1.0,1.0,,,,,,,,1.0,0.0295,,,,,1.0,,,,,,,
12530731,home,Göztepe,David Tijanič,david-tijanic,D. Tijanič,F,43,174,389,M,827369,EUR,869011200,F,43,43,False,,30.0,26.0,1.0,1.0,0.0,6.0,20.0,26.0,1.0,2.0,,3.0,,,,85.0,45.0,6.8,14.0,0.0643788,3,,6.0,5.0,10.0,,3.0,,1.0,1.0,,,1.0,1.0,,2.0,2.0,,1.0,3.0,,,1.0008,,,,,3.0,,,2.0,,,,
12530731,home,Göztepe,Kuryu Matsuki,kuryu-matsuki,K. Matsuki,M,27,178,1417,M,1154637,EUR,1051660800,F,7,7,False,,17.0,15.0,1.0,1.0,0.0,4.0,12.0,13.0,2.0,3.0,,4.0,,,,57.0,23.0,7.2,4.0,0.306143,0,,3.0,6.0,7.0,,2.0,1.0,,,,,,,2.0,,,,2.0,,1.0,,,,,,,,Kuryu Matsuki,,,,,,
