match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_blockedScoringAttempt,stat_expectedGoals,stat_onTargetScoringAttempt,stat_interceptionWon,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_goals,captain,stat_keyPass,stat_wasFouled,stat_goalAssist,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_totalOffside,stat_bigChanceMissed,player_firstName,player_lastName,stat_outfielderBlock,stat_errorLeadToAGoal,stat_ownGoals,stat_clearanceOffLine
11352493,home,Arsenal,David Raya,david-raya,D. Raya,G,1,183,26174,M,d_raya1,581310,EUR,811123200,G,22,22,False,27.0,15.0,18.0,6.0,11.0,13.0,4.0,14.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,90.0,35.0,6.7,12.0,0.0015851,0,-0.2674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352493,home,Arsenal,Ben White,benjamin-white,B. White,D,4,186,13830,M,benwhite,846036,EUR,876268800,D,4,4,False,47.0,36.0,6.0,1.0,14.0,14.0,22.0,35.0,1.0,1.0,3.0,,,,,,,,90.0,60.0,6.4,15.0,0.24876,0,,2.0,1.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11352493,home,Arsenal,William Saliba,william-saliba,W. Saliba,D,2,193,43258,M,WSaliba4,941168,EUR,985392000,D,2,2,False,51.0,47.0,6.0,3.0,35.0,36.0,12.0,15.0,2.0,,3.0,1.0,1.0,,,,,,90.0,55.0,6.7,5.0,0.00607937,1,,,1.0,1.0,,1.0,,1.0,1.0,0.1226,,,,,,,,,,,,,,,,,,,,,,
11352493,home,Arsenal,Gabriel Magalhães,gabriel-magalhaes,Gabriel,D,6,190,49131,M,GabrielMagalhães,869792,EUR,882489600,D,6,6,False,75.0,67.0,5.0,2.0,36.0,38.0,31.0,37.0,3.0,1.0,3.0,2.0,2.0,,,,,,90.0,83.0,7.1,8.0,0.025816,1,,,1.0,3.0,,,2.0,1.0,,0.2071,1.0,2.0,0.1372,,,,,,,,,,,,,,,,,,,
11352493,home,Arsenal,Jakub Kiwior,kiwior-jakub,J. Kiwior,D,4,189,15163,M,j_kiwior,976037,EUR,950572800,D,15,15,False,48.0,41.0,6.0,4.0,14.0,16.0,27.0,32.0,3.0,1.0,1.0,,,,,,,,90.0,64.0,7.5,11.0,0.0174631,1,,,2.0,1.0,,1.0,1.0,,,0.0514,1.0,1.0,0.1015,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11352493,home,Arsenal,Martin Ødegaard,martin-odegaard,M. Ødegaard,M,8,178,78911,M,Ødegaard,547410,EUR,913852800,M,8,8,False,32.0,27.0,1.0,1.0,2.0,2.0,25.0,31.0,1.0,,2.0,1.0,,,,,,,76.0,41.0,7.1,7.0,0.0891015,0,,1.0,,2.0,1.0,,1.0,,,,,1.0,,,,,True,2.0,,,,,,,,,,,,,,
11352493,home,Arsenal,Jorginho,jorginho,Jorginho,M,21,180,32466,M,jorginhofrello,132874,EUR,693187200,M,20,20,False,103.0,92.0,4.0,2.0,36.0,37.0,56.0,66.0,4.0,,4.0,1.0,1.0,,,,,,89.0,109.0,7.2,12.0,0.285303,0,,,1.0,3.0,1.0,,2.0,,,,,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,
11352493,home,Arsenal,Declan Rice,declan-rice,D. Rice,M,41,188,64734,M,DeclanRice,856714,EUR,916272000,M,41,41,False,50.0,46.0,5.0,4.0,17.0,19.0,32.0,37.0,1.0,,7.0,,,,,,,,90.0,62.0,7.6,9.0,0.516162,1,,6.0,1.0,3.0,,,1.0,,,0.0604,1.0,1.0,0.0802,2.0,,,,4.0,,1.0,3.0,,,,,,,,,,,
11352493,home,Arsenal,Bukayo Saka,bukayo-saka,B. Saka,F,7,178,182271,M,BSaka7,934235,EUR,999648000,F,7,7,False,37.0,31.0,4.0,1.0,9.0,11.0,23.0,28.0,3.0,,7.0,1.0,,,,,,,76.0,51.0,8.1,9.0,0.706451,4,,2.0,1.0,6.0,2.0,,2.0,1.0,1.0,0.1528,2.0,,0.7776,1.0,1.0,1.0,,2.0,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,
11352493,home,Arsenal,Kai Havertz,kai-havertz,K. Havertz,F,29,193,67778,M,KaiHav,836705,EUR,929059200,F,29,29,False,23.0,20.0,,,4.0,6.0,16.0,17.0,4.0,,7.0,,,,,,,,76.0,40.0,7.8,11.0,0.063035,2,,,4.0,6.0,1.0,5.0,3.0,1.0,,1.2833,1.0,2.0,0.685,1.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,,,,
