match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_interceptionWon,stat_aerialLost,stat_outfielderBlock,stat_lastManTackle,stat_challengeLost,captain,stat_goalAssist,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_keyPass,stat_accurateCross,stat_shotOffTarget,stat_totalOffside,stat_goals,stat_errorLeadToAShot,stat_penaltyWon,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_penaltyConceded
10385644,home,Arsenal,Aaron Ramsdale,,,aaron-ramsdale,A. Ramsdale,G,32,191,8533,M,ARamsdale,839410,EUR,895104000,G,1,1,False,21.0,8.0,18.0,5.0,4.0,5.0,4.0,16.0,1.0,1.0,1.0,2.0,9.0,1.0,2.0,90.0,32.0,6.5,13.0,0.0,0.0,0.00379734,0,-1.0554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385644,home,Arsenal,Ben White,,,benjamin-white,B. White,D,4,186,13830,M,benwhite,846036,EUR,876268800,D,4,4,False,29.0,16.0,7.0,2.0,6.0,7.0,10.0,23.0,5.0,1.0,1.0,2.0,2.0,,,90.0,47.0,6.6,20.0,0.0,0.0,0.0128008,0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10385644,home,Arsenal,William Saliba,,,william-saliba,W. Saliba,D,2,193,43258,M,WSaliba4,941168,EUR,985392000,D,12,12,False,50.0,42.0,7.0,4.0,25.0,29.0,17.0,21.0,4.0,,,2.0,7.0,,,90.0,58.0,6.8,8.0,0.0,0.0,0.00736486,0,,,2.0,,2.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,
10385644,home,Arsenal,Gabriel Magalhães,,,gabriel-magalhaes,Gabriel,D,6,190,49131,M,GabrielMagalhães,869792,EUR,882489600,D,6,6,False,55.0,47.0,7.0,3.0,32.0,35.0,15.0,20.0,2.0,,,5.0,4.0,,,90.0,67.0,6.9,8.0,0.0,0.0,0.00932851,0,,,,3.0,1.0,1.0,1.0,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
10385644,home,Arsenal,Takehiro Tomiyasu,,,tomiyasu-takehiro,T. Tomiyasu,D,32,188,10753,M,tomiyasu_t,804434,EUR,910224000,D,18,18,False,48.0,39.0,4.0,,19.0,19.0,20.0,31.0,7.0,,,6.0,6.0,,,90.0,68.0,6.8,13.0,0.0,0.0,0.00833321,0,,2.0,4.0,3.0,3.0,2.0,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,
10385644,home,Arsenal,Martin Ødegaard,,,martin-odegaard,M. Ødegaard,M,8,178,78911,M,Ødegaard,547410,EUR,913852800,M,8,8,False,22.0,17.0,1.0,1.0,4.0,7.0,13.0,16.0,4.0,2.0,1.0,,3.0,,,82.0,36.0,7.2,9.0,0.2613,0.0247,0.473965,2,,1.0,1.0,7.0,1.0,1.0,1.0,1.0,,4.0,,,,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
10385644,home,Arsenal,Thomas Partey,,,thomas-partey,T. Partey,M,16,185,42575,M,TPartey5,316148,EUR,739929600,M,5,5,False,45.0,42.0,6.0,6.0,18.0,19.0,24.0,26.0,3.0,,,7.0,4.0,,,90.0,63.0,7.2,5.0,0.0,0.0,0.0503134,0,,,1.0,2.0,2.0,,,1.0,2.0,,,,1.0,,,,,,,2.0,1.0,,,,,,,,,,
10385644,home,Arsenal,Granit Xhaka,,,granit-xhaka,G. Xhaka,M,34,185,15717,M,Granit_Xhaka,117777,EUR,717552000,M,34,34,False,33.0,23.0,,,6.0,8.0,18.0,26.0,5.0,1.0,1.0,5.0,1.0,,,90.0,50.0,6.8,12.0,0.0759,0.0,0.24844,1,,1.0,3.0,4.0,1.0,1.0,,1.0,,1.0,1.0,,,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,
10385644,home,Arsenal,Bukayo Saka,,,bukayo-saka,B. Saka,F,7,178,182271,M,BSaka7,934235,EUR,999648000,F,7,7,False,22.0,18.0,1.0,1.0,2.0,2.0,16.0,22.0,4.0,3.0,1.0,1.0,3.0,,,89.0,43.0,8.1,12.0,2.0413,2.034,0.0239559,4,,2.0,,5.0,1.0,1.0,2.0,3.0,1.0,,,,,,,1.0,,3.0,1.0,3.0,,,,,2.0,,,,,,
10385644,home,Arsenal,Gabriel Jesus,,,gabriel-jesus,G. Jesus,F,9,175,74471,M,GabrielJesus,794839,EUR,860025600,F,9,9,False,21.0,19.0,3.0,2.0,5.0,5.0,14.0,16.0,5.0,4.0,3.0,1.0,4.0,,,89.0,42.0,7.0,9.0,0.2851,0.3121,0.0640314,2,,,,7.0,1.0,1.0,1.0,2.0,,,,,1.0,,,3.0,,2.0,,3.0,,,,1.0,,1.0,1.0,,,,
10385644,home,Arsenal,Gabriel Martinelli,,,gabriel-martinelli,G. Martinelli,F,11,180,68888,M,GabiMartinelli,922573,EUR,992822400,F,11,11,False,31.0,24.0,1.0,1.0,6.0,7.0,18.0,26.0,4.0,3.0,,,6.0,,,90.0,54.0,7.6,19.0,0.4973,0.6301,0.651391,2,,2.0,1.0,6.0,,,3.0,2.0,,,,,1.0,,1.0,,1.0,1.0,1.0,7.0,2.0,,,1.0,1.0,,,,,,
10385644,home,Arsenal,Kieran Tierney,,,kieran-tierney,K. Tierney,D,63,178,4739,M,kierantierney1,366592,EUR,865468800,D,3,3,True,5.0,4.0,,,2.0,2.0,2.0,3.0,,,,,,,,8.0,6.0,6.5,2.0,0.0,0.0,0.00082248,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385644,home,Arsenal,Fábio Vieira,,,fabio-vieira,F. Vieira,M,20,170,6618,M,fabiodfvieira,904835,EUR,959644800,M,21,21,True,2.0,2.0,,,,,2.0,2.0,2.0,,,,1.0,,,1.0,4.0,,,0.0,0.0,0.00253071,0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10385644,home,Arsenal,Edward Nketiah,,,edward-nketiah,E. Nketiah,F,9,175,6443,M,EN9,858194,EUR,928022400,F,14,14,True,2.0,1.0,1.0,,,,1.0,2.0,,,,,,,,1.0,4.0,,2.0,0.0,0.0,0.00098559,0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
10385644,home,Arsenal,Matt Turner,,,matt-turner,M. Turner,G,30,190,1518,M,,833943,EUR,772416000,G,30,30,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385644,home,Arsenal,Rob Holding,,,rob-holding,R. Holding,D,6,189,1055,M,,793228,EUR,811555200,D,16,16,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385644,home,Arsenal,Reiss Nelson,,,reiss-nelson,R. Nelson,M,11,175,4847,M,reissnelson,826139,EUR,944784000,F,24,24,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385644,home,Arsenal,Albert Sambi Lokonga,,,albert-sambi-lokonga,A. S. Lokonga,M,6,183,3626,M,,901892,EUR,940550400,M,23,23,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385644,home,Arsenal,Cédric Soares,,,cedric-soares,C. Soares,M,21,172,2806,M,,44760,EUR,683596800,D,17,17,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
