match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_aerialWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,player_firstName,player_lastName,captain,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal
10408457,home,Barcelona,Marc-André Ter Stegen,marc-andre-ter-stegen,M. ter Stegen,G,22,187,119658,M,terStegen,88625,EUR,704592000,G,1,1,False,34.0,24.0,14.0,6.0,22.0,29.0,2.0,5.0,2.0,4.0,1.0,3.0,4.0,2.0,90.0,44.0,7.6,10.0,0.0,0.0,0.00074325,0,0.5283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408457,home,Barcelona,Alejandro Balde,alejandro-balde,A. Balde,D,3,175,128076,M,AlejandroBalde,997035,EUR,1066435200,D,28,28,False,54.0,51.0,3.0,3.0,24.0,24.0,27.0,30.0,,2.0,,,,,77.0,67.0,6.7,5.0,0.0239,0.0,0.0141364,1,,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10408457,home,Barcelona,Gerard Piqué,gerard-pique,G. Piqué,D,28,193,6837,M,3gerardpique,770,EUR,539222400,D,3,3,False,71.0,67.0,11.0,10.0,34.0,36.0,33.0,35.0,7.0,4.0,,,,,90.0,86.0,7.7,6.0,0.3008,0.0,0.0143356,2,,3.0,7.0,,,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10408457,home,Barcelona,Marcos Alonso,marcos-alonso,M. Alonso,D,20,188,7636,M,marcosalonso28,69408,EUR,662342400,D,17,17,False,68.0,62.0,5.0,2.0,34.0,36.0,28.0,32.0,3.0,6.0,,,,,90.0,82.0,7.4,8.0,0.0,0.0,0.00864737,0,,3.0,3.0,,,,1.0,,1.0,1.0,2.0,1.0,,,2.0,2.0,1.0,,,,,,,,,,,,,,,
10408457,home,Barcelona,Jordi Alba,jordi-alba,J. Alba,D,18,170,22925,M,JAlba,35199,EUR,606441600,D,18,18,False,87.0,75.0,6.0,6.0,21.0,24.0,55.0,67.0,1.0,7.0,,,,,85.0,116.0,7.7,20.0,0.0632,0.0,0.395635,1,,4.0,2.0,1.0,,1.0,2.0,1.0,,1.0,1.0,,1.0,,1.0,2.0,,4.0,1.0,1.0,3.0,,,,,,,,,,,
10408457,home,Barcelona,Pablo Gavi,gavi,Gavi,M,6,173,250088,M,Gavi,1103693,EUR,1091664000,M,30,30,False,55.0,49.0,6.0,6.0,11.0,12.0,38.0,47.0,1.0,5.0,,,,,90.0,75.0,7.3,15.0,0.0,0.0,0.0254134,0,,8.0,8.0,,1.0,,3.0,3.0,3.0,6.0,,2.0,2.0,1.0,,1.0,2.0,4.0,,,,,,,,,,,,,,
10408457,home,Barcelona,Sergio Busquets,sergio-busquets,S. Busquets,M,5,189,29647,M,5sergiob,39433,EUR,585014400,M,5,5,False,49.0,44.0,6.0,6.0,14.0,14.0,31.0,36.0,2.0,5.0,,,,,90.0,58.0,7.3,5.0,0.0,0.0,0.0690878,0,,3.0,3.0,1.0,,,,,,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,2.0,,,True,,,,,,,,
10408457,home,Barcelona,Pedri,pedri,Pedri,M,8,174,636700,M,Pedri,992587,EUR,1038182400,M,8,8,False,23.0,20.0,,,4.0,6.0,16.0,18.0,,2.0,,,,,63.0,38.0,7.9,6.0,0.7419,0.9847,0.0208525,1,,1.0,7.0,,1.0,,1.0,,1.0,,,,5.0,5.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,
10408457,home,Barcelona,Raphinha,raphinha,Raphinha,M,11,176,878494,M,Raphinha,831005,EUR,850521600,F,22,22,False,29.0,23.0,7.0,5.0,7.0,7.0,19.0,29.0,,2.0,,,,,63.0,53.0,7.4,16.0,0.176,0.0825,0.209647,2,,3.0,5.0,1.0,,1.0,2.0,2.0,4.0,1.0,,1.0,1.0,,,,2.0,7.0,3.0,,2.0,,,,1.0,,,,,,,
10408457,home,Barcelona,Robert Lewandowski,robert-lewandowski,R. Lewandowski,F,9,186,575097,M,Lewa,41789,EUR,588124800,F,9,9,False,20.0,15.0,2.0,1.0,2.0,2.0,13.0,18.0,,,,,,,90.0,27.0,6.9,7.0,0.1772,0.0379,0.0227316,2,,7.0,4.0,,,1.0,,,2.0,2.0,5.0,4.0,,,,,,,,,2.0,,,,1.0,,,,,,,
