match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_challengeLost,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_bigChanceCreated,stat_keyPass,captain,stat_bigChanceMissed,stat_shotOffTarget,stat_goals,stat_dispossessed,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_errorLeadToAGoal,stat_punches,stat_totalOffside,stat_hitWoodwork
14062156,home,1. FSV Mainz 05,Daniel Batz,daniel-batz,D. Batz,G,33,189,138,M,94312,EUR,663638400,G,33,33,False,29.0,12.0,22.0,6.0,0.0,6.0,7.0,6.0,22.0,1.0,5.0,3.0,3.0,1.0,1.0,90.0,35.0,6.4,17.0,0.00502826,38.196932781215,7.0,29.295,6.3,0.3225,0,0.2807,0.04,0.02,-0.1,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062156,home,1. FSV Mainz 05,Danny da Costa,danny-da-costa,D. Costa,D,21,186,305,M,97926,EUR,742521600,D,21,21,False,31.0,27.0,1.0,1.0,0.0,18.0,20.0,9.0,11.0,9.0,6.0,,,,,90.0,53.0,7.2,10.0,0.0312265,87.635291009425,9.0,63.42,21.735,,0,,0.29,0.06,-0.03,,2.0,1.0,1.0,4.0,2.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,22.066061927766,1.0,,,,,,,,,,,,,,,,,,,,,,
14062156,home,1. FSV Mainz 05,Stefan Bell,stefan-bell,S. Bell,D,16,192,142,M,106662,EUR,682992000,D,16,16,False,36.0,31.0,6.0,3.0,0.0,19.0,20.0,12.0,16.0,15.0,5.0,,,,,90.0,59.0,6.8,6.0,0.00721509,128.51024174853,19.0,25.2,14.805,,1,,0.27,0.06,-0.04,,1.0,,7.0,8.0,9.0,8.0,,,,,,,,,1.0,1.0,1.0,2.0,1.0,0.0528,0.2669,-0.15,,,,,,,,,,,,,,
14062156,home,1. FSV Mainz 05,Dominik Kohr,dominik-kohr,D. Kohr,D,31,183,342,M,152206,EUR,759974400,D,31,31,False,29.0,26.0,6.0,5.0,0.0,17.0,18.0,9.0,11.0,8.0,2.0,,,,,90.0,48.0,7.7,5.0,0.220449,110.92591646776,12.0,78.645,23.205,,0,,0.54,0.07,0.25,,1.0,1.0,1.0,1.0,3.0,5.0,,,3.0,2.0,2.0,1.0,24.979942533961,1.0,1.0,,2.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,
14062156,home,1. FSV Mainz 05,Silvan Widmer,silvan-widmer,S. Widmer,M,30,182,532,M,157377,EUR,731289600,M,30,30,False,28.0,20.0,2.0,1.0,0.0,10.0,10.0,10.0,18.0,6.0,3.0,,,,,90.0,60.0,7.7,16.0,0.0273577,105.38564413981,11.0,39.9,28.875,,2,,0.06,0.05,0.16,,,,,1.0,1.0,2.0,,,1.0,1.0,3.0,,30.005853179005,1.0,1.0,1.0,1.0,1.0,,0.545,0.9221,0.48,,,True,1.0,1.0,1.0,,,,,,,,
14062156,home,1. FSV Mainz 05,Nadiem Amiri,nadiem-amiri,N. Amiri,M,10,180,2793,M,327755,EUR,846374400,M,10,10,False,45.0,33.0,9.0,5.0,0.0,11.0,11.0,22.0,34.0,,4.0,,,,,89.0,63.0,9.0,22.0,0.710866,185.83351143786,21.0,93.87,20.685,,3,,1.0,0.26,-0.09,,5.0,3.0,1.0,2.0,7.0,4.0,1.0,,1.0,1.0,4.0,1.0,41.626454735152,2.0,1.0,1.0,,,2.0,0.2311,0.8619,0.46,3.0,6.0,,,,1.0,2.0,2.0,,,,,,
14062156,home,1. FSV Mainz 05,Kaishu Sano,kaishu-sano,K. Sano,M,6,176,2306,M,1028307,EUR,978134400,M,6,6,False,38.0,26.0,5.0,,0.0,10.0,14.0,16.0,24.0,,7.0,,,,,90.0,56.0,7.1,18.0,0.086418,187.82094393316,18.0,84.735,23.625,,0,,0.16,0.27,-0.03,,,,1.0,2.0,4.0,9.0,2.0,1.0,2.0,2.0,3.0,4.0,75.003147169173,4.0,,,,1.0,,,,,,2.0,,,,,2.0,,,,,,,
14062156,home,1. FSV Mainz 05,Jae-sung Lee,jae-sung-lee,J. Lee,F,7,180,2646,M,537552,EUR,713404800,M,7,7,False,36.0,29.0,3.0,2.0,1.0,8.0,9.0,21.0,27.0,,4.0,,,,,90.0,61.0,7.0,21.0,0.661985,103.62393131015,12.0,76.02,20.37,,0,,0.72,0.23,-0.15,,2.0,,3.0,2.0,14.0,4.0,1.0,,1.0,1.0,6.0,1.0,20.374085599113,1.0,2.0,,,2.0,3.0,,,,1.0,2.0,,,,,5.0,,,,,,,
14062156,home,1. FSV Mainz 05,Nikolas Veratschnig,nikolas-veratschnig,N. Veratschnig,D,22,178,239,M,1138150,EUR,1043366400,M,22,22,False,10.0,8.0,2.0,1.0,0.0,3.0,3.0,5.0,7.0,1.0,,,,,,34.0,22.0,6.8,5.0,0.0103315,10.417408682082,2.0,-4.515,-1.155,,1,,0.09,0.02,0.15,,2.0,,,2.0,,2.0,,,,,,,,,,1.0,,,,0.0141,0.0677,-0.05,,,,,,,,,Nikolas Veratschnig,,,,,
14062156,home,1. FSV Mainz 05,Armindo Sieb,armindo-sieb,A. Sieb,F,11,180,600,M,1005834,EUR,1045440000,F,11,11,False,13.0,10.0,,,0.0,2.0,2.0,8.0,11.0,,,,,,,59.0,28.0,6.1,12.0,0.00842611,25.165108859288,3.0,8.295,6.72,,1,,-0.1,-0.16,-0.05,,,,2.0,1.0,7.0,3.0,,,2.0,1.0,5.0,,,,1.0,1.0,,,1.0,0.1109,0.1617,-0.39,,,,1.0,,,3.0,,,,,,,
