match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,player_firstName,player_lastName,stat_aerialWon,stat_wonContest,stat_unsuccessfulTouch,stat_wasFouled,stat_challengeLost,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_dispossessed,stat_errorLeadToAGoal,stat_penaltyConceded,stat_accurateCross,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,captain,stat_totalOffside,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock,stat_penaltyWon,player_sofascoreId,stat_bigChanceMissed
14288929,home,CF Estrela Amadora,Renan Ribeiro,renan-ribeiro,R. Ribeiro,G,40,193.0,156,M,82598,EUR,638150400,G,40,40,False,33.0,17.0,23.0,7.0,0.0,14.0,18.0,3.0,15.0,2.0,2.0,2.0,1.0,3.0,2.0,90.0,39.0,7.6,16.0,0.00102775,42.800849634561,6.0,34.335,9.765,1.2001,0,1.1399,0.02,0.01,-0.3,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14288929,home,CF Estrela Amadora,Jefferson Encada,encada-jefferson,J. Encada,D,17,188.0,308,M,851283,EUR,892771200,D,17,17,False,37.0,31.0,1.0,,1.0,21.0,25.0,10.0,12.0,3.0,6.0,,,,,90.0,59.0,6.3,10.0,0.0774775,121.9500442313,11.0,51.975,35.07,,0,,-0.03,0.04,-0.3,,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.306533389728,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14288929,home,CF Estrela Amadora,Luan Patrick,luan-patrick,Luan Patrick,D,30,190.0,249,M,1002565,EUR,1011484800,D,30,30,False,59.0,51.0,9.0,3.0,0.0,33.0,35.0,18.0,24.0,3.0,3.0,,,,,90.0,65.0,6.2,9.0,0.00582027,166.67689814513,20.0,95.55,15.645,,0,,0.17,0.12,-0.48,,,1.0,2.0,3.0,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14288929,home,CF Estrela Amadora,Bernardo Schappo,schappo-bernardo,B. Schappo,D,14,191.0,188,M,1017590,EUR,922060800,D,14,14,False,43.0,34.0,6.0,2.0,0.0,27.0,29.0,7.0,14.0,6.0,3.0,,,,,90.0,56.0,5.9,11.0,0.00293485,68.66901323091,10.0,22.26,9.87,,1,,-0.01,0.05,-0.58,,,,7.0,6.0,,,,1.0,1.0,4.0,,,,,,4.0,,2.0,1.0,3.0,1.0,0.0188,-0.1,,,,,,,,,,,,,,,,,
14288929,home,CF Estrela Amadora,Otavio,otavio,Otávio,D,83,193.0,40,M,2115909,EUR,1132876800,D,83,83,False,15.0,10.0,2.0,1.0,0.0,7.0,9.0,3.0,6.0,2.0,2.0,,,,,56.0,32.0,6.2,7.0,0.00516192,59.095352137498,5.0,41.685,15.225,,0,,-0.03,0.1,-0.28,,,,3.0,3.0,3.0,,2.0,2.0,2.0,1.0,20.505568048703,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14288929,home,CF Estrela Amadora,Oumar Ngom,ngom-oumar,O. Ngom,M,79,184.0,780,M,1175854,EUR,1078790400,M,6,6,False,33.0,27.0,,,0.0,17.0,20.0,10.0,13.0,,5.0,,,,,90.0,47.0,5.4,9.0,0.00888105,76.319515915931,8.0,48.72,30.345,,0,,-0.01,0.07,-0.73,,,3.0,7.0,6.0,1.0,,1.0,4.0,2.0,1.0,30.600231388014,1.0,,,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
14288929,home,CF Estrela Amadora,Alex Sola,alex-sola,A. Sola,M,63,173.0,71,M,2037671,EUR,1071360000,M,63,63,False,13.0,8.0,,,0.0,6.0,8.0,2.0,5.0,1.0,4.0,,,,,56.0,25.0,6.3,7.0,0.00059217,33.291801129708,4.0,-16.905,1.26,,0,,-0.04,0.02,-0.08,,,1.0,2.0,1.0,,,6.0,,,,,,,Alex Sola,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,
14288929,home,CF Estrela Amadora,Abraham Marcus,abraham-marcus,A. Marcus,M,99,178.0,255,M,1090543,EUR,946771200,M,99,99,False,24.0,15.0,4.0,2.0,0.0,7.0,7.0,8.0,17.0,1.0,3.0,,,,,88.0,44.0,7.3,18.0,0.154138,136.82309277095,14.0,79.17,41.895,,3,,-0.02,0.21,-0.18,,4.0,,5.0,4.0,3.0,,1.0,,,2.0,55.116614532114,2.0,,Abraham Marcus,,2.0,1.0,2.0,1.0,,,0.3451,0.54,1.0,,,1.0,1.0,2.0,1.0,0.6072,,,,,,,,,
14288929,home,CF Estrela Amadora,Paulo Moreira,paulo-daniel-valente-moreira,P. Moreira,M,19,176.0,52,M,1090646,EUR,950745600,M,19,19,False,39.0,33.0,6.0,4.0,1.0,21.0,24.0,12.0,15.0,1.0,4.0,,,,,90.0,49.0,6.5,8.0,0.0186493,103.3734948466,11.0,29.19,14.91,,0,,-0.03,0.04,-0.12,,,2.0,6.0,3.0,1.0,,2.0,2.0,1.0,1.0,,,3.0,Paulo,Moreira,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
14288929,home,CF Estrela Amadora,Jovane Cabral,jovane-cabral,J. Cabral,F,11,176.0,1128,M,845802,EUR,897782400,M,11,11,False,29.0,23.0,1.0,1.0,0.0,11.0,13.0,12.0,16.0,,3.0,,,,,80.0,46.0,7.5,12.0,0.0315185,41.824306205042,5.0,23.73,12.18,,3,,0.1,0.14,-0.16,,1.0,1.0,4.0,4.0,2.0,,,1.0,1.0,1.0,9.1098145425689,1.0,2.0,,,1.0,2.0,3.0,,,1.0,0.3494,0.51,2.0,,,,1.0,1.0,1.0,0.6799,,,,,,,,,
