match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_interceptionWon,stat_fouls,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_wasFouled,stat_expectedGoalsOnTarget,stat_totalCross,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_unsuccessfulTouch,stat_totalOffside,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_keyPass,player_sofascoreId,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goals,stat_blockedScoringAttempt
12448393,home,FC Utrecht,Vasilis Barkas,,,vasilis-barkas,V. Barkas,G,1,196,390,M,347726,EUR,770256000,G,1,1,False,26.0,15.0,16.0,5.0,0.0,13.0,16.0,2.0,10.0,13.0,2.0,5.0,90.0,40.0,6.9,12.0,0.00147671,0,0.2632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448393,home,FC Utrecht,Siebe Horemans,,,siebe-horemans,S. Horemans,D,2,186,201,M,794990,EUR,896745600,D,2,2,False,40.0,29.0,5.0,2.0,0.0,21.0,26.0,8.0,14.0,2.0,,,90.0,57.0,6.7,12.0,0.0184441,1,,1.0,3.0,2.0,5.0,1.0,1.0,4.0,2.0,2.0,0.0345,,,,,,,,,,,,,,,,,,,,,,,
12448393,home,FC Utrecht,Mike van der Hoorn,,,mike-van-der-hoorn,M. v. d. Hoorn,D,3,190,158,M,152414,EUR,719107200,D,3,3,False,51.0,33.0,12.0,5.0,0.0,23.0,28.0,10.0,23.0,3.0,,,90.0,65.0,6.9,19.0,0.117881,0,,5.0,6.0,6.0,10.0,,,4.0,4.0,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
12448393,home,FC Utrecht,Nick Viergever,,,nick-viergever,N. Viergever,D,24,182,150,M,46900,EUR,618105600,D,24,24,False,42.0,30.0,7.0,3.0,0.0,23.0,24.0,7.0,18.0,3.0,,,90.0,51.0,6.7,12.0,0.049415,1,,,,1.0,3.0,1.0,,2.0,2.0,1.0,0.1475,1.0,,True,1.0,1.0,1.0,0.2472,,,,,,,,,,,,,,,,
12448393,home,FC Utrecht,Souffian El Karouani,,,souffian-el-karouani,S. El Karouani,D,16,178,3591,M,991679,EUR,971913600,D,16,16,False,39.0,30.0,6.0,2.0,0.0,11.0,14.0,19.0,28.0,8.0,,,90.0,81.0,7.3,24.0,0.0371147,1,,1.0,,2.0,8.0,1.0,1.0,3.0,7.0,3.0,0.0353,1.0,,,,,,,3.0,1.0,1.0,1.0,5.0,1.0,,,,,,,,,,
12448393,home,FC Utrecht,Oscar Fraulo,,,oscar-fraulo,O. Fraulo,M,29,180,841,M,1008245,EUR,1070668800,M,6,6,False,7.0,5.0,1.0,,0.0,3.0,4.0,2.0,3.0,1.0,,,45.0,13.0,6.5,3.0,0.00158671,0,,,,2.0,3.0,1.0,,1.0,1.0,1.0,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,
12448393,home,FC Utrecht,Paxten Aaronson,Paxten Aaronson,,paxten-aaronson,P. Aaronson,M,31,175,898,M,1035515,EUR,1061856000,M,21,21,False,14.0,12.0,1.0,,0.0,4.0,5.0,9.0,11.0,8.0,,,90.0,41.0,7.0,13.0,0.406588,1,,,,10.0,5.0,3.0,1.0,1.0,2.0,2.0,0.0168,3.0,3.0,,,,1.0,,2.0,3.0,2.0,,5.0,,1.0,3.0,1.0,2.0,,,,,,
12448393,home,FC Utrecht,Taylor Booth,,,taylor-booth,T. Booth,M,8,173,530,M,906024,EUR,991267200,M,10,10,False,8.0,6.0,,,0.0,1.0,1.0,5.0,10.0,1.0,,,74.0,19.0,6.4,7.0,0.00361902,0,,1.0,2.0,5.0,2.0,1.0,,1.0,,,,,1.0,,,,,,3.0,1.0,,,,,,1.0,,,,,,,,
12448393,home,FC Utrecht,Victor Jensen,,,victor-jensen,V. Jensen,M,7,175,409,M,856648,EUR,949968000,M,7,7,False,8.0,7.0,,,0.0,5.0,5.0,2.0,3.0,,,,57.0,16.0,6.3,7.0,0.00237982,0,,,1.0,2.0,3.0,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,5.0,1.0,,1.0,,,,,,,,
12448393,home,FC Utrecht,Yoann Cathline,,,cathline-yoann,Y. Cathline,M,10,176,517,M,1105700,EUR,1027296000,M,20,20,False,18.0,12.0,,,0.0,2.0,3.0,10.0,18.0,5.0,,,90.0,38.0,6.1,18.0,0.0660709,0,,1.0,,10.0,4.0,1.0,,1.0,1.0,1.0,,,2.0,,,,,,3.0,8.0,3.0,,3.0,,,1.0,,,,,,,,
