match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_bigChanceCreated,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_aerialWon,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_lastManTackle,stat_wonTackle,stat_expectedGoals,stat_blockedScoringAttempt,stat_outfielderBlock,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_fouls,stat_goals,stat_bigChanceMissed,stat_errorLeadToAShot,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork,stat_totalOffside
12436597,home,Aston Villa,Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195,61053,M,EmiMartínez,158263,EUR,715392000,G,23,23,False,True,52.0,33.0,30.0,11.0,0.0,28.0,31.0,5.0,21.0,1.0,1.0,12.0,1.0,2.0,1.0,2.0,90.0,63.0,7.0,19.0,0.00442842,1.0,0,-0.2491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436597,home,Aston Villa,Andrés García,andres-garcia,A. García,D,16,183,959,M,,1457536,EUR,1044576000,D,16,16,False,,28.0,26.0,3.0,2.0,0.0,11.0,11.0,16.0,18.0,2.0,,3.0,,,,,45.0,42.0,6.7,6.0,0.102738,1.0,0,,Andrés García,,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
12436597,home,Aston Villa,Axel Disasi,axel-disasi,A. Disasi,D,4,190,9725,M,axel_disasi,827243,EUR,889574400,D,3,3,False,,50.0,45.0,1.0,,0.0,26.0,27.0,19.0,23.0,5.0,,3.0,,,,,90.0,59.0,7.1,6.0,0.00909954,1.0,1,,,,,,,,,2.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0149,,,,,,,,,,,,,,
12436597,home,Aston Villa,Tyrone Mings,tyrone-mings,T. Mings,D,5,195,1992,M,,303638,EUR,731980800,D,5,5,False,,58.0,53.0,4.0,2.0,0.0,35.0,36.0,18.0,22.0,1.0,,3.0,,,,,90.0,65.0,6.8,5.0,0.0105913,,1,,,,,,4.0,4.0,,,,,,1.0,,,4.0,,,0.0975,1.0,1.0,,,,,,,,,,,,
12436597,home,Aston Villa,Ian Maatsen,ian-maatsen,I. Maatsen,D,22,178,5464,M,maatsen_,976263,EUR,1015718400,D,22,22,False,,38.0,32.0,4.0,2.0,1.0,20.0,22.0,13.0,19.0,6.0,1.0,6.0,,,,,90.0,70.0,7.5,15.0,0.403718,1.0,2,,,,3.0,1.0,,4.0,,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,,1.0,0.115,,,4.0,1.0,0.2381,,,,,,,,,
12436597,home,Aston Villa,Amadou Onana,amadou-onana,A. Onana,M,24,195,7180,M,its_onana,923973,EUR,997920000,M,24,24,False,,33.0,31.0,4.0,3.0,0.0,11.0,12.0,20.0,21.0,5.0,,2.0,3.0,,,,62.0,40.0,6.9,3.0,0.00820266,,0,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,
12436597,home,Aston Villa,Youri Tielemans,youri-tielemans,Y. Tielemans,M,8,177,9789,M,youritielemans,331737,EUR,862963200,M,8,8,False,,44.0,39.0,7.0,4.0,1.0,17.0,17.0,22.0,29.0,3.0,1.0,2.0,1.0,,,,90.0,56.0,8.0,7.0,0.149162,2.0,2,,,,2.0,,,2.0,,,,2.0,,,,1.0,1.0,,1.0,0.0727,,1.0,,1.0,0.0742,2.0,,,,,,,,
12436597,home,Aston Villa,Donyell Malen,donyell-malen,D. Malen,F,14,176,10886,M,donyellmalen,803039,EUR,916704000,M,17,17,False,,8.0,7.0,,,0.0,,,7.0,10.0,3.0,,1.0,1.0,,,,62.0,20.0,7.0,7.0,0.00499964,,1,,,,2.0,,1.0,6.0,2.0,3.0,,1.0,2.0,,1.0,,,,1.0,0.7202,,,,1.0,0.9895,1.0,1.0,,,,,,,
12436597,home,Aston Villa,Marco Asensio,marco-asensio,M. Asensio,F,21,182,31005,M,marcoasensio10,361004,EUR,822182400,M,21,21,False,,29.0,28.0,,,0.0,7.0,7.0,21.0,22.0,4.0,,3.0,2.0,,,,73.0,40.0,7.1,3.0,0.0172556,,4,,,,,,,3.0,,2.0,,1.0,,,1.0,1.0,,,1.0,0.312,1.0,,1.0,2.0,0.2679,1.0,,,,,,,,
12436597,home,Aston Villa,Morgan Rogers,morgan-rogers,M. Rogers,M,27,187,13638,M,mrogers,948261,EUR,1027641600,M,27,27,False,,24.0,17.0,1.0,,0.0,7.0,10.0,10.0,14.0,9.0,,4.0,3.0,,,,90.0,54.0,6.8,21.0,0.109147,2.0,3,,,,,,,10.0,1.0,7.0,,1.0,6.0,2.0,3.0,,,,1.0,0.9752,1.0,,4.0,2.0,0.7292,1.0,1.0,1.0,1.0,,,,,
12436597,home,Aston Villa,Ollie Watkins,ollie-watkins,O. Watkins,F,11,179,19908,M,OllieWatkins,555386,EUR,820281600,F,11,11,False,,6.0,3.0,,,0.0,,,3.0,6.0,1.0,,,,,,,62.0,9.0,6.5,6.0,0.00421796,,0,,,,,,2.0,2.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,
12436597,home,Aston Villa,Ezri Konsa,ezri-konsa,E. Konsa,D,4,183,3197,M,,827679,EUR,877564800,D,4,4,True,,15.0,15.0,1.0,1.0,0.0,11.0,11.0,4.0,4.0,2.0,,,2.0,,,,45.0,19.0,6.5,,0.00261342,,0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
12436597,home,Aston Villa,Boubacar Kamara,boubacar-kamara,B. Kamara,M,44,184,3386,M,,826204,EUR,943315200,M,44,44,True,,9.0,5.0,,,0.0,1.0,1.0,4.0,8.0,1.0,,,,,,,28.0,15.0,6.8,5.0,0.0232804,1.0,1,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,0.0899,,,,,,,,,,,,,,
12436597,home,Aston Villa,Marcus Rashford,marcus-rashford,M. Rashford,M,14,185,357139,M,Rashford,814590,EUR,878256000,F,9,9,True,,12.0,9.0,1.0,1.0,0.0,1.0,2.0,9.0,13.0,,,,,,,,28.0,18.0,6.5,6.0,0.0931181,1.0,2,,,,3.0,1.0,3.0,5.0,,1.0,,,,,,1.0,,,,0.6301,,,,1.0,0.5774,1.0,,1.0,,,,,,
12436597,home,Aston Villa,Jacob Ramsey,jacob-ramsey,J. Ramsey,M,41,180,3186,M,,975937,EUR,991008000,M,41,41,True,,15.0,13.0,,,0.0,,,13.0,15.0,,,2.0,,,,,28.0,19.0,6.9,4.0,0.181121,3.0,0,,,,,,1.0,2.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,
12436597,home,Aston Villa,John McGinn,john-mcginn,J. McGinn,M,7,175,3895,M,,250223,EUR,782438400,M,7,7,True,,8.0,7.0,2.0,1.0,0.0,1.0,1.0,6.0,9.0,2.0,1.0,,2.0,,,,17.0,14.0,7.1,5.0,0.166816,1.0,0,,,,2.0,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,
