match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialWon,stat_duelLost,stat_duelWon,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_challengeLost,stat_totalContest,stat_wonContest,player_firstName,player_lastName,stat_totalCross,stat_totalOffside,captain,stat_dispossessed,stat_keyPass,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,player_sofascoreId
13189392,home,Bristol City,Max O'Leary,max-oleary,M. O'Leary,G,1,185,170,M,360388,EUR,844905600,G,1,1,False,29.0,23.0,10.0,4.0,0.0,21.0,22.0,2.0,7.0,2.0,7.0,1.0,1.0,3.0,1.0,1.0,90.0,41.0,6.8,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13189392,home,Bristol City,George Tanner,tanner-george,G. Tanner,D,19,181,60,M,927367,EUR,942710400,D,19,19,False,62.0,56.0,4.0,2.0,0.0,35.0,36.0,21.0,26.0,2.0,1.0,,,,,,90.0,87.0,7.2,9.0,0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,
13189392,home,Bristol City,Zak Vyner,zak-vyner,Z. Vyner,D,26,178,166,M,829186,EUR,863568000,D,14,14,False,84.0,73.0,12.0,5.0,0.0,57.0,60.0,16.0,24.0,2.0,5.0,,,,,,90.0,94.0,6.4,14.0,0,,3.0,3.0,,,1.0,1.0,,1.0,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
13189392,home,Bristol City,Luke McNally,mcnally-luke,L. McNally,D,15,184,174,M,981949,EUR,937785600,D,15,15,False,54.0,51.0,3.0,2.0,0.0,36.0,37.0,15.0,17.0,1.0,2.0,,,,,,90.0,62.0,6.7,4.0,0,1.0,3.0,4.0,,,2.0,3.0,3.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
13189392,home,Bristol City,Ross McCrorie,ross-mccrorie,R. McCrorie,M,2,185,184,M,795828,EUR,890179200,M,2,2,False,34.0,21.0,,,0.0,6.0,10.0,15.0,26.0,,4.0,,,,,,90.0,54.0,6.6,20.0,0,3.0,13.0,9.0,,,2.0,5.0,4.0,2.0,1.0,6.0,4.0,,3.0,,,,2.0,2.0,,,,,,,,,,,,
13189392,home,Bristol City,Jason Knight,jason-knight,J. Knight,M,12,173,389,M,958918,EUR,982022400,M,12,12,False,45.0,40.0,5.0,3.0,0.0,15.0,16.0,25.0,29.0,1.0,3.0,,,,,,65.0,54.0,6.7,9.0,0,,2.0,1.0,,,1.0,,,1.0,1.0,,,1.0,,,,,,,True,1.0,,,,,,,,,,
13189392,home,Bristol City,Marcus McGuane,marcus-mcguane,M. McGuane,M,17,178,76,M,836692,EUR,917913600,M,29,29,False,28.0,24.0,1.0,1.0,0.0,15.0,17.0,9.0,11.0,,4.0,,,,,,69.0,31.0,6.4,5.0,0,,2.0,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,
13189392,home,Bristol City,Haydon Roberts,haydon-roberts,H. Roberts,D,5,175,77,M,980635,EUR,1020988800,M,24,24,False,44.0,33.0,4.0,,0.0,22.0,25.0,11.0,21.0,4.0,9.0,,,,,,90.0,65.0,6.7,17.0,0,3.0,4.0,7.0,,,,2.0,1.0,2.0,,1.0,1.0,,4.0,2.0,,,2.0,1.0,,,1.0,,,,,,,,,
13189392,home,Bristol City,Scott Twine,scott-twine,S. Twine,F,10,174,650,M,839416,EUR,931910400,F,10,10,False,46.0,39.0,4.0,3.0,0.0,15.0,16.0,25.0,32.0,,3.0,,,,,,90.0,69.0,8.2,11.0,2,1.0,4.0,10.0,,,,4.0,3.0,2.0,5.0,1.0,,2.0,,,,,2.0,1.0,,1.0,1.0,1.0,2.0,1.0,,,,,,
13189392,home,Bristol City,Fally Mayulu,fally-mayulu,F. Mayulu,F,9,193,321,M,1185196,EUR,1026691200,F,9,9,False,5.0,3.0,,,0.0,1.0,1.0,2.0,4.0,1.0,2.0,,,,,,77.0,13.0,6.4,7.0,0,1.0,2.0,1.0,,,,,,3.0,,,,,1.0,,Fally Mayulu,,,1.0,,1.0,1.0,,,,,,,,,
13189392,home,Bristol City,Anis Mehmeti,anis-mehmeti,A. Mehmeti,F,33,180,893,M,1007072,EUR,978998400,F,11,11,False,11.0,8.0,1.0,1.0,0.0,5.0,7.0,3.0,4.0,,6.0,,,,,,64.0,26.0,6.2,10.0,4,,8.0,1.0,,,,,,1.0,1.0,1.0,,1.0,4.0,,,,,1.0,,2.0,,,1.0,,3.0,,,,,
