match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_possessionLostCtrl,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_wonTackle,player_firstName,player_lastName,stat_wonContest,stat_totalOffside,captain,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork
11396258,home,Borussia M'gladbach,Moritz Nicolas,moritz-nicolas,M. Nicolas,G,33,193,411,M,578166,EUR,877392000,G,33,33,False,24.0,24.0,24.0,24.0,1.0,7.0,1.0,1.0,1.0,2.0,1.0,90.0,35.0,6.3,8.961e-05,0,-1.4913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396258,home,Borussia M'gladbach,Joseph Scally,scally-joseph,J. Scally,D,29,184,1087,M,1002920,EUR,1041292800,D,29,29,False,45.0,35.0,18.0,19.0,2.0,1.0,,,,,,90.0,77.0,6.2,0.113888,0,,6.0,2.0,1.0,18.0,32.0,6.0,1.0,1.0,6.0,6.0,2.0,2.0,2.0,1.0,1.0,4.0,20.0,2.0,,,,,,,,,,,,,,,,,,,
11396258,home,Borussia M'gladbach,Nico Elvedi,nico-elvedi,N. Elvedi,D,30,188,1059,M,282229,EUR,844041600,D,30,30,False,82.0,77.0,52.0,56.0,3.0,5.0,,,,,,90.0,92.0,6.6,0.00942644,1,,3.0,1.0,,25.0,26.0,,,3.0,4.0,3.0,,,,,1.0,,6.0,,2.0,1.0,1.0,3.0,2.0,0.0849,,,,,,,,,,,,,
11396258,home,Borussia M'gladbach,Maximilian Wöber,maximilian-wober,M. Wöber,D,39,188,659,M,794962,EUR,886550400,D,39,39,False,78.0,67.0,47.0,51.0,2.0,4.0,,,,,,72.0,87.0,6.8,0.0089662,0,,7.0,4.0,,20.0,27.0,,,4.0,5.0,6.0,1.0,,,2.0,,,11.0,,3.0,,1.0,,2.0,,1.0,,,,,,,,,,,,
11396258,home,Borussia M'gladbach,Luca Netz,netz-luca,L. Netz,D,25,180,641,M,979144,EUR,1052956800,D,20,20,False,39.0,35.0,22.0,23.0,1.0,5.0,,,,,,62.0,52.0,6.4,0.0105013,0,,1.0,,,13.0,20.0,4.0,,1.0,4.0,2.0,1.0,,1.0,1.0,1.0,,10.0,,,,,1.0,2.0,,,,,,,,,,,,,,
11396258,home,Borussia M'gladbach,Manu Koné,manu-kone,M. Koné,M,17,186,6974,M,974087,EUR,990057600,M,17,17,False,32.0,25.0,10.0,14.0,,4.0,,,,,,70.0,47.0,7.0,0.032601,0,,1.0,1.0,,15.0,18.0,,,1.0,4.0,7.0,,3.0,2.0,4.0,,,10.0,2.0,1.0,,,,,,2.0,,,2.0,1.0,,,,,,,,
11396258,home,Borussia M'gladbach,Julian Weigl,julian-weigl,J. Weigl,M,5,186,1190,M,237068,EUR,810518400,M,8,8,False,49.0,44.0,34.0,36.0,1.0,6.0,,,,,,90.0,68.0,6.9,0.113281,0,,6.0,4.0,,11.0,14.0,1.0,1.0,,4.0,8.0,,,1.0,6.0,2.0,2.0,8.0,,,,1.0,1.0,3.0,,3.0,,,,,True,,,,,,,
11396258,home,Borussia M'gladbach,Franck Honorat,franck-honorat,F. Honorat,M,9,180,718,M,280453,EUR,839721600,M,9,9,False,28.0,23.0,3.0,3.0,2.0,6.0,,,,,,90.0,62.0,7.6,0.217519,4,,,,,24.0,35.0,10.0,4.0,,5.0,3.0,1.0,1.0,3.0,,4.0,2.0,20.0,3.0,,2.0,,1.0,1.0,0.2667,,,,1.0,,,1.0,1.0,1.0,0.6078,,,
11396258,home,Borussia M'gladbach,Florian Neuhaus,florian-neuhaus,F. Neuhaus,M,10,185,880,M,837205,EUR,858470400,M,10,10,False,28.0,24.0,9.0,11.0,,2.0,,,,,,90.0,36.0,7.3,0.414148,6,,5.0,3.0,1.0,15.0,17.0,,,,1.0,,,1.0,,,,,6.0,2.0,,3.0,,,,0.8519,,,,,,,1.0,2.0,,0.3338,1.0,1.0,2.0
11396258,home,Borussia M'gladbach,Nathan N'Goumou,nathan-ngoumou,N. Ngoumou,M,19,182,657,M,962409,EUR,952992000,M,19,19,False,20.0,17.0,6.0,6.0,,,,,,,,70.0,36.0,7.1,0.272281,2,,1.0,1.0,,12.0,17.0,3.0,1.0,,4.0,5.0,,,3.0,2.0,1.0,2.0,8.0,1.0,2.0,1.0,,,,0.1503,1.0,,,1.0,,,1.0,,,0.1797,,1.0,
