match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_wonTackle,stat_errorLeadToAShot,stat_expectedGoalsOnTarget,stat_outfielderBlock,stat_dispossessed,stat_totalContest,stat_wonContest,captain,stat_keyPass,stat_accurateCross,stat_bigChanceCreated,stat_goals
12436541,home,Newcastle United,Nick Pope,,,nick-pope,N. Pope,G,1,198.0,4628,M,npope29,162653,EUR,703641600,G,22,22,False,21.0,16.0,6.0,1.0,0.0,16.0,17.0,4.0,2.0,10.0,1.0,2.0,5.0,1.0,1.0,1.0,90.0,38.0,7.5,5.0,8.94e-05,0,0.1269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436541,home,Newcastle United,Fabian Schär,,,fabian-schar,F. Schär,D,5,186.0,3172,M,,101882,EUR,693187200,D,5,5,False,59.0,54.0,8.0,6.0,0.0,25.0,25.0,35.0,2.0,3.0,,,,,,,90.0,74.0,7.0,7.0,0.049954,5,,29.0,1.0,6.0,4.0,8.0,6.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.4325,,,,,,,,,,,,,,
12436541,home,Newcastle United,Sven Botman,,,sven-botman,S. Botman,D,4,193.0,3377,M,,910046,EUR,947635200,D,4,4,False,45.0,42.0,2.0,1.0,0.0,32.0,33.0,12.0,5.0,5.0,,,,,,,63.0,60.0,7.2,5.0,0.00406192,3,,10.0,,2.0,3.0,3.0,7.0,,,1.0,,4.0,2.0,,1.0,0.408,1.0,2.0,3.0,1.0,1.2731,,,,,,,,,
12436541,home,Newcastle United,Dan Burn,,,dan-burn,D. Burn,D,33,201.0,4473,M,,99090,EUR,705369600,D,33,33,False,66.0,56.0,7.0,3.0,0.0,25.0,26.0,40.0,8.0,2.0,,,,,,,90.0,86.0,7.2,12.0,0.0107755,0,,31.0,,4.0,5.0,4.0,7.0,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,2.0,,,,,,,,
12436541,home,Newcastle United,Jacob Murphy,,,jacob-murphy,J. Murphy,F,23,176.0,3564,M,,372336,EUR,793584000,M,23,23,False,36.0,28.0,2.0,,0.0,5.0,6.0,34.0,,3.0,,,,,,,70.0,45.0,6.6,13.0,0.0173817,0,,23.0,4.0,,,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,
12436541,home,Newcastle United,Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,182.0,31550,M,BrunoGuimarães,866469,EUR,879638400,M,39,39,False,70.0,61.0,5.0,3.0,0.0,12.0,15.0,57.0,,7.0,,,,,,,90.0,82.0,7.0,14.0,0.072509,1,,49.0,2.0,,,8.0,4.0,1.0,,,1.0,1.0,1.0,3.0,5.0,0.0604,,1.0,1.0,1.0,0.1456,,1.0,1.0,,True,2.0,,,
12436541,home,Newcastle United,Sandro Tonali,,,sandro-tonali,S. Tonali,M,8,181.0,14225,M,sandrotonali,892673,EUR,957744000,M,8,8,False,61.0,55.0,3.0,2.0,0.0,19.0,19.0,55.0,,6.0,,,,,,,90.0,84.0,8.1,15.0,0.347711,1,,42.0,13.0,,,2.0,3.0,2.0,,,,2.0,2.0,,,0.0362,,1.0,1.0,,0.1864,,,1.0,1.0,,4.0,6.0,1.0,
12436541,home,Newcastle United,Valentino Livramento,,,valentino-livramento,V. Livramento,D,21,181.0,4840,M,,980634,EUR,1037059200,M,21,21,False,46.0,42.0,1.0,1.0,0.0,14.0,15.0,35.0,3.0,7.0,,,,,,,90.0,70.0,7.0,12.0,0.24569,0,,30.0,4.0,1.0,3.0,4.0,6.0,,,,,,3.0,1.0,,,,,,,,,2.0,3.0,2.0,,1.0,2.0,,
12436541,home,Newcastle United,Harvey Barnes,,,harvey-barnes,H. Barnes,F,11,181.0,5550,M,,855647,EUR,881625600,F,11,11,False,21.0,15.0,2.0,,0.0,4.0,4.0,19.0,1.0,1.0,,,,,,,88.0,33.0,6.7,12.0,0.0205561,1,,11.0,2.0,,,2.0,1.0,,,1.0,,,3.0,1.0,1.0,0.0808,,,,,,,,1.0,,,1.0,,,
12436541,home,Newcastle United,Alexander Isak,,,alexander-isak,A. Isak,F,9,193.0,100485,M,AlexIsak,823941,EUR,937872000,F,14,14,False,28.0,26.0,,,0.0,5.0,5.0,24.0,,,,,,,,,90.0,38.0,6.7,8.0,0.0311245,3,,21.0,1.0,2.0,,7.0,,,1.0,,,,1.0,,1.0,0.1516,,2.0,,,0.5526,,1.0,3.0,,,,,,
