match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_keyPass,player_sofascoreId,stat_aerialLost,stat_outfielderBlock,stat_fouls,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_blockedScoringAttempt,stat_errorLeadToAShot,captain,stat_wonContest,stat_totalOffside,stat_lastManTackle
12437840,home,Villarreal,Luiz Júnior,Luiz Lúcio Reis Júnior,,luiz-junior,L. Júnior,G,1,192,2350,M,1066603,EUR,979430400,G,1,1,False,16.0,11.0,9.0,4.0,0.0,9.0,10.0,2.0,6.0,1.0,6.0,1.0,1.0,3.0,1.0,90.0,26.0,7.4,5.0,0.00022093,0,0.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437840,home,Villarreal,Kiko Femenía,,,kiko-femenia,K. Femenía,D,17,176,444,M,53739,EUR,665452800,D,17,17,False,53.0,48.0,4.0,3.0,0.0,21.0,25.0,27.0,28.0,1.0,2.0,,,,,90.0,70.0,7.4,6.0,0.0545372,1,,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.3168,1.0,,,,,,,,,,,,,,,,,,,
12437840,home,Villarreal,Juan Foyth,,,juan-foyth,J. Foyth,D,8,187,6465,M,873189,EUR,884563200,D,8,8,False,27.0,21.0,7.0,2.0,0.0,17.0,17.0,4.0,10.0,3.0,2.0,,,,,68.0,37.0,6.9,6.0,0.00273483,0,,2.0,5.0,4.0,,,,2.0,2.0,1.0,,,,juanfoyth,4.0,1.0,1.0,,,,,,,,,,,,,,,
12437840,home,Villarreal,Logan Costa,,,logan-costa,L. Costa,D,2,188,677,M,911853,EUR,986083200,D,2,2,False,37.0,35.0,4.0,3.0,0.0,28.0,28.0,7.0,9.0,1.0,3.0,,,,,90.0,44.0,7.9,2.0,0.00150799,1,,2.0,2.0,3.0,,,,2.0,1.0,1.0,,0.1555,,,2.0,,,1.0,1.0,0.8161,,,,,,,,,,,,
12437840,home,Villarreal,Sergi Cardona,,,sergi-cardona,S. Cardona,D,23,186,1119,M,986245,EUR,932256000,D,23,23,False,32.0,25.0,1.0,,2.0,13.0,14.0,14.0,21.0,,3.0,,,,,90.0,45.0,7.9,10.0,0.705509,0,,2.0,5.0,3.0,1.0,,,1.0,1.0,,,,2.0,,,,2.0,,,,3.0,2.0,1.0,1.0,2.0,,,,,,,
12437840,home,Villarreal,Yéremy Pino,,,yeremy-pino,Y. Pino,M,10,172,6120,M,984624,EUR,1035072000,M,21,21,False,15.0,13.0,,,0.0,2.0,2.0,11.0,17.0,1.0,2.0,,,,,60.0,34.0,8.0,8.0,0.0561028,1,,,3.0,7.0,,,,,6.0,4.0,1.0,0.2676,2.0,,1.0,,1.0,1.0,1.0,0.2266,4.0,,1.0,,,2.0,,,,,,
12437840,home,Villarreal,Pape Gueye,,,pape-gueye,P. Gueye,M,18,187,36528,M,879694,EUR,917136000,M,18,18,False,50.0,41.0,9.0,3.0,0.0,15.0,18.0,26.0,33.0,3.0,9.0,,,,,86.0,70.0,7.3,13.0,0.110501,4,,2.0,5.0,7.0,2.0,,2.0,,2.0,,3.0,0.2289,,p.gueye24,3.0,,,1.0,,0.0586,1.0,,,,,1.0,1.0,,,,,
12437840,home,Villarreal,Dani Parejo,,,dani-parejo,D. Parejo,M,10,180,1999,M,39182,EUR,608688000,M,10,10,False,47.0,45.0,5.0,5.0,1.0,17.0,18.0,29.0,30.0,1.0,5.0,,,,,76.0,58.0,9.0,4.0,0.276844,1,,1.0,1.0,6.0,,,,,3.0,3.0,2.0,0.1566,1.0,,,,1.0,1.0,1.0,0.7241,1.0,1.0,,,1.0,1.0,,,,,,
12437840,home,Villarreal,Alejandro Baena,,,alejandro-baena,A. Baena,M,10,174,9564,M,910031,EUR,995587200,M,16,16,False,29.0,22.0,4.0,1.0,0.0,6.0,8.0,17.0,28.0,,6.0,,,,,90.0,46.0,7.9,15.0,0.65554,2,,,6.0,3.0,,,,,2.0,2.0,1.0,0.9295,4.0,alexbaena,,,2.0,2.0,1.0,1.1266,7.0,1.0,3.0,1.0,1.0,1.0,,1.0,,,,
12437840,home,Villarreal,Gerard Moreno,,,gerard-moreno,G. Moreno,F,7,180,4001,M,146866,EUR,702604800,F,7,7,False,36.0,31.0,6.0,5.0,0.0,8.0,8.0,23.0,29.0,2.0,6.0,,,,,68.0,44.0,7.3,8.0,0.0559398,1,,1.0,1.0,3.0,1.0,,,,1.0,,,0.1134,,GerardMoreno9,,,,1.0,,0.1262,1.0,,,1.0,,1.0,,,True,1.0,1.0,
