match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_outfielderBlock,captain,stat_aerialLost,stat_totalOffside,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals
11453018,home,Al-Fateh,Jacob Rinne,,,jacob-rinne,J. Rinne,G,35,188.0,92,M,289025,EUR,740534400,G,1,1,False,22.0,20.0,13.0,11.0,0.0,15.0,15.0,5.0,7.0,9.0,1.0,1.0,4.0,90.0,32.0,7.4,2.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,
11453018,home,Al-Fateh,Saeed Baattia,Saeed Baattia,,saeed-baattia,S. Baattia,D,15,172.0,25,M,1521953,EUR,969667200,D,12,12,False,36.0,32.0,1.0,1.0,0.0,13.0,13.0,19.0,25.0,6.0,,,,86.0,57.0,7.4,8.0,,0,2.0,2.0,3.0,7.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,
11453018,home,Al-Fateh,Jason Denayer,,,jason-denayer,J. Denayer,D,,184.0,657,M,352664,EUR,804297600,D,64,64,False,49.0,45.0,2.0,1.0,0.0,28.0,29.0,17.0,20.0,1.0,,,,90.0,64.0,7.2,4.0,,0,,1.0,2.0,3.0,,,,9.0,,2.0,1.0,,2.0,3.0,,,,,,,,,,,
11453018,home,Al-Fateh,Marwane Saadane,,,marwane-saadane,M. Saadane,D,17,185.0,1277,M,847714,EUR,695606400,D,17,17,False,67.0,61.0,9.0,6.0,0.0,34.0,34.0,27.0,33.0,8.0,,,,90.0,76.0,6.8,7.0,,0,,2.0,4.0,3.0,,1.0,,3.0,3.0,,,1.0,2.0,,True,1.0,1.0,,,,,,,,
11453018,home,Al-Fateh,Tawfiq Buhumaid,,,tawfiq-buhumaid,T. Buhumaid,D,25,179.0,6,M,871425,EUR,562464000,D,25,25,False,46.0,43.0,4.0,3.0,0.0,18.0,20.0,26.0,30.0,3.0,,,,85.0,63.0,6.6,8.0,,0,4.0,2.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,3.0,,,,,1.0,2.0,,,,,,
11453018,home,Al-Fateh,Sofiane Bendebka,,,sofiane-bendebka,S. Bendebka,M,28,180.0,1218,M,845609,EUR,713318400,M,28,28,False,41.0,36.0,4.0,3.0,1.0,16.0,18.0,21.0,25.0,5.0,,,,89.0,54.0,7.9,8.0,2.0,0,2.0,1.0,2.0,8.0,,2.0,2.0,,1.0,2.0,1.0,3.0,1.0,,,1.0,,1.0,1.0,1.0,2.0,,,,
11453018,home,Al-Fateh,Mukhtar Ali,,,ali-mukhtar,A. Mukhtar,M,7,185.0,334,M,788258,EUR,878169600,M,7,7,False,70.0,67.0,5.0,4.0,2.0,31.0,31.0,36.0,39.0,5.0,,,,90.0,78.0,8.5,4.0,2.0,1,,,3.0,2.0,1.0,2.0,2.0,,1.0,,,,,1.0,,1.0,,,1.0,1.0,,1.0,,,
11453018,home,Al-Fateh,Mourad Batna,,,batna-mourad,M. Batna,M,11,185.0,1192,M,880790,EUR,646444800,M,11,11,False,39.0,33.0,1.0,,0.0,7.0,7.0,27.0,36.0,3.0,,,,90.0,74.0,8.7,15.0,2.0,7,4.0,,6.0,11.0,2.0,10.0,9.0,1.0,,,,2.0,2.0,,,1.0,,1.0,,,2.0,1.0,3.0,3.0,1.0
11453018,home,Al-Fateh,Lucas Zelarayán,Lucas,Zelarayán,lucas-zelarayan,L. Zelarayán,M,10,172.0,1289,M,249061,EUR,708998400,M,10,10,False,41.0,32.0,5.0,2.0,1.0,4.0,4.0,29.0,42.0,4.0,,,,90.0,61.0,8.4,20.0,5.0,2,5.0,,4.0,4.0,1.0,3.0,1.0,,2.0,,,3.0,3.0,,,,,1.0,,,3.0,,1.0,1.0,1.0
11453018,home,Al-Fateh,Cristian Tello,,,cristian-tello,C. Tello,M,,178.0,644,M,114157,EUR,681868800,M,37,37,False,42.0,38.0,,,0.0,9.0,10.0,29.0,32.0,4.0,,,,86.0,62.0,7.3,8.0,2.0,6,,,3.0,4.0,,6.0,4.0,1.0,1.0,,,,1.0,,,,1.0,,,,2.0,1.0,,5.0,
