match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_fouls,captain,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_blockedScoringAttempt,stat_goals,stat_wonContest,stat_shotOffTarget,player_sofascoreId,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock,stat_errorLeadToAShot,stat_bigChanceMissed
14083179,home,Sevilla,Chidera Ejuke,,,chidera-ejuke,C. Ejuke,M,21,176.0,3125,M,875890,EUR,883699200,F,21,21,True,6.0,6.0,,,0.0,4.0,4.0,2.0,2.0,,1.0,,,,13.0,22.0,8.0,4.0,0.00837596,69.616779580843,6.0,15.645,20.58,,1,,0.03,0.07,0.13,,,,4.0,7.0,,10.0,,,,,1.0,,,,,,,,1.0,,0.1245,0.3887,0.53,,1.0,6.0,,,,,,,
14083179,home,Sevilla,Miguel Sierra,,,miguel-sierra,M. Sierra,M,29,180.0,91,M,1518564,EUR,1058140800,F,29,29,True,9.0,8.0,2.0,1.0,0.0,5.0,6.0,3.0,3.0,2.0,3.0,,,,13.0,14.0,6.8,1.0,0.00446061,31.39215668787,4.0,-2.52,4.62,,0,,-0.13,0.07,0.17,,,,,3.0,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
14083179,home,Sevilla,Joan Jordán,,,joan-jordan,J. Jordán,M,8,184.0,752,M,591750,EUR,773452800,M,8,8,True,10.0,9.0,1.0,,0.0,5.0,5.0,4.0,5.0,,1.0,,,,4.0,11.0,,1.0,0.00252389,20.136085912356,3.0,16.59,10.71,,0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14083179,home,Sevilla,Lorenzo Luchino,Lorenzo Luchino,,lorenzo-luchino,L. Luchino,G,40,189.0,58,M,1482403,EUR,1142812800,G,40,40,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083179,home,Sevilla,Alberto Flores,,,alberto-flores,A. Flores,G,31,187.0,119,M,1108577,EUR,1068422400,G,31,31,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083179,home,Sevilla,Ramón Martínez,,,ramon-martinez,R. Martínez,D,5,185.0,237,M,1090681,EUR,1035244800,D,22,22,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083179,home,Sevilla,Iker Muñoz,,,iker-munoz,I. Muñoz,D,41,186.0,16,M,1402720,EUR,1073260800,D,41,41,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083179,home,Sevilla,Juanlu Sánchez,,,juanlu-sanchez,J. Sánchez,M,16,186.0,1123,M,1010655,EUR,1060905600,M,16,16,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083179,home,Sevilla,Alex Costa,,,costa-alex,A. Costa,F,26,189.0,31,M,1002876,EUR,1042329600,F,26,26,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083179,home,Sevilla,Alfon González,,,alfon-gonzalez,A. González,F,17,172.0,607,M,1468090,EUR,925776000,F,17,17,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
