match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_goalAssist,stat_totalCross,stat_aerialLost,stat_duelLost,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,player_sofascoreId,stat_blockedScoringAttempt,stat_aerialWon,stat_wasFouled,stat_fouls,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_goals,captain,stat_outfielderBlock,stat_totalOffside,stat_goodHighClaim,stat_punches
10411591,away,Udinese,Tolgay Arslan,tolgay-arslan,T. Arslan,F,30,180,393,M,71203,EUR,650764800,M,5,5,False,17.0,10.0,2.0,,7.0,11.0,3.0,6.0,4.0,1.0,1.0,3.0,,,45.0,23.0,6.4,8.0,0.133,0.0,0.00287298,1,,,,,,,4.0,,,1.0,,,1.0,,1.0,,1.0,,,,2.0,,4.0,,,,,,,,,
10411591,away,Udinese,Enzo Ebosse,enzo-ebosse,E. Ebosse,D,77,185,507,M,848279,EUR,921110400,M,23,23,False,32.0,26.0,4.0,4.0,7.0,10.0,20.0,24.0,4.0,1.0,1.0,4.0,,,90.0,55.0,7.1,9.0,0.0231,0.0,0.033005,1,,,,,2.0,5.0,6.0,,,1.0,,,1.0,,1.0,,1.0,,,,2.0,,1.0,1.0,,,,,1.0,,,
10411591,away,Udinese,Gerard Deulofeu,gerard-deulofeu,G. Deulofeu,F,,174,1480,M,96372,EUR,763516800,F,10,10,False,30.0,26.0,,,6.0,6.0,20.0,25.0,1.0,3.0,,3.0,,,60.0,44.0,6.5,12.0,0.115,0.0464,0.0850015,2,,,,,1.0,1.0,8.0,,,1.0,1.0,,,,,,1.0,1.0,,,,1.0,,,1.0,3.0,,,,1.0,,
10411591,away,Udinese,Isaac Success,isaac-success,S. Isaac,F,29,182,366,M,359640,EUR,820972800,F,7,7,False,26.0,18.0,1.0,1.0,4.0,6.0,14.0,20.0,7.0,,,3.0,,,85.0,47.0,6.9,19.0,0.0,0.0,0.249249,0,,Isaac,Success,1.0,,,5.0,,,,,,3.0,,,,7.0,1.0,,,3.0,4.0,3.0,,,3.0,,,1.0,3.0,,
10411591,away,Udinese,Kingsley Ehizibue,kingsley-ehizibue,K. Ehizibue,M,19,189,682,M,609206,EUR,801360000,D,19,19,True,17.0,14.0,2.0,1.0,6.0,7.0,9.0,11.0,1.0,1.0,,3.0,,,45.0,29.0,6.3,8.0,0.0,0.0,0.027634,0,,,,,1.0,,3.0,,,,,,,,,,,,,,,1.0,,1.0,,2.0,,,,,,
10411591,away,Udinese,Mato Jajalo,mato-jajalo,M. Jajalo,M,,180,69,M,42147,EUR,580521600,M,8,8,True,13.0,12.0,2.0,1.0,2.0,2.0,10.0,11.0,1.0,2.0,1.0,3.0,,,30.0,21.0,6.6,4.0,0.0491,0.0,0.0898009,2,,,,,,,2.0,,,1.0,,,2.0,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,
10411591,away,Udinese,Beto,beto,Beto,F,9,194,3398,M,987489,EUR,886204800,F,9,9,True,6.0,4.0,,,,,4.0,6.0,1.0,,,2.0,,,30.0,9.0,6.5,4.0,0.0,0.0,0.0172653,0,,,,,,,2.0,,,,,,,,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,
10411591,away,Udinese,Lazar Samardžić,lazar-samardzic,L. Samardžić,M,10,183,4807,M,980624,EUR,1014508800,M,24,24,True,6.0,6.0,,,1.0,1.0,5.0,6.0,1.0,1.0,,2.0,,,11.0,11.0,6.6,4.0,0.0,0.0,0.00718422,0,,,,,1.0,,2.0,,,,,,,,1.0,,1.0,2.0,lakisamar10,,,,,,,1.0,,,,,,
10411591,away,Udinese,Ilija Nestorovski,ilija-nestorovski,I. Nestorovski,F,90,182,255,M,55314,EUR,637200000,F,30,30,True,2.0,1.0,,,,,1.0,2.0,,,,,,,10.0,3.0,6.5,1.0,0.0467,0.0,0.00038474,1,,Ilija,Nestorovski,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
10411591,away,Udinese,Daniele Padelli,daniele-padelli,D. Padelli,G,93,191,196,M,2899,EUR,499046400,G,20,20,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411591,away,Udinese,Edoardo Piana,edoardo-piana,E. Piana,G,22,197,81,M,1001017,EUR,1064793600,G,99,99,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411591,away,Udinese,Festy Ebosele,festy-ebosele,F. Ebosele,D,36,180,593,M,983059,EUR,1028246400,D,2,2,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411591,away,Udinese,Leonardo Buta,leonardo-buta,L. Buta,D,24,182,172,M,1120038,EUR,1023235200,D,15,15,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411591,away,Udinese,James Abankwah,james-abankwah,J. Abankwah,D,25,188,423,M,1127232,EUR,1074211200,D,14,14,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
