match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_totalOffside,stat_keyPass,stat_aerialWon,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_totalContest,stat_wonContest,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_dispossessed,stat_interceptionWon,stat_onTargetScoringAttempt,captain,stat_accurateCross,stat_bigChanceMissed,stat_shotOffTarget,player_sofascoreId,stat_goodHighClaim,stat_challengeLost
10665968,home,Al-Shabab,Seung-gyu Kim,seung-gyu-kim,S. Kim,G,81,187,324,M,235686,EUR,654652800,G,18,18,False,49.0,42.0,11.0,4.0,41.0,42.0,1.0,7.0,10.0,1.0,2.0,90.0,56.0,7.5,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665968,home,Al-Shabab,Fawaz Al-Sagour,fawaz-al-sagour,F. Al-Sagour,D,27,176,240,M,818572,EUR,830217600,D,27,27,False,22.0,20.0,,,8.0,9.0,12.0,15.0,1.0,,,90.0,41.0,7.1,7.0,0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10665968,home,Al-Shabab,Iago Santos,iago-santos,I. Santos,D,4,188,76,M,584430,EUR,706492800,D,4,4,False,56.0,48.0,9.0,3.0,40.0,40.0,8.0,16.0,,,,61.0,65.0,7.2,8.0,1,,1.0,1.0,2.0,6.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10665968,home,Al-Shabab,Hassan Al Tambakti,hassan-al-tambakti,H. A. Tambakti,D,87,182,1188,M,881837,EUR,918518400,D,5,5,False,58.0,50.0,4.0,2.0,38.0,40.0,12.0,18.0,6.0,,,90.0,67.0,7.3,10.0,0,,1.0,2.0,5.0,2.0,3.0,2.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10665968,home,Al-Shabab,Moteb Al-Harbi,moteb-al-harbi,M. Al-Harbi,D,24,171,848,M,1022679,EUR,950918400,D,24,24,False,31.0,28.0,2.0,2.0,14.0,15.0,14.0,20.0,8.0,,,90.0,60.0,7.0,15.0,0,4.0,,3.0,5.0,5.0,2.0,3.0,1.0,,,,,,2.0,3.0,1.0,2.0,,,,1.0,1.0,,,,,,,,
10665968,home,Al-Shabab,Husain Al-Qahtani,husain-al-monassar,H. Al-Qahtani,M,52,177,32,M,893218,EUR,787881600,M,15,15,False,48.0,43.0,1.0,1.0,26.0,27.0,17.0,21.0,4.0,,,85.0,57.0,6.5,6.0,2,,2.0,4.0,,,,1.0,,,,,1.0,,,,,,2.0,,,,1.0,1.0,,,,,,,
10665968,home,Al-Shabab,Grzegorz Krychowiak,grzegorz-krychowiak,G. Krychowiak,M,4,187,2715,M,76227,EUR,633571200,M,23,23,False,51.0,48.0,9.0,7.0,32.0,34.0,16.0,17.0,6.0,,,90.0,61.0,7.1,4.0,1,,,5.0,6.0,1.0,3.0,,,2.0,1.0,,,,2.0,,,3.0,4.0,Grzegorz,Krychowiak,1.0,,1.0,,,,,,,
10665968,home,Al-Shabab,Éver Banega,ever-banega,É. Banega,M,11,174,1194,M,31981,EUR,583545600,M,10,10,False,62.0,47.0,7.0,3.0,19.0,22.0,31.0,46.0,5.0,,,90.0,83.0,6.8,25.0,0,6.0,,5.0,4.0,1.0,1.0,1.0,,2.0,,,,,1.0,2.0,2.0,1.0,2.0,,,3.0,,,True,3.0,,,,,
10665968,home,Al-Shabab,Carlos Junior,carlos-junior,C. Junior,M,13,176,437,M,555624,EUR,808444800,F,13,13,False,20.0,13.0,,,7.0,11.0,6.0,10.0,5.0,,,90.0,37.0,6.7,11.0,3,1.0,4.0,6.0,4.0,,1.0,2.0,1.0,,1.0,,,,2.0,,,1.0,1.0,,,1.0,1.0,2.0,,,1.0,1.0,,,
10665968,home,Al-Shabab,Cristian Guanca,cristian-guanca,C. Guanca,M,10,177,565,M,789438,EUR,733190400,F,8,8,False,34.0,29.0,2.0,2.0,10.0,11.0,19.0,24.0,4.0,,,90.0,44.0,6.6,10.0,1,1.0,,4.0,2.0,2.0,,1.0,2.0,2.0,,,1.0,,1.0,3.0,1.0,,1.0,,,1.0,,,,,,,,,
