match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialLost,stat_bigChanceMissed,stat_shotOffTarget,stat_expectedGoals,captain,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_unsuccessfulTouch,stat_totalContest,stat_blockedScoringAttempt,stat_fouls,stat_wonContest,stat_bigChanceCreated,stat_hitWoodwork,stat_totalOffside,player_sofascoreId,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goalAssist,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals
11451040,home,Pendikspor,Erdem Canpolat,Erdem Canpolat,,erdem-canpolat,E. Canpolat,G,1,194,88,M,1066726,EUR,987120000,G,1,1,False,19.0,7.0,16.0,4.0,4.0,5.0,3.0,14.0,1.0,1.0,17.0,1.0,2.0,1.0,3.0,90.0,40.0,6.6,12.0,0.00086756,0,-0.4529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451040,home,Pendikspor,Serkan Asan,,,serkan-asan,S. Asan,D,61,170,62,M,952726,EUR,925257600,D,61,61,False,20.0,15.0,4.0,2.0,8.0,10.0,7.0,10.0,,2.0,7.0,1.0,,,,90.0,45.0,7.0,11.0,0.00789911,0,,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11451040,home,Pendikspor,Berkay Sülüngöz,,,berkay-sulungoz,B. Sülüngöz,D,5,185,7,M,839895,EUR,732758400,D,20,20,False,19.0,11.0,6.0,1.0,11.0,13.0,,6.0,1.0,1.0,1.0,,,,,90.0,29.0,6.6,8.0,9.711e-05,1,,3.0,,6.0,2.0,1.0,,,,,3.0,1.0,1.0,0.1765,,,,,,,,,,,,,,,,,,,
11451040,home,Pendikspor,Welinton,,,welinton,Welinton,D,,181,86,M,76529,EUR,608169600,D,23,23,False,28.0,15.0,11.0,3.0,11.0,16.0,5.0,14.0,2.0,2.0,8.0,,,,,90.0,44.0,6.5,15.0,0.00370227,1,,,,6.0,,2.0,,,,,,,1.0,0.0151,True,2.0,1.0,,,,,,,,,,,,,,,,
11451040,home,Pendikspor,Nuno Sequeira,,,nuno-sequeira,N. Sequeira,D,6,184,51,M,170117,EUR,651024000,D,6,6,False,23.0,13.0,6.0,1.0,9.0,12.0,4.0,12.0,,5.0,8.0,2.0,,,,90.0,43.0,6.3,18.0,0.00130697,0,,5.0,1.0,1.0,1.0,2.0,,3.0,1.0,,1.0,,,,,1.0,,3.0,2.0,,,,,,,,,,,,,,
11451040,home,Pendikspor,Arnaud Lusamba,,,arnaud-lusamba,A. Lusamba,M,11,180,284,M,361342,EUR,852336000,M,66,66,False,27.0,23.0,8.0,6.0,12.0,14.0,11.0,13.0,,3.0,2.0,1.0,,,,90.0,37.0,6.5,8.0,0.0116129,1,,4.0,1.0,2.0,,,,2.0,2.0,,,,,0.023,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,
11451040,home,Pendikspor,Josip Vuković,,,josip-vukovic,J. Vuković,M,44,186,113,M,137635,EUR,704764800,M,4,4,False,12.0,10.0,1.0,,5.0,6.0,5.0,9.0,1.0,3.0,,,,,,90.0,21.0,7.2,5.0,0.125154,2,,,,2.0,,,,1.0,1.0,1.0,,,2.0,0.1227,,3.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,
11451040,home,Pendikspor,Halil Akbunar,,,halil-akbunar,H. Akbunar,M,77,170,140,M,217782,EUR,752803200,M,11,11,False,21.0,13.0,4.0,2.0,5.0,5.0,9.0,18.0,2.0,11.0,5.0,2.0,,,,83.0,40.0,6.8,14.0,0.0843284,1,,7.0,1.0,,,,,6.0,4.0,,2.0,,,0.0331,,2.0,1.0,1.0,1.0,4.0,1.0,,1.0,,,2.0,,,,,,,
11451040,home,Pendikspor,Óscar Romero,,,oscar-romero,Ó. Romero,M,11,176,1674,M,146416,EUR,710208000,M,10,10,False,20.0,11.0,3.0,1.0,5.0,7.0,7.0,17.0,1.0,1.0,6.0,,,,,77.0,32.0,6.7,16.0,0.0416574,0,,3.0,,2.0,,1.0,,,,1.0,2.0,,,,,4.0,1.0,,4.0,,,3.0,,,,,,,,,,,
11451040,home,Pendikspor,Gökcan Kaya,,,gokcan-kaya,G. Kaya,M,58,180,19,M,342437,EUR,807753600,M,58,58,False,15.0,11.0,,,9.0,10.0,2.0,5.0,,3.0,6.0,1.0,,,,77.0,29.0,7.0,9.0,0.00802714,1,,1.0,,2.0,,1.0,,2.0,2.0,,1.0,,1.0,0.0543,,,,,5.0,,,,,,,,,,,,,,
