match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_bigChanceMissed,stat_shotOffTarget,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalOffside,stat_goals,stat_hitWoodwork
12437788,home,Real Madrid,Thibaut Courtois,thibaut-courtois,T. Courtois,G,1,200,202673,M,TheOctopus,70988,EUR,705542400,G,1,1,False,34.0,29.0,6.0,3.0,0.0,28.0,30.0,1.0,4.0,2.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,44.0,6.5,6.0,0.00012627,0,-0.7058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437788,home,Real Madrid,Lucas Vázquez,lucas-vazquez,L. Vázquez,D,21,173,60349,M,LucasVaz91,255239,EUR,678326400,D,17,17,False,48.0,45.0,3.0,3.0,1.0,25.0,26.0,22.0,25.0,3.0,3.0,,,,,,,90.0,78.0,8.0,9.0,0.336344,2,,,,True,3.0,2.0,2.0,1.0,9.0,11.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,5.0,4.0,1.0,2.0,1.0,0.2888,0.1268,2.0,,,,,,,,
12437788,home,Real Madrid,Aurélien Tchouaméni,aurelien-tchouameni,A. Tchouaméni,M,14,188,145918,M,ATchouaméni,859025,EUR,948931200,D,14,14,False,84.0,79.0,4.0,2.0,0.0,62.0,64.0,17.0,20.0,3.0,6.0,,,,,,,90.0,91.0,6.5,6.0,0.00426919,0,,,,,,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
12437788,home,Real Madrid,Antonio Rüdiger,antonio-rudiger,A. Rüdiger,D,22,191,192797,M,ARüdiger,142622,EUR,731116800,D,22,22,False,75.0,72.0,10.0,8.0,0.0,53.0,53.0,19.0,22.0,2.0,3.0,,,,,,,90.0,81.0,6.6,3.0,0.00757344,1,,,,,,,1.0,,2.0,1.0,,,,,,,,1.0,1.0,,,1.0,0.1841,,,1.0,1.0,,,,,,
12437788,home,Real Madrid,Eduardo Camavinga,camavinga-eduardo,E. Camavinga,M,6,182,191301,M,Tacklevinga,973887,EUR,1036886400,D,6,6,False,71.0,63.0,4.0,2.0,1.0,30.0,34.0,33.0,37.0,1.0,6.0,,,,,,,90.0,95.0,7.8,8.0,0.0334044,0,,,,,,,1.0,,4.0,8.0,1.0,,,,,,,7.0,4.0,,1.0,2.0,,,1.0,,,1.0,1.0,2.0,1.0,,
12437788,home,Real Madrid,Dani Ceballos,dani-ceballos,D. Ceballos,M,19,179,67396,M,Danifuli10,547838,EUR,839376000,M,19,19,False,61.0,58.0,3.0,3.0,0.0,34.0,34.0,24.0,27.0,,1.0,,,,,,,71.0,71.0,7.0,4.0,0.0155443,1,,,,,,,,,4.0,7.0,3.0,1.0,,,,1.0,,5.0,2.0,,2.0,,0.1859,,,,,,,,,,
12437788,home,Real Madrid,Federico Valverde,federico-valverde,F. Valverde,M,8,181,375509,M,Fede,831808,EUR,901065600,M,8,8,False,61.0,52.0,7.0,4.0,0.0,30.0,33.0,22.0,28.0,1.0,5.0,,,,,,,90.0,71.0,7.7,11.0,0.0621915,1,,,,,,,2.0,1.0,3.0,3.0,,,,,,1.0,,2.0,1.0,1.0,,1.0,0.0149,0.0979,3.0,,,,,3.0,,1.0,
12437788,home,Real Madrid,Brahim Díaz,brahim-diaz,B. Díaz,M,21,170,258553,M,Brahim,835485,EUR,933638400,M,21,21,False,44.0,38.0,3.0,2.0,0.0,19.0,20.0,19.0,25.0,1.0,7.0,,,,,,,90.0,62.0,7.6,12.0,0.28637,1,,,,,1.0,,,,4.0,5.0,1.0,2.0,3.0,2.0,,1.0,,1.0,1.0,2.0,2.0,,0.289,0.6018,1.0,,,,,1.0,,1.0,
12437788,home,Real Madrid,Jude Bellingham,jude-bellingham,J. Bellingham,M,5,188,1013050,M,JudeBell,991011,EUR,1056844800,M,5,5,False,43.0,38.0,5.0,4.0,0.0,12.0,12.0,26.0,31.0,1.0,,,,,,,,77.0,57.0,6.6,10.0,0.374892,1,,,,,,,,,5.0,4.0,1.0,3.0,1.0,,,,1.0,1.0,1.0,,3.0,,0.0909,,1.0,,,,,,,,
12437788,home,Real Madrid,Rodrygo,rodrygo,Rodrygo,F,11,174,699716,M,Rodrygo,910536,EUR,978998400,M,11,11,False,37.0,32.0,,,1.0,6.0,7.0,27.0,35.0,,6.0,,,,,,,71.0,57.0,8.5,13.0,0.0669801,4,,,,,5.0,1.0,,,5.0,4.0,2.0,1.0,2.0,,,2.0,1.0,2.0,2.0,1.0,2.0,,0.4136,0.6849,2.0,,1.0,,,,,1.0,
