match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialLost,stat_dispossessed,stat_outfielderBlock,player_firstName,player_lastName,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11396407,home,FC Bayern München,Manuel Neuer,manuel-neuer,M. Neuer,G,1,193,36498,M,MNeuer,8959,EUR,512265600,G,1,1,False,True,24.0,20.0,6.0,2.0,19.0,22.0,1.0,2.0,5.0,2.0,4.0,90.0,32.0,7.6,4.0,0.00044014,0,1.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396407,home,FC Bayern München,Noussair Mazraoui,noussair-mazraoui,N. Mazraoui,D,3,183,53749,M,nousmaz97,847030,EUR,879465600,D,40,40,False,,61.0,54.0,1.0,1.0,17.0,19.0,39.0,45.0,7.0,,,90.0,84.0,8.6,12.0,0.612063,0,,2.0,3.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
11396407,home,FC Bayern München,Matthijs de Ligt,matthijs-de-ligt,M. de Ligt,D,4,188,32702,M,mdeligt,803031,EUR,934416000,D,4,4,False,,47.0,46.0,1.0,1.0,31.0,32.0,15.0,15.0,4.0,,,77.0,56.0,6.9,2.0,0.0160795,3,,,,,2.0,1.0,4.0,,,,,2.0,,1.0,,,2.0,2.0,1.0,2.0,2.0,1.0,0.8556,0.3589,,,,,,,,,,,
11396407,home,FC Bayern München,Min-jae Kim,min-jae-kim,M. Kim,D,3,190,15013,M,kiminjae3,896569,EUR,848016000,D,3,3,False,,88.0,81.0,6.0,4.0,38.0,40.0,43.0,48.0,7.0,,,90.0,94.0,7.3,7.0,0.0435374,0,,,,,7.0,3.0,7.0,1.0,,,,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,
11396407,home,FC Bayern München,Alphonso Davies,alphonso-davies,A. Davies,D,19,185,29613,M,ADavies19,843665,EUR,973123200,D,19,19,False,,32.0,30.0,,,17.0,17.0,13.0,16.0,5.0,,,66.0,51.0,6.7,10.0,0.0304748,1,,,1.0,,,8.0,4.0,1.0,2.0,,,2.0,,2.0,4.0,,,1.0,,,,2.0,0.0291,0.1165,,3.0,,,,,,,,,
11396407,home,FC Bayern München,Konrad Laimer,konrad-laimer,K. Laimer,D,27,180,7452,M,KonradLaimer,355492,EUR,864691200,M,27,27,False,,59.0,57.0,1.0,1.0,19.0,19.0,38.0,40.0,5.0,,,77.0,68.0,7.6,4.0,0.68292,0,,1.0,,,1.0,4.0,3.0,1.0,,,1.0,1.0,,1.0,1.0,2.0,,,,1.0,,2.0,,,1.0,,1.0,,,,,,,,
11396407,home,FC Bayern München,Joshua Kimmich,joshua-kimmich,J. Kimmich,M,6,176,42486,M,Jok_32,259117,EUR,792201600,M,6,6,False,,2.0,2.0,,,1.0,1.0,1.0,1.0,,,,4.0,3.0,3.0,1.0,0.00035752,0,,,,,,3.0,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,
11396407,home,FC Bayern München,Kingsley Coman,kingsley-coman,K. Coman,M,21,178,32905,M,KingComan,280441,EUR,834624000,M,11,11,False,,28.0,25.0,,,8.0,8.0,18.0,24.0,6.0,,,65.0,44.0,7.4,9.0,0.134039,2,,1.0,4.0,1.0,,2.0,6.0,,5.0,3.0,1.0,,,1.0,3.0,2.0,1.0,,1.0,,,,0.4295,,,,,,,1.0,,,,,
11396407,home,FC Bayern München,Jamal Musiala,jamal-musiala,J. Musiala,M,10,184,116690,M,Bambi,1010231,EUR,1046217600,M,42,42,False,,38.0,35.0,,,4.0,4.0,31.0,35.0,4.0,,,77.0,52.0,9.3,7.0,0.389364,3,,,1.0,,,6.0,3.0,2.0,2.0,1.0,2.0,,1.0,1.0,1.0,3.0,1.0,2.0,,1.0,,2.0,0.582,1.1358,1.0,,,,,1.0,2.0,,,,
11396407,home,FC Bayern München,Leroy Sané,leroy-sane,L. Sané,M,10,184,41295,M,LeroySane,293519,EUR,821318400,M,10,10,False,,37.0,33.0,,,4.0,4.0,32.0,41.0,3.0,,,90.0,66.0,9.9,16.0,0.873105,5,,1.0,8.0,3.0,,7.0,4.0,,7.0,2.0,3.0,,,1.0,1.0,6.0,1.0,3.0,1.0,1.0,,2.0,1.1848,1.6083,,,,,,1.0,2.0,1.0,,,
