match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_keyPass,captain,stat_totalCross,stat_aerialWon,stat_shotOffTarget,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_accurateCross,stat_challengeLost,stat_wasFouled,stat_dispossessed,stat_outfielderBlock,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_bigChanceCreated,stat_lastManTackle,stat_goodHighClaim,stat_errorLeadToAShot
12513731,home,CF Estrela Amadora,João Costa,,,joao-costa,J. Costa,G,24,185,455,M,788365,EUR,823219200,G,24,24,False,17.0,13.0,10.0,6.0,0.0,8.0,9.0,5.0,8.0,1.0,8.0,1.0,1.0,2.0,2.0,90.0,24.0,7.1,4.0,0.00263185,0,0.2153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12513731,home,CF Estrela Amadora,Ferro,,,ferro,Ferro,D,4,193,693,M,357734,EUR,859334400,D,4,4,False,51.0,35.0,10.0,3.0,0.0,26.0,31.0,9.0,20.0,3.0,2.0,,,,,80.0,58.0,6.9,16.0,0.0942117,0,,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12513731,home,CF Estrela Amadora,Miguel Lopes,,,miguel-lopes,M. Lopes,D,13,182,63,M,41651,EUR,535334400,D,13,13,False,43.0,36.0,5.0,2.0,0.0,28.0,34.0,8.0,10.0,7.0,7.0,,,,,90.0,64.0,7.4,11.0,0.00510563,1,,1.0,3.0,6.0,,,4.0,2.0,,True,1.0,2.0,1.0,2.0,3.0,2.0,0.1519,,,,,,,,,,,,,,
12513731,home,CF Estrela Amadora,Rúben Lima,,,ruben-lima,R. Lima,D,,176,41,M,59772,EUR,623376000,D,28,28,False,61.0,45.0,14.0,5.0,0.0,22.0,26.0,24.0,37.0,5.0,4.0,,,,,90.0,75.0,7.0,21.0,0.101343,0,,1.0,3.0,5.0,2.0,,1.0,,1.0,,2.0,4.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,
12513731,home,CF Estrela Amadora,Diogo Travassos,,,diogo-travassos,D. Travassos,D,2,175,511,M,1142578,EUR,1080691200,M,2,2,False,35.0,25.0,2.0,,0.0,10.0,12.0,17.0,33.0,,3.0,,,,,90.0,77.0,6.7,27.0,0.0829524,0,,,4.0,5.0,6.0,3.0,,,1.0,,10.0,1.0,,1.0,2.0,,,2.0,1.0,1.0,,,,,,,,,,,
12513731,home,CF Estrela Amadora,Paulo Moreira,Paulo,Moreira,paulo-daniel-valente-moreira,P. Moreira,M,19,176,52,M,1090646,EUR,950745600,M,19,19,False,30.0,24.0,,,0.0,11.0,13.0,13.0,18.0,,3.0,,,,,90.0,47.0,6.8,10.0,0.0389151,0,,3.0,6.0,7.0,2.0,1.0,3.0,,,,1.0,,,1.0,1.0,,,,1.0,3.0,1.0,1.0,,,,,,,,,
12513731,home,CF Estrela Amadora,Amine Oudrhiri,,,amine-oudrhiri,A. Oudrhiri,M,95,184,104,M,374560,EUR,720835200,M,12,12,False,26.0,23.0,2.0,1.0,0.0,10.0,10.0,13.0,16.0,,3.0,,,,,55.0,37.0,6.4,8.0,0.0111891,1,,,7.0,4.0,2.0,,3.0,2.0,,,,,,1.0,2.0,1.0,0.0885,,3.0,1.0,1.0,,1.0,,,,,,,,
12513731,home,CF Estrela Amadora,Nilton Varela,,,nilton-varela,N. Varela,M,75,182,76,M,998414,EUR,990748800,M,25,25,False,20.0,15.0,1.0,,0.0,6.0,8.0,10.0,14.0,1.0,3.0,,,,,90.0,42.0,7.0,11.0,0.342135,1,,1.0,3.0,8.0,2.0,1.0,1.0,1.0,2.0,,2.0,2.0,,,1.0,1.0,0.0218,1.0,,4.0,,,1.0,,,,,,,,
12513731,home,CF Estrela Amadora,Rodrigo Pinho,,,rodrigo-pinho,Rodrigo Pinho,F,9,185,213,M,801339,EUR,675561600,F,9,9,False,20.0,10.0,1.0,1.0,0.0,3.0,6.0,7.0,14.0,1.0,1.0,,,,,70.0,28.0,6.9,12.0,0.00802906,2,,2.0,5.0,5.0,,,1.0,,,,,3.0,,,1.0,3.0,0.463,,,1.0,1.0,,1.0,1.0,1.0,0.3028,,,,,
12513731,home,CF Estrela Amadora,Chico Banza,,,banza-chico,C. Banza,F,32,177,6912,M,929957,EUR,913852800,F,17,17,False,12.0,10.0,,,0.0,2.0,2.0,8.0,10.0,2.0,2.0,,,,,79.0,32.0,6.8,12.0,0.00543508,3,,6.0,14.0,4.0,3.0,1.0,1.0,1.0,1.0,,,1.0,2.0,,4.0,3.0,0.2061,,1.0,1.0,3.0,,,,1.0,0.2736,1.0,,,,
