match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,captain,stat_totalTackle,stat_wonTackle,stat_aerialWon,stat_errorLeadToAGoal,stat_aerialLost,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_challengeLost,stat_accurateCross,stat_goals,stat_totalOffside,stat_lastManTackle
14053765,home,PSV Eindhoven,Matěj Kovář,,,matej-kovar,M. Kovář,G,32,196.0,2094,M,927366,EUR,958521600,G,32,32,False,50.0,39.0,18.0,7.0,0.0,35.0,37.0,4.0,13.0,2.0,8.0,1.0,1.0,1.0,1.0,90.0,58.0,6.8,11.0,0.00361117,0.077,0,-0.1329,0.12,0.05,-0.02,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053765,home,PSV Eindhoven,Sergiño Dest,,,sergino-dest,S. Dest,D,8,173.0,6149,M,906021,EUR,973209600,D,8,8,False,63.0,57.0,2.0,1.0,0.0,30.0,31.0,27.0,32.0,2.0,7.0,,,,,90.0,86.0,8.4,11.0,0.486517,,1,,1.0,0.47,-0.1,,sergino,2.0,3.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0312,0.0626,3.0,-0.36,,,,,,,,,,,,,,
14053765,home,PSV Eindhoven,Jerdy Schouten,,,jerdy-schouten,J. Schouten,M,22,185.0,1247,M,844234,EUR,853027200,D,22,22,False,78.0,68.0,5.0,4.0,0.0,43.0,46.0,25.0,32.0,,8.0,,,,,90.0,86.0,7.0,10.0,0.0400012,,0,,0.29,0.17,-0.17,,,,1.0,3.0,,1.0,1.0,,,,2.0,,1.0,1.0,,,,,True,1.0,1.0,,,,,,,,,,,
14053765,home,PSV Eindhoven,Yarek Gasiorowski,Yarek Gasiorowski,,gasiorowski-yarek,Y. Gasiorowski,D,3,190.0,1668,M,1184317,EUR,1105488000,D,3,3,False,65.0,58.0,3.0,1.0,0.0,43.0,48.0,15.0,17.0,7.0,3.0,,,,,90.0,75.0,6.2,8.0,0.0122636,,0,,0.13,0.08,-0.51,,,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,
14053765,home,PSV Eindhoven,Anass Salah-Eddine,,,anass-salah-eddine,A. Salah-Eddine,D,2,179.0,6716,M,961684,EUR,1011312000,D,2,2,False,38.0,36.0,,,0.0,22.0,22.0,14.0,16.0,4.0,1.0,,,,,90.0,61.0,6.1,9.0,0.0146147,,2,,-0.17,0.29,-0.21,,,,1.0,3.0,,,,,,,2.0,6.0,1.0,,0.4158,,,-0.63,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,
14053765,home,PSV Eindhoven,Mauro Júnior,,,mauro-junior,M. Júnior,D,17,171.0,1141,M,893499,EUR,925948800,M,17,17,False,56.0,52.0,4.0,3.0,0.0,26.0,28.0,26.0,28.0,2.0,7.0,,,,,79.0,69.0,7.2,5.0,0.0699753,,1,,0.28,0.37,-0.03,,,,1.0,2.0,,,,,,,1.0,1.0,,1.0,0.0391,,3.0,-0.03,,2.0,1.0,,,,,1.0,,,,,,
14053765,home,PSV Eindhoven,Joey Veerman,,,joey-veerman,J. Veerman,M,23,185.0,3785,M,850816,EUR,911433600,M,23,23,False,62.0,55.0,3.0,3.0,0.0,18.0,18.0,37.0,44.0,1.0,5.0,,,,,90.0,82.0,8.5,13.0,0.508924,,3,,1.0,0.32,0.0,,,6.0,2.0,4.0,,,,,1.0,,2.0,,1.0,1.0,0.2616,0.1011,5.0,-0.53,,3.0,2.0,,,1.0,,1.0,1.0,,,,,
14053765,home,PSV Eindhoven,Dennis Man,,,dennis-man,D. Man,M,27,182.0,10418,M,812145,EUR,904089600,M,27,27,False,31.0,25.0,1.0,1.0,0.0,9.0,9.0,16.0,22.0,,7.0,,,,,79.0,44.0,6.5,8.0,0.0592127,,2,,-0.12,0.31,-0.17,,dennisman,,4.0,5.0,,,,,,,1.0,2.0,2.0,1.0,0.1485,,1.0,-0.53,,2.0,2.0,1.0,,,,2.0,,3.0,,,,
14053765,home,PSV Eindhoven,Ismael Saibari,,,ismael-saibari,I. Saibari,M,34,185.0,23473,M,1063767,EUR,980640000,M,34,34,False,31.0,29.0,1.0,,1.0,9.0,9.0,20.0,22.0,,2.0,,,,,71.0,44.0,7.0,8.0,0.529865,,0,,0.48,0.29,-0.04,,ismaelsaibari,,2.0,1.0,,2.0,,1.0,,,,4.0,1.0,,,,1.0,,,,,,,,,,,,,,,
14053765,home,PSV Eindhoven,Ivan Perišić,,,ivan-perisic,I. Perišić,M,5,187.0,17408,M,38710,EUR,602380800,M,5,5,False,35.0,24.0,3.0,2.0,0.0,13.0,15.0,11.0,20.0,3.0,5.0,,,,,90.0,54.0,7.5,15.0,0.284043,,4,,0.46,0.68,-0.06,,ivanperisic444,6.0,4.0,4.0,,3.0,3.0,1.0,2.0,,,,,1.0,0.289,0.1377,1.0,-0.54,,,,1.0,,2.0,,1.0,1.0,1.0,2.0,,,
