match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_shotOffTarget,stat_outfielderBlock,stat_keyPass,stat_interceptionWon,stat_wonTackle,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalOffside,stat_errorLeadToAShot,captain,stat_errorLeadToAGoal,stat_goodHighClaim,stat_clearanceOffLine,stat_hitWoodwork
12624999,home,Al-Khaleej,Ibrahim Šehić,ibrahim-sehic,I. Šehić,G,13,190.0,350,M,63952,EUR,589161600,G,23,23,False,30.0,25.0,11.0,6.0,0.0,23.0,27.0,2.0,3.0,4.0,10.0,2.0,3.0,3.0,90.0,43.0,7.7,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624999,home,Al-Khaleej,Saeed Al Hamsal,saeed-al-hamsal,S. A. Hamsal,D,39,176.0,21,M,818563,EUR,829785600,D,39,39,False,48.0,41.0,5.0,1.0,0.0,21.0,23.0,21.0,30.0,3.0,4.0,,,,90.0,75.0,6.6,19.0,0,5.0,1.0,2.0,1.0,10.0,6.0,4.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
12624999,home,Al-Khaleej,Marcel Tisserand,marcel-tisserand,M. Tisserand,D,32,190.0,461,M,338651,EUR,726624000,D,32,32,False,44.0,41.0,6.0,5.0,0.0,32.0,33.0,9.0,11.0,3.0,4.0,,,,90.0,53.0,7.3,3.0,1,,,1.0,4.0,4.0,4.0,,,,,,,,3.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,
12624999,home,Al-Khaleej,Mohammed Al-Khabrani,mohammed-al-khabrani,M. Al-Khabrani,D,3,178.0,21,M,818696,EUR,750556800,D,3,3,False,42.0,34.0,4.0,1.0,0.0,23.0,27.0,11.0,15.0,2.0,4.0,,,,90.0,57.0,7.6,13.0,0,,,,1.0,3.0,4.0,,2.0,1.0,,3.0,2.0,,,,,,1.0,1.0,3.0,3.0,,,,,,,,,,,,
12624999,home,Al-Khaleej,Pedro Rebocho,pedro-rebocho,P. Rebocho,D,5,172.0,204,M,190139,EUR,790819200,D,5,5,False,51.0,44.0,4.0,1.0,1.0,24.0,25.0,21.0,29.0,3.0,4.0,,,,90.0,71.0,8.0,9.0,1,3.0,1.0,1.0,,2.0,4.0,1.0,,1.0,1.0,2.0,,1.0,,,,,,3.0,1.0,,1.0,1.0,,,,,,,,,,
12624999,home,Al-Khaleej,Mansour Hamzi,mansour-hamzi,M. Hamzi,M,15,170.0,31,M,818581,EUR,738892800,M,15,15,False,18.0,16.0,3.0,2.0,0.0,8.0,8.0,8.0,11.0,,3.0,,,,67.0,30.0,7.2,4.0,0,1.0,,1.0,,2.0,6.0,,1.0,2.0,2.0,3.0,,1.0,,,,,,,2.0,2.0,,,,,,,,,,,,
12624999,home,Al-Khaleej,Dimitrios Kourbelis,dimitrios-kourbelis,D. Kourbelis,M,21,182.0,579,M,128089,EUR,752198400,M,21,21,False,53.0,49.0,8.0,7.0,0.0,18.0,19.0,31.0,34.0,1.0,4.0,,,,89.0,65.0,7.6,6.0,1,,,,,5.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,3.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,
12624999,home,Al-Khaleej,Khaled Narey,khaled-narey,K. Narey,M,7,180.0,366,M,190065,EUR,774921600,M,7,7,False,17.0,13.0,,,0.0,,4.0,14.0,17.0,1.0,5.0,,,,89.0,36.0,6.8,12.0,3,4.0,1.0,1.0,1.0,6.0,2.0,1.0,2.0,3.0,1.0,,1.0,,,,,1.0,,2.0,2.0,,,1.0,,1.0,1.0,1.0,,,,,,
12624999,home,Al-Khaleej,Kostas Fortounis,kostas-fortounis,K. Fortounis,M,10,183.0,2903,M,115577,EUR,719193600,M,17,17,False,50.0,40.0,9.0,6.0,1.0,10.0,11.0,34.0,56.0,,3.0,,,,90.0,87.0,7.4,30.0,3,17.0,4.0,,,7.0,6.0,2.0,2.0,5.0,2.0,,2.0,4.0,1.0,,,,1.0,4.0,,,1.0,2.0,,1.0,1.0,,1.0,,,,,
12624999,home,Al-Khaleej,Fábio Martins,fabio-martins,F. Martins,M,10,178.0,359,M,193064,EUR,743472000,M,10,10,False,37.0,31.0,3.0,2.0,0.0,13.0,15.0,18.0,25.0,,8.0,,,,89.0,60.0,7.6,11.0,4,3.0,,1.0,,4.0,4.0,,,4.0,3.0,1.0,,,3.0,,,4.0,,1.0,,1.0,,,,,,,,True,,,,
12624999,home,Al-Khaleej,Abdullah Al-Salem,abdullah-al-salem,A. Al-Salem,F,9,183.0,285,M,818674,EUR,724723200,F,11,11,False,8.0,6.0,1.0,,0.0,1.0,2.0,5.0,6.0,,2.0,,,,76.0,19.0,8.3,6.0,3,,,4.0,,9.0,1.0,,2.0,1.0,,1.0,1.0,,2.0,,,1.0,,1.0,1.0,1.0,,2.0,2.0,,,,,,,,,
12624999,home,Al-Khaleej,Khaled Al-Semeiry,khaled-al-semeiry,K. Al-Semeiry,M,88,170.0,35,M,857390,EUR,852076800,M,8,8,True,21.0,20.0,2.0,2.0,0.0,10.0,10.0,10.0,11.0,1.0,4.0,,,,23.0,24.0,6.8,1.0,0,,,1.0,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
12624999,home,Al-Khaleej,Saleh Abu Al-Shamat,saleh-aboulshamat,S. Aboulshamat,M,47,171.0,764,M,1429250,EUR,1029024000,M,47,47,True,9.0,6.0,1.0,,0.0,2.0,2.0,4.0,7.0,,1.0,,,,14.0,22.0,7.5,8.0,1,,,,,3.0,6.0,,,6.0,4.0,2.0,3.0,,1.0,Saleh Aboulshamat,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,
12624999,home,Al-Khaleej,Murad Al Hawsawi,murad-al-hawsawi,M. A. Hawsawi,M,18,180.0,332,M,1549082,EUR,991440000,M,18,18,True,3.0,3.0,,,0.0,2.0,2.0,1.0,1.0,1.0,,,,,9.0,8.0,6.6,1.0,0,,,,,2.0,2.0,1.0,,,,2.0,1.0,,1.0,Murad Al Hawsawi,,,,,,1.0,,,,,,,,,,,,
12624999,home,Al-Khaleej,Mohammed Al Abdullah,mohammed-al-abdullah,M. A. Abdullah,M,19,,3,M,1398849,EUR,1026518400,M,19,19,True,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,9.0,2.0,6.9,,1,,,,,,,,,,,,,,,Mohammed Al Abdullah,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,
12624999,home,Al-Khaleej,Hisham Al-Dubais,al-dubais-hisham,H. Al-Dubais,F,77,175.0,35,M,1653046,EUR,1001462400,M,77,77,True,1.0,1.0,,,0.0,,,1.0,1.0,,1.0,,,,9.0,3.0,7.4,1.0,1,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,
12624999,home,Al-Khaleej,Marwan Al-Haidari,marwan-al-haidari,M. Al-Haidari,G,96,191.0,32,M,832497,EUR,829267200,G,96,96,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624999,home,Al-Khaleej,Bandar Al Mutairi,bandar-al-mutairi,B. A. Mutairi,D,33,168.0,13,M,847483,EUR,637372800,D,33,33,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624999,home,Al-Khaleej,Arif Al-Haydar,arif-al-haydar,A. Al-Haydar,D,25,172.0,6,M,1084262,EUR,866764800,D,25,25,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Arif Al-Haydar,,,,,,,,,,,,,,,,,,
12624999,home,Al-Khaleej,Ali Al Shaafi,ali-al-shaafi,A. A. Shaafi,D,94,178.0,8,M,1521166,EUR,1010793600,D,14,14,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Ali Al Shaafi,,,,,,,,,,,,,,,,,,
12624999,away,Al Raed,Mshari Sanyoor,mshari-sanyoor,M. Sanyoor,G,50,181.0,64,M,972698,EUR,1007510400,G,50,50,False,34.0,25.0,16.0,8.0,0.0,23.0,27.0,2.0,7.0,1.0,6.0,2.0,3.0,,90.0,47.0,5.8,10.0,0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,
12624999,away,Al Raed,Mohammed Al-Dosari,mohammed-al-dosari,M. Al-Dosari,D,32,,12,M,970908,EUR,931651200,D,32,32,False,37.0,29.0,5.0,3.0,0.0,12.0,16.0,19.0,24.0,2.0,9.0,,,,89.0,58.0,6.6,9.0,0,3.0,2.0,,,,7.0,,,,,6.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,
12624999,away,Al Raed,Abdullah Hazazi,abdullah-hazazi,A. Hazazi,D,4,182.0,6,M,1548473,EUR,801792000,D,4,4,False,44.0,32.0,5.0,2.0,0.0,24.0,31.0,8.0,13.0,3.0,4.0,,,,90.0,59.0,6.5,13.0,0,,,,2.0,3.0,8.0,2.0,,1.0,1.0,3.0,,2.0,1.0,Abdullah Hazazi,,,1.0,,2.0,2.0,,,,,,,,,,,,
12624999,away,Al Raed,Ayoub Qasmi,qasmi-ayoub,A. Qasmi,D,16,178.0,88,M,919697,EUR,748396800,D,16,16,False,44.0,38.0,7.0,3.0,0.0,33.0,35.0,5.0,9.0,8.0,1.0,,,,90.0,59.0,6.9,6.0,0,,,,,2.0,3.0,2.0,,,,3.0,,,,,,,1.0,,2.0,1.0,,,,,,1.0,,,,,1.0,
12624999,away,Al Raed,Abdullah Al Yousif,abdullah-al-yousif,A. A. Yousif,D,13,175.0,9,M,892897,EUR,878083200,D,13,13,False,21.0,21.0,,,0.0,15.0,15.0,6.0,6.0,5.0,5.0,,,,90.0,40.0,6.4,3.0,0,,,,2.0,3.0,5.0,1.0,1.0,,,3.0,1.0,,1.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,
