match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_totalCross,stat_challengeLost,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,player_firstName,player_lastName,stat_punches
12499749,home,Bayer 04 Leverkusen,Lukáš Hrádecký,lukas-hradecky,L. Hrádecký,G,1,190,2547,M,15219,EUR,627868800,G,1,1,False,True,33.0,20.0,21.0,8.0,0.0,13.0,17.0,7.0,16.0,1.0,1.0,6.0,5.0,6.0,90.0,42.0,7.6,13.0,0.00221928,0,1.0085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499749,home,Bayer 04 Leverkusen,Edmond Tapsoba,edmond-tapsoba,E. Tapsoba,D,12,193,33838,M,883262,EUR,917913600,D,12,12,False,,65.0,52.0,10.0,3.0,0.0,23.0,27.0,29.0,38.0,1.0,4.0,4.0,,,90.0,79.0,6.9,16.0,0.0532558,0,,edmondtapsoba,3.0,5.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,
12499749,home,Bayer 04 Leverkusen,Jonathan Tah,jonathan-tah,J. Tah,D,4,194,9454,M,227672,EUR,823996800,D,4,4,False,,45.0,42.0,2.0,2.0,0.0,31.0,32.0,11.0,13.0,,,6.0,,,90.0,54.0,6.8,3.0,0.0713031,0,,jonatah,3.0,3.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
12499749,home,Bayer 04 Leverkusen,Piero Hincapié,piero-hincapie,P. Hincapié,D,5,184,31047,M,1002837,EUR,1010534400,D,3,3,False,,50.0,49.0,2.0,2.0,0.0,31.0,32.0,18.0,19.0,,2.0,2.0,,,90.0,66.0,7.3,5.0,0.0182069,1,,pierohincapie,3.0,8.0,1.0,,,2.0,,,,1.0,1.0,1.0,4.0,3.0,1.0,1.0,0.0155,1.0,,,,,,,,,,,
12499749,home,Bayer 04 Leverkusen,Jeremie Frimpong,jeremie-frimpong,J. Frimpong,M,30,171,32709,M,970361,EUR,976406400,M,30,30,False,,23.0,22.0,,,0.0,10.0,10.0,12.0,18.0,,1.0,,,,84.0,45.0,7.5,11.0,0.0982602,2,,jeremie_frimpong,,5.0,1.0,2.0,2.0,,,,,5.0,,,2.0,1.0,1.0,1.0,0.8338,,1.0,2.0,1.0,1.2948,,,,,,,
12499749,home,Bayer 04 Leverkusen,Aleix García,aleix-garcia,A. García,M,24,173,4597,M,796047,EUR,867456000,M,24,24,False,,67.0,61.0,11.0,11.0,1.0,28.0,30.0,34.0,40.0,,2.0,7.0,,,90.0,81.0,7.7,10.0,0.145432,0,,AlexGarcia97,,1.0,,1.0,,3.0,,,1.0,3.0,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,
12499749,home,Bayer 04 Leverkusen,Granit Xhaka,granit-xhaka,G. Xhaka,M,34,185,15706,M,117777,EUR,717552000,M,34,34,False,,68.0,66.0,6.0,5.0,0.0,27.0,28.0,39.0,40.0,1.0,4.0,3.0,,,90.0,79.0,7.3,3.0,0.0816001,0,,Granit_Xhaka,2.0,5.0,,,,4.0,,1.0,2.0,,1.0,,2.0,2.0,,1.0,,1.0,,,,,,,,,,,
12499749,home,Bayer 04 Leverkusen,Alejandro Grimaldo,alejandro-grimaldo,A. Grimaldo,M,20,171,13099,M,177177,EUR,811555200,M,20,20,False,,50.0,43.0,2.0,1.0,1.0,19.0,19.0,24.0,32.0,,1.0,7.0,,,61.0,57.0,6.5,11.0,0.138037,0,,grimaldo35,,,,,,,,,1.0,1.0,,,,,3.0,,,2.0,,,,,,,,,,,
12499749,home,Bayer 04 Leverkusen,Nathan Tella,nathan-tella,N. Tella,M,23,173,3098,M,920379,EUR,931132800,F,19,19,False,,11.0,10.0,,,0.0,3.0,3.0,7.0,9.0,,2.0,1.0,,,42.0,22.0,6.7,4.0,0.0174443,1,,,,2.0,,3.0,2.0,,,,,1.0,1.0,,,,1.0,,0.2012,,,,,,,,1.0,1.0,,,
12499749,home,Bayer 04 Leverkusen,Florian Wirtz,florian-wirtz,F. Wirtz,F,7,175,148971,M,1019322,EUR,1051920000,F,10,10,False,,41.0,34.0,,,0.0,14.0,15.0,20.0,26.0,,3.0,,,,84.0,56.0,7.5,10.0,0.0632993,1,,FWirtz,,9.0,,5.0,4.0,,,,2.0,,,,2.0,2.0,2.0,3.0,0.06,1.0,,,,,,1.0,1.0,,,,
