match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_fouls,stat_keyPass,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_expectedGoals,stat_shotValueNormalized,captain,stat_wonTackle,stat_totalContest,stat_unsuccessfulTouch,stat_wasFouled,stat_blockedScoringAttempt,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_totalOffside,stat_errorLeadToAShot,stat_goodHighClaim,stat_punches,stat_goals,stat_bigChanceCreated,stat_bigChanceMissed
14053677,home,FC Utrecht,Vasilis Barkas,,,vasilis-barkas,V. Barkas,G,1,196.0,389,M,347726,EUR,770256000,G,1,1,False,21.0,12.0,9.0,1.0,0.0,11.0,15.0,1.0,6.0,2.0,5.0,4.0,4.0,2.0,2.0,45.0,29.0,7.4,9.0,0.0010982,0.9828,0,0.9758,0.01,-0.13,0.21,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053677,home,FC Utrecht,Siebe Horemans,,,siebe-horemans,S. Horemans,D,2,186.0,205,M,794990,EUR,896745600,D,2,2,False,39.0,31.0,4.0,3.0,0.0,24.0,29.0,7.0,10.0,2.0,5.0,,,,,90.0,57.0,6.7,13.0,0.128103,,0,,0.27,0.02,-0.2,,4.0,1.0,1.0,4.0,3.0,4.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14053677,home,FC Utrecht,Mike van der Hoorn,,,mike-van-der-hoorn,M. v. d. Hoorn,D,3,190.0,160,M,152414,EUR,719107200,D,3,3,False,43.0,28.0,10.0,3.0,0.0,21.0,28.0,7.0,15.0,6.0,2.0,,,,,90.0,56.0,6.9,16.0,0.0152002,,1,,0.02,0.01,0.23,,,,1.0,6.0,3.0,7.0,1.0,2.0,,,1.0,1.0,2.0,1.0,0.1365,-0.37,,,,,,,,,,,,,,,,,
14053677,home,FC Utrecht,Nick Viergever,,,nick-viergever,N. Viergever,D,24,182.0,150,M,46900,EUR,618105600,D,24,24,False,45.0,35.0,4.0,2.0,0.0,30.0,37.0,5.0,8.0,1.0,2.0,,,,,76.0,49.0,6.4,10.0,0.00301698,,0,,0.05,-0.01,-0.09,,,,5.0,4.0,6.0,5.0,,,1.0,,,,1.0,1.0,,,True,1.0,,,,,,,,,,,,,,,
14053677,home,FC Utrecht,Souffian El Karouani,,,souffian-el-karouani,S. El Karouani,D,16,178.0,3591,M,991679,EUR,971913600,D,16,16,False,28.0,19.0,5.0,1.0,0.0,12.0,14.0,7.0,14.0,3.0,4.0,,,,,90.0,64.0,7.1,22.0,0.313151,,0,,0.51,0.09,-0.23,,11.0,5.0,2.0,2.0,8.0,7.0,3.0,,1.0,6.0,1.0,,,2.0,,,,2.0,1.0,3.0,3.0,,,,,,,,,,,,
14053677,home,FC Utrecht,Davy van den Berg,,,davy-van-den-berg,D. v. d. Berg,M,6,185.0,272,M,1001468,EUR,949622400,M,6,6,False,11.0,9.0,,,0.0,4.0,5.0,5.0,6.0,1.0,1.0,,,,,45.0,16.0,6.8,4.0,0.00714831,,0,,0.02,0.02,0.13,,,,,1.0,1.0,3.0,,,,,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,
14053677,home,FC Utrecht,Alonzo Engwanda,,,alonzo-engwanda,A. Engwanda,M,27,173.0,362,M,1000548,EUR,1043625600,M,27,27,False,34.0,27.0,4.0,2.0,0.0,21.0,24.0,6.0,10.0,4.0,5.0,,,,,90.0,48.0,7.0,10.0,0.0194173,,0,,0.08,0.12,0.18,,,,,2.0,1.0,5.0,,2.0,1.0,1.0,,,,3.0,,,,2.0,,3.0,,,,,,,,,,,,,
14053677,home,FC Utrecht,Gjivai Zechiël,,,gjivai-zechiel,G. Zechiël,M,21,179.0,684,M,1433802,EUR,1086048000,M,21,21,False,34.0,28.0,4.0,1.0,0.0,12.0,12.0,16.0,22.0,1.0,7.0,,,,,90.0,47.0,6.8,9.0,0.0304709,,1,,0.17,0.01,-0.06,,,,,1.0,4.0,3.0,2.0,2.0,,1.0,1.0,,1.0,,0.0383,0.01,,,1.0,,2.0,1.0,,,,,,,,,,,
14053677,home,FC Utrecht,Miguel Rodríguez,,,miguel-rodriguez,M. Rodríguez,M,22,179.0,653,M,1014118,EUR,1051574400,F,22,22,False,19.0,16.0,2.0,1.0,0.0,6.0,7.0,10.0,12.0,,6.0,,,,,76.0,43.0,6.9,9.0,0.222741,,2,,0.36,0.11,-0.07,,1.0,1.0,1.0,1.0,9.0,6.0,2.0,1.0,1.0,1.0,2.0,,,2.0,0.0608,0.01,,1.0,4.0,1.0,2.0,,1.0,2.0,0.0233,,,,,,,,
14053677,home,FC Utrecht,David Min,,,david-min,D. Min,F,9,194.0,359,M,966429,EUR,930096000,F,9,9,False,19.0,12.0,1.0,1.0,0.0,4.0,4.0,8.0,15.0,,3.0,,,,,90.0,31.0,5.7,13.0,0.00568881,,4,,-0.22,0.11,-0.04,,,,7.0,2.0,12.0,4.0,1.0,,1.0,,2.0,3.0,,,0.3862,-0.61,,,1.0,2.0,2.0,1.0,,,,,,,,,,,
