match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_totalTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_dispossessed,stat_bigChanceCreated,stat_interceptionWon,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_errorLeadToAShot,stat_penaltyConceded,stat_accurateCross,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalOffside,stat_hitWoodwork,player_sofascoreId,stat_goodHighClaim,stat_outfielderBlock,stat_penaltyWon
13981528,home,Parma,Zion Suzuki,,,zion-suzuki,Z. Suzuki,G,31,189.0,4904,M,905351,EUR,1029888000,G,31,31,False,20.0,13.0,13.0,6.0,0.0,10.0,11.0,3.0,9.0,1.0,1.0,5.0,1.0,1.0,3.0,90.0,26.0,6.6,7.0,0.0025026,0.2793,0,-0.5794,0.03,0.0,-0.23,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981528,home,Parma,Enrico Del Prato,,,enrico-del-prato,E. Del Prato,D,15,183.0,860,M,928103,EUR,942192000,D,15,15,False,51.0,47.0,4.0,2.0,0.0,38.0,39.0,9.0,12.0,4.0,,,,,,90.0,65.0,7.5,6.0,0.00430734,,4,,0.03,0.37,-0.37,,True,1.0,3.0,3.0,5.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.2458,1.0384,0.47,,,,,,,,,,,,,,,,,,
13981528,home,Parma,Lautaro Valenti,,,lautaro-valenti,L. Valenti,D,5,188.0,629,M,958517,EUR,916272000,D,5,5,False,65.0,58.0,4.0,1.0,0.0,48.0,49.0,10.0,16.0,3.0,,1.0,,,,90.0,92.0,7.2,14.0,0.119562,,0,,0.04,0.12,0.21,,,1.0,1.0,2.0,4.0,,,,,9.0,2.0,,1.0,,,,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,
13981528,home,Parma,Abdoulaye Ndiaye,,,abdoulaye-ndiaye,A. Ndiaye,D,3,195.0,1264,M,984527,EUR,1018396800,D,3,3,False,38.0,33.0,1.0,1.0,0.0,23.0,27.0,10.0,11.0,2.0,,1.0,,,,45.0,46.0,5.6,7.0,0.00362608,,2,,0.05,0.04,-0.83,,,,,2.0,3.0,,2.0,,,2.0,1.0,,2.0,0.0213,,-0.06,,,,1.0,2.0,,1.0,1.0,,,,,,,,,,
13981528,home,Parma,Sascha Britschgi,,,sascha-britschgi,S. Britschgi,D,27,182.0,440,M,1963449,EUR,1156636800,M,27,27,False,31.0,24.0,,,2.0,10.0,13.0,14.0,18.0,2.0,,3.0,,,,90.0,43.0,7.1,14.0,0.326875,,0,,0.33,0.07,-0.16,,,6.0,,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,1.0,3.0,,,2.0,1.0,,,,,,,,
13981528,home,Parma,Adrián Bernabé,,,adrian-bernabe,A. Bernabé,M,10,170.0,2308,M,934384,EUR,990835200,M,10,10,False,47.0,42.0,,,0.0,22.0,22.0,20.0,25.0,1.0,,1.0,,,,81.0,62.0,7.6,11.0,0.0713116,,2,,0.17,0.17,-0.1,,,5.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,0.3326,0.7425,0.51,,,,,2.0,1.0,,,2.0,1.0,,,,,,,,
13981528,home,Parma,Mandela Keita,Mandela Keita,,mandela-keita,M. Keita,M,16,180.0,1230,M,1110136,EUR,1020988800,M,16,16,False,51.0,47.0,2.0,1.0,0.0,31.0,33.0,16.0,18.0,2.0,,7.0,,,,90.0,62.0,6.8,6.0,0.00953073,,1,,-0.05,0.18,-0.05,,,,,,4.0,,1.0,,,1.0,1.0,1.0,2.0,0.0148,,0.01,1.0,,1.0,1.0,1.0,1.0,,,,2.0,2.0,,,,,,,
13981528,home,Parma,Oliver Sørensen,,,oliver-sorensen,O. Sørensen,M,22,184.0,646,M,957921,EUR,1015718400,M,22,22,False,23.0,21.0,3.0,1.0,0.0,7.0,9.0,14.0,14.0,3.0,,5.0,,,,90.0,35.0,6.4,6.0,0.00849522,,1,,0.0,0.01,-0.06,,,2.0,2.0,1.0,2.0,,,,,2.0,,1.0,1.0,0.0607,,-0.08,,,1.0,,1.0,,,,,,,1.0,,,,,,
13981528,home,Parma,Mathias Løvik,,,lovik-mathias-fjortoft,M. F. Løvik,M,14,183.0,457,M,1133715,EUR,1070668800,M,18,18,False,21.0,15.0,2.0,,0.0,7.0,8.0,8.0,13.0,3.0,1.0,1.0,,,,68.0,37.0,6.2,12.0,0.00675456,,0,,-0.08,0.09,-0.16,,,4.0,1.0,,2.0,,,,,,2.0,,,,,,,,2.0,1.0,2.0,,,,1.0,1.0,,,,,,,,
13981528,home,Parma,Patrick Cutrone,,,patrick-cutrone,P. Cutrone,F,10,183.0,2328,M,795044,EUR,883785600,F,32,32,False,22.0,17.0,,,0.0,6.0,6.0,11.0,16.0,3.0,,1.0,,,,89.0,37.0,7.0,10.0,0.141525,,2,,0.3,0.12,0.19,,,1.0,1.0,2.0,4.0,,,,,2.0,,2.0,1.0,0.1466,,-0.29,,2.0,,,3.0,2.0,,,,1.0,,2.0,2.0,,,,,
