match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_totalContest,stat_wonContest,captain,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,stat_lastManTackle
12117176,home,Vitória,Lucas Arcanjo,lucas-arcanjo,L. Arcanjo,G,1,190.0,811,M,982558,EUR,902534400,G,1,1,False,27.0,19.0,12.0,4.0,0.0,17.0,17.0,2.0,10.0,1.0,2.0,12.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,90.0,40.0,7.4,8.0,0.00031981,0,0.2397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117176,home,Vitória,Raúl Cáceres,raul-caceres,R. Cáceres,D,27,180.0,356,M,122971,EUR,685152000,D,27,27,False,27.0,20.0,2.0,,0.0,12.0,15.0,10.0,16.0,6.0,,2.0,1.0,,,,,,,82.0,45.0,6.7,12.0,0.0394385,0,,,,4.0,2.0,1.0,6.0,2.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
12117176,home,Vitória,Neris,neris,Neris,D,77,190.0,332,M,840247,EUR,708739200,D,77,77,False,58.0,53.0,11.0,7.0,0.0,30.0,31.0,23.0,27.0,5.0,,5.0,,,,,,,,90.0,66.0,7.3,6.0,0.00716732,0,,,,,,1.0,3.0,2.0,,1.0,3.0,2.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,
12117176,home,Vitória,Wagner Leonardo,wagner-leonardo,W. Leonardo,D,3,186.0,1490,M,976235,EUR,932688000,D,4,4,False,45.0,40.0,9.0,6.0,0.0,26.0,27.0,14.0,18.0,4.0,5.0,5.0,,,,,,,,90.0,58.0,8.1,5.0,0.0042465,2,,,,,,3.0,4.0,,,3.0,1.0,,,1.0,,2.0,1.0,1.0,True,1.0,1.0,1.0,0.615,0.2885,,,,,,,
12117176,home,Vitória,Patric Calmon,patric-calmon,P. Calmon,D,94,181.0,131,M,987168,EUR,773366400,D,14,14,False,29.0,24.0,1.0,1.0,0.0,14.0,15.0,12.0,22.0,9.0,5.0,2.0,1.0,,,,,,,90.0,66.0,8.0,16.0,0.137367,1,,,,8.0,2.0,,3.0,,1.0,4.0,3.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,,,,,0.0433,,1.0,2.0,1.0,,,,
12117176,home,Vitória,Willian Oliveira,willian-oliveira,W. Oliveira,M,29,179.0,410,M,295167,EUR,737510400,M,29,29,False,28.0,26.0,2.0,2.0,0.0,14.0,15.0,12.0,13.0,6.0,,5.0,3.0,,,,,,,90.0,41.0,7.4,3.0,0.0149943,2,,,,,,4.0,4.0,,,1.0,2.0,,1.0,,1.0,1.0,,,,1.0,,,0.2306,,1.0,,,1.0,,,
12117176,home,Vitória,Luan Santos,luan-santos,Luan,M,33,173.0,2976,M,942426,EUR,926640000,M,8,8,False,27.0,27.0,2.0,2.0,0.0,14.0,14.0,13.0,13.0,2.0,,,1.0,,,,,,,61.0,34.0,6.7,1.0,0.00646494,2,,,,,,2.0,5.0,,,,,,1.0,3.0,1.0,1.0,,,,1.0,,,0.0619,,1.0,,,,,,
12117176,home,Vitória,Ricardo Ryller,ricardo-ryller,R. Ryller,M,28,176.0,231,M,870943,EUR,762307200,M,28,28,False,25.0,20.0,1.0,,0.0,7.0,9.0,14.0,18.0,5.0,,4.0,4.0,,,,,,,61.0,37.0,6.6,8.0,0.0724805,0,,,,2.0,1.0,1.0,5.0,1.0,1.0,,,,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,
12117176,home,Vitória,Matheuzinho,matheuzinho,Matheuzinho,M,10,165.0,1521,M,795266,EUR,877132800,F,30,30,False,30.0,27.0,2.0,2.0,0.0,11.0,11.0,16.0,23.0,5.0,1.0,2.0,3.0,,,,,,,90.0,54.0,6.8,12.0,0.0613845,3,,,,4.0,,2.0,11.0,2.0,4.0,1.0,,,,3.0,2.0,,3.0,2.0,,2.0,1.0,,0.3558,0.2261,,,,,1.0,,
12117176,home,Vitória,Janderson,janderson,Janderson,F,39,189.0,658,M,1462989,EUR,925948800,F,39,39,False,8.0,7.0,,,0.0,4.0,4.0,3.0,4.0,1.0,2.0,1.0,,,,,,,,61.0,18.0,6.3,7.0,0.0429748,1,,Janderson,,,,5.0,10.0,,3.0,,1.0,,2.0,2.0,,,,,,,,,0.0769,,1.0,,,,,,
