match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_totalContest,stat_wonContest,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_shotOffTarget,stat_expectedGoals,stat_keyPass,player_sofascoreId,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_wasFouled,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goalAssist,captain,stat_goals,stat_goodHighClaim,stat_blockedScoringAttempt,stat_totalOffside
11391402,home,AS Monaco,Philipp Köhn,,,philipp-kohn,P. Köhn,G,16,191,698,M,868964,EUR,891475200,G,16,16,False,25.0,23.0,4.0,3.0,22.0,24.0,1.0,1.0,1.0,8.0,1.0,2.0,1.0,1.0,1.0,90.0,35.0,6.3,2.0,0.00013073,0,-0.5302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391402,home,AS Monaco,Soungoutou Magassa,Soungoutou Magassa,,soungoutou-magassa,S. Magassa,M,27,188,1742,M,1170560,EUR,1065571200,D,88,88,False,79.0,71.0,6.0,2.0,35.0,38.0,36.0,41.0,,8.0,,,,,,90.0,88.0,6.2,10.0,0.0160982,0,,1.0,6.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
11391402,home,AS Monaco,Guillermo Maripán,,,guillermo-maripan,G. Maripán,D,13,193,2139,M,339909,EUR,768182400,D,3,3,False,74.0,68.0,4.0,2.0,52.0,54.0,16.0,20.0,2.0,6.0,,,,,,90.0,81.0,6.3,6.0,0.0121718,0,,1.0,4.0,2.0,2.0,,2.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
11391402,home,AS Monaco,Thilo Kehrer,,,thilo-kehrer,T. Kehrer,D,5,186,1925,M,281277,EUR,843264000,D,5,5,False,75.0,62.0,10.0,5.0,28.0,35.0,34.0,40.0,3.0,3.0,,,,,,90.0,91.0,7.0,14.0,0.0233401,0,,1.0,5.0,6.0,2.0,,3.0,2.0,2.0,,1.0,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,
11391402,home,AS Monaco,Vanderson,Vanderson,,vanderson,Vanderson,D,2,173,6111,M,1090694,EUR,993081600,M,2,2,False,54.0,43.0,5.0,3.0,20.0,22.0,25.0,38.0,2.0,6.0,,,,,,90.0,90.0,6.7,24.0,0.192101,1,,,8.0,4.0,4.0,,,4.0,3.0,,5.0,1.0,,2.0,,6.0,2.0,1.0,1.0,0.0193,2.0,,,,,,,,,,,,
11391402,home,AS Monaco,Youssouf Fofana,,,youssouf-fofana,Y. Fofana,M,19,185,6182,M,945062,EUR,915926400,M,19,19,False,37.0,28.0,8.0,6.0,7.0,9.0,21.0,28.0,,4.0,,,,,,72.0,55.0,7.4,15.0,0.0987301,1,,1.0,4.0,9.0,1.0,,,2.0,1.0,,3.0,,,5.0,3.0,,,1.0,,0.0329,1.0,YFofana19_,1.0,1.0,3.0,0.1351,,,,,,,
11391402,home,AS Monaco,Denis Zakaria,,,denis-zakaria,D. Zakaria,M,6,191,3221,M,770677,EUR,848448000,M,6,6,False,51.0,47.0,2.0,2.0,23.0,24.0,24.0,27.0,4.0,5.0,,,,,,90.0,71.0,6.7,8.0,0.0127232,1,,2.0,5.0,3.0,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,,,1.0,1.0,0.0365,,,,,,,,,,,,,
11391402,home,AS Monaco,Kassoum Ouattara,,,ouattara-kassoum,K. Ouattara,D,20,176,696,M,1397558,EUR,1097712000,M,20,20,False,31.0,23.0,1.0,,6.0,8.0,18.0,28.0,1.0,3.0,,,,,,82.0,70.0,7.1,23.0,0.299107,1,,,6.0,6.0,1.0,,3.0,4.0,3.0,,4.0,1.0,1.0,4.0,1.0,5.0,1.0,,,0.209,1.0,,1.0,1.0,1.0,0.1638,1.0,,,,,,
11391402,home,AS Monaco,Maghnes Akliouche,,,maghnes-akliouche,M. Akliouche,M,11,183,5917,M,1130939,EUR,1014595200,F,21,21,False,20.0,11.0,,,5.0,9.0,6.0,12.0,,3.0,,,,,,45.0,28.0,6.6,12.0,0.0104032,0,,,6.0,3.0,1.0,,1.0,1.0,,,,1.0,2.0,2.0,1.0,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,
11391402,home,AS Monaco,Aleksandr Golovin,,,aleksandr-golovin,A. Golovin,M,10,180,8439,M,318963,EUR,833414400,F,17,17,False,45.0,36.0,6.0,5.0,7.0,7.0,31.0,44.0,1.0,8.0,,,,,,90.0,62.0,7.6,15.0,0.269214,2,,,4.0,2.0,2.0,,,1.0,,,2.0,1.0,1.0,,,6.0,2.0,,2.0,0.106,1.0,alex_golovin17,1.0,,1.0,,,1.0,,,,,
