match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_crossNotClaimed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_hitWoodwork,stat_goalAssist,stat_bigChanceCreated,stat_outfielderBlock,stat_fouls,stat_keyPass,player_sofascoreId,stat_errorLeadToAGoal,stat_dispossessed,captain,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11077466,home,Leicester City,Daniel Iversen,,,daniel-iversen,D. Iversen,G,1,193,286,M,796986,EUR,869270400,G,31,31,False,22.0,10.0,13.0,1.0,9.0,9.0,1.0,13.0,10.0,1.0,1.0,2.0,3.0,90.0,31.0,6.3,12.0,0.0,0.0,0.00040702,0,-0.5176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11077466,home,Leicester City,Timothy Castagne,,,timothy-castagne,T. Castagne,D,21,185,2321,M,329417,EUR,818121600,D,27,27,False,28.0,23.0,1.0,1.0,16.0,19.0,7.0,10.0,7.0,,,,,90.0,45.0,6.5,8.0,0.0,0.0,0.00633407,0,,1.0,1.0,2.0,4.0,6.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
11077466,home,Leicester City,Harry Souttar,,,harry-souttar,H. Souttar,D,15,198,591,M,808680,EUR,909014400,D,15,15,False,39.0,31.0,4.0,,25.0,29.0,6.0,10.0,2.0,,,,,90.0,51.0,6.6,8.0,0.2193,0.0,0.00154917,2,,,1.0,2.0,1.0,3.0,,,,5.0,3.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11077466,home,Leicester City,Wout Faes,,,wout-faes,W. Faes,D,25,185,1743,M,361696,EUR,891561600,D,3,3,False,45.0,42.0,8.0,5.0,34.0,34.0,8.0,11.0,7.0,,,,,90.0,52.0,7.2,3.0,0.0,0.0,0.00262604,0,,,,,1.0,,,,,2.0,2.0,,,,,,,,,,1.0,1.0,2.0,1.0,2.0,,,,,,,,,
11077466,home,Leicester City,Victor Kristiansen,,,kristiansen-victor,V. Kristiansen,D,16,181,1305,M,1092409,EUR,1039996800,D,16,16,False,32.0,21.0,5.0,1.0,16.0,20.0,5.0,14.0,2.0,,,,,90.0,46.0,6.7,14.0,0.0,0.0,0.00285872,0,,2.0,,,1.0,5.0,,1.0,,,,3.0,2.0,,2.0,,,,,,,,2.0,,,,,,,,,,,
11077466,home,Leicester City,Nampalys Mendy,,,nampalys-mendy,N. Mendy,M,23,168,5158,M,123166,EUR,709257600,M,24,24,False,33.0,23.0,2.0,1.0,13.0,18.0,10.0,15.0,4.0,,,,,90.0,51.0,7.0,14.0,0.0,0.0,0.0312554,0,,,,,2.0,5.0,1.0,2.0,1.0,,2.0,2.0,2.0,2.0,2.0,,,,,,,,1.0,,,papy.mendy,,,,,,,,
11077466,home,Leicester City,Wilfred Ndidi,,,wilfred-ndidi,W. Ndidi,M,4,186,9690,M,787885,EUR,850694400,M,25,25,False,27.0,22.0,,,17.0,19.0,5.0,9.0,8.0,,,,,90.0,39.0,6.2,7.0,0.0253,0.0,0.00251923,1,,1.0,1.0,1.0,5.0,7.0,2.0,1.0,,1.0,1.0,4.0,2.0,,2.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,
11077466,home,Leicester City,Kiernan Dewsbury-Hall,,,dewsbury-hall-kiernan,K. Dewsbury-Hall,M,22,178,10632,M,861970,EUR,905040000,M,22,22,False,20.0,18.0,3.0,3.0,7.0,9.0,11.0,11.0,2.0,,,,,70.0,35.0,6.3,6.0,0.0,0.0,0.0136293,0,,,,,6.0,6.0,2.0,,,,1.0,4.0,2.0,2.0,2.0,,,,,,,,,3.0,1.0,kdh_8,,1.0,,,,,,
11077466,home,Leicester City,James Maddison,,,james-maddison,J. Maddison,M,10,175,15672,M,356398,EUR,848707200,F,10,10,False,15.0,9.0,4.0,2.0,3.0,6.0,9.0,16.0,2.0,,,,,85.0,30.0,7.4,13.0,0.0382,0.2248,0.100722,1,,7.0,,,2.0,3.0,,,,,1.0,2.0,2.0,2.0,1.0,,,,,,,1.0,,1.0,3.0,Madders,,1.0,True,3.0,1.0,,,
11077466,home,Leicester City,Jamie Vardy,,,jamie-vardy,J. Vardy,F,10,178,23077,M,173827,EUR,537321600,F,9,9,False,7.0,3.0,1.0,,1.0,2.0,2.0,5.0,1.0,,,,,76.0,13.0,6.5,6.0,0.0315,0.0,0.00038183,1,,,1.0,1.0,4.0,2.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,,Vardy7,,,,,,,,
