match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_unsuccessfulTouch,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalOffside,stat_keyPass,captain,stat_aerialWon,stat_totalContest,stat_shotOffTarget,stat_wonTackle,stat_fouls,stat_totalCross,stat_errorLeadToAShot,stat_wasFouled,stat_accurateCross,stat_dispossessed,stat_wonContest,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_bigChanceCreated,player_sofascoreId,stat_hitWoodwork,stat_goals
11598400,home,Lincoln City,Lukas Jensen,,,jensen-lukas,L. Jensen,G,1,198.0,76,M,1033351,EUR,921715200,G,1,1,False,23.0,9.0,21.0,7.0,4.0,5.0,5.0,18.0,1.0,6.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,90.0,36.0,6.8,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
11598400,home,Lincoln City,Alex Mitchell,,,alex-mitchell,A. Mitchell,D,15,191.0,45,M,1116202,EUR,1002412800,D,25,25,False,22.0,18.0,3.0,2.0,11.0,12.0,7.0,10.0,1.0,3.0,3.0,1.0,,,,,,90.0,33.0,7.0,4.0,0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11598400,home,Lincoln City,Paudie O’Connor,,,oconnor-paudie,P. O’Connor,D,15,191.0,67,M,806241,EUR,868838400,D,15,15,False,20.0,10.0,6.0,,8.0,9.0,2.0,11.0,3.0,5.0,3.0,1.0,,,,,,90.0,32.0,6.6,11.0,1,2.0,5.0,1.0,,3.0,,,True,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
11598400,home,Lincoln City,Sean Roughan,Sean Roughan,,sean-roughan,S. Roughan,D,23,175.0,113,M,1064269,EUR,1062288000,D,23,23,False,26.0,16.0,12.0,4.0,10.0,14.0,6.0,13.0,3.0,2.0,6.0,1.0,2.0,,,,,90.0,50.0,6.9,20.0,0,,2.0,1.0,1.0,3.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
11598400,home,Lincoln City,Lasse Sørensen,,,lasse-sorensen,L. Sørensen,D,2,185.0,75,M,826063,EUR,940464000,M,2,2,False,20.0,12.0,5.0,2.0,3.0,5.0,10.0,19.0,2.0,2.0,4.0,2.0,4.0,,,,,90.0,38.0,6.8,16.0,1,,2.0,1.0,,,,5.0,,,,1.0,1.0,,4.0,,,1.0,1.0,,,,,,,,
11598400,home,Lincoln City,Ethan Hamilton,,,ethan-hamilton,E. Hamilton,M,48,187.0,61,M,992410,EUR,908668800,M,11,11,False,22.0,18.0,3.0,,7.0,8.0,11.0,18.0,7.0,1.0,6.0,2.0,1.0,,,,,90.0,44.0,6.9,10.0,4,,5.0,2.0,1.0,,,,,1.0,3.0,1.0,2.0,2.0,4.0,,2.0,,,2.0,3.0,,,,,,
11598400,home,Lincoln City,Ethan Erhahon,,,ethan-erhahon,E. Erhahon,M,21,173.0,43,M,892163,EUR,989366400,M,6,6,False,30.0,24.0,3.0,1.0,14.0,16.0,10.0,14.0,5.0,,8.0,5.0,1.0,,,,,90.0,41.0,7.0,7.0,1,,3.0,3.0,1.0,2.0,,,,,,,3.0,,,,,,,,1.0,,,,,,
11598400,home,Lincoln City,Jack Burroughs,,,jack-burroughs,J. Burroughs,M,2,188.0,52,M,958725,EUR,985132800,M,16,16,False,17.0,12.0,3.0,,10.0,11.0,2.0,6.0,4.0,3.0,11.0,3.0,3.0,,,,,90.0,35.0,7.0,9.0,1,,4.0,3.0,1.0,2.0,,,,,,,2.0,,,,1.0,,1.0,,,1.0,,,,,
11598400,home,Lincoln City,Reeco Hackett-Fairchild,,,reeco-hackett-fairchild,R. Hackett-Fairchild,M,7,191.0,58,M,892954,EUR,884304000,F,7,7,False,20.0,14.0,2.0,,8.0,8.0,6.0,13.0,8.0,3.0,5.0,3.0,3.0,,,,,78.0,38.0,7.0,11.0,4,3.0,7.0,3.0,1.0,,,1.0,,3.0,2.0,1.0,1.0,,1.0,,1.0,,,1.0,,3.0,1.0,,,,
11598400,home,Lincoln City,Hakeeb Adelakun,,,hakeeb-adelakun,H. Adelakun,F,47,190.0,59,M,303450,EUR,834451200,F,21,21,False,9.0,5.0,1.0,,2.0,3.0,3.0,7.0,2.0,,4.0,1.0,2.0,,,,,78.0,23.0,6.6,12.0,1,,2.0,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,
