match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,player_firstName,player_lastName,stat_outfielderBlock,player_sofascoreId,stat_shotOffTarget,stat_aerialLost,stat_totalContest,stat_bigChanceMissed,stat_unsuccessfulTouch,stat_wasFouled,captain,stat_blockedScoringAttempt,stat_penaltyWon,stat_keyPass,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals
10388358,home,VfB Stuttgart,Fabian Bredlow,fabian-bredlow,F. Bredlow,G,1,191,219,M,152463,EUR,794102400,G,33,33,False,38.0,36.0,5.0,3.0,36.0,36.0,2.0,1.0,8.0,1.0,1.0,1.0,1.0,90.0,46.0,6.1,2.0,0.0,0.0,0.00018635,0,0.1773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388358,home,VfB Stuttgart,Waldemar Anton,waldemar-anton,W. Anton,D,3,189,2193,M,799046,EUR,837820800,D,2,2,False,60.0,48.0,10.0,3.0,37.0,41.0,20.0,3.0,9.0,,1.0,,,90.0,73.0,6.3,15.0,0.0,0.0,0.00709836,0,,11.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10388358,home,VfB Stuttgart,Dan-Axel Zagadou,dan-axel-zagadou,D. Zagadou,D,23,196,1086,M,826205,EUR,928368000,D,23,23,False,88.0,79.0,13.0,11.0,54.0,59.0,29.0,,7.0,,,,,90.0,95.0,7.5,9.0,0.0,0.0,0.00856504,0,,25.0,,5.0,5.0,,,3.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,
10388358,home,VfB Stuttgart,Hiroki Itō,hiroki-ito,H. Itō,D,21,188,6725,M,873106,EUR,926467200,D,21,21,False,89.0,79.0,10.0,5.0,62.0,65.0,25.0,2.0,9.0,,,,,90.0,102.0,7.2,12.0,0.0238,0.0,0.0137045,1,,17.0,1.0,,3.0,1.0,1.0,2.0,3.0,3.0,3.0,,,1.0,hiroki_ito38,1.0,,,,,,,,,,,,,,
10388358,home,VfB Stuttgart,Josha Vagnoman,josha-vagnoman,J. Vagnoman,D,4,186,549,M,906278,EUR,976492800,M,4,4,False,24.0,21.0,,,12.0,13.0,13.0,5.0,5.0,,,,,90.0,43.0,6.3,10.0,0.2227,0.0,0.0726518,1,,9.0,2.0,2.0,5.0,2.0,1.0,1.0,,2.0,1.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,
10388358,home,VfB Stuttgart,Atakan Karazor,atakan-karazor,A. Karazor,M,16,190,1082,M,801030,EUR,845164800,M,16,16,False,52.0,47.0,3.0,2.0,31.0,32.0,20.0,3.0,4.0,,1.0,,,90.0,63.0,6.9,7.0,0.0,0.0,0.178634,0,,16.0,,,4.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,1.0,3.0,,,,,,,,,
10388358,home,VfB Stuttgart,Wataru Endo,wataru-endo,W. Endo,M,3,178,19849,M,143040,EUR,729216000,M,3,3,False,55.0,45.0,3.0,,29.0,34.0,21.0,5.0,3.0,,1.0,,,90.0,67.0,6.8,13.0,0.0942,0.0,0.0556043,2,,16.0,,1.0,4.0,1.0,2.0,1.0,,1.0,,,,,endowataru,1.0,1.0,,,1.0,2.0,True,1.0,1.0,1.0,,,,,
10388358,home,VfB Stuttgart,Borna Sosa,borna-sosa,B. Sosa,M,24,187,3743,M,357584,EUR,885340800,M,24,24,False,59.0,51.0,5.0,3.0,25.0,29.0,34.0,2.0,1.0,,1.0,,,89.0,70.0,6.9,12.0,0.0,0.0,0.115889,0,,27.0,4.0,1.0,2.0,,1.0,1.0,,1.0,1.0,,,,BornaSosa,,,,,,,,,,1.0,1.0,,,,
10388358,home,VfB Stuttgart,Tiago Tomás,tiago-tomas,T. Tomás,F,8,180,1353,M,983540,EUR,1024185600,F,10,10,False,6.0,4.0,,,,,10.0,3.0,1.0,,,,,74.0,23.0,6.7,8.0,0.0408,0.0,0.086568,1,,5.0,4.0,,5.0,1.0,1.0,,,,,,,,,,,1.0,,1.0,5.0,,1.0,,1.0,1.0,,,,
10388358,home,VfB Stuttgart,Silas,silas-katompa-mvumpa,S. K. Mvumpa,M,26,189,7725,M,949062,EUR,907632000,F,14,14,False,12.0,11.0,,,3.0,3.0,10.0,4.0,7.0,,2.0,,,64.0,26.0,6.9,6.0,0.0,0.0,0.247991,0,,8.0,1.0,,4.0,,1.0,,,,,,,,silas,,,4.0,,1.0,1.0,,,,1.0,,3.0,,,
