match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_goals,stat_outfielderBlock,stat_keyPass,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_totalOffside,captain,stat_fouls,stat_goalAssist,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
10434212,home,Shrewsbury Town,Marko Maroši,Marko,Maroši,marko-marosi,M. Maroši,G,33,190.0,48,M,359402,EUR,751334400,G,1,1,False,39.0,22.0,33.0,16.0,10.0,11.0,12.0,28.0,1.0,8.0,1.0,1.0,1.0,1.0,90.0,45.0,6.4,17.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434212,home,Shrewsbury Town,Matthew Pennington,,,matthew-pennington,M. Pennington,D,28,185.0,46,M,371366,EUR,781401600,D,5,5,False,57.0,45.0,11.0,6.0,27.0,31.0,18.0,26.0,4.0,13.0,,,,,90.0,91.0,6.9,17.0,5,2.0,4.0,6.0,6.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
10434212,home,Shrewsbury Town,Chey Dunkley,,,chey-dunkley,C. Dunkley,D,22,188.0,43,M,257983,EUR,697939200,D,22,22,False,36.0,26.0,11.0,6.0,18.0,23.0,8.0,13.0,3.0,6.0,,,,,90.0,52.0,8.2,10.0,2,3.0,1.0,3.0,3.0,,,,1.0,,5.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,
10434212,home,Shrewsbury Town,Tom Flanagan,Tom,Flanagan,tom-flanagan,T. Flanagan,D,6,188.0,26,M,79694,EUR,695606400,D,33,33,False,43.0,33.0,12.0,4.0,21.0,27.0,12.0,16.0,3.0,6.0,,,,,90.0,60.0,6.8,11.0,2,2.0,3.0,4.0,6.0,1.0,,,1.0,,2.0,1.0,,,2.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,
10434212,home,Shrewsbury Town,Rekeil Pyke,,,rekeil-pyke,R. Pyke,F,19,178.0,9,M,863649,EUR,873072000,M,15,15,False,21.0,13.0,1.0,1.0,7.0,9.0,6.0,15.0,,2.0,,,,,84.0,47.0,6.9,15.0,4,3.0,4.0,6.0,7.0,,,,1.0,3.0,1.0,1.0,,1.0,4.0,1.0,,,,,2.0,1.0,3.0,,,,,,,
10434212,home,Shrewsbury Town,Tom Bayliss,,,tom-bayliss,T. Bayliss,M,8,183.0,32,M,890092,EUR,923356800,M,20,20,False,40.0,29.0,4.0,2.0,9.0,12.0,22.0,31.0,,3.0,,,,,90.0,53.0,7.0,16.0,1,,,1.0,4.0,,1.0,,,,,3.0,2.0,2.0,,,,1.0,,,3.0,1.0,3.0,2.0,1.0,,,,,
10434212,home,Shrewsbury Town,Luke Leahy,,,luke-leahy,L. Leahy,M,10,178.0,42,M,255013,EUR,722131200,M,3,3,False,46.0,37.0,10.0,3.0,15.0,15.0,25.0,36.0,2.0,6.0,,,,,90.0,65.0,8.0,12.0,2,2.0,,4.0,3.0,1.0,1.0,,2.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,5.0,1.0,5.0,3.0,,True,,,,
10434212,home,Shrewsbury Town,Taylor Moore,,,taylor-moore,T. Moore,D,4,184.0,21,M,548190,EUR,863395200,M,6,6,False,31.0,23.0,5.0,,19.0,22.0,4.0,9.0,,5.0,,,,,45.0,37.0,6.5,10.0,1,4.0,2.0,4.0,3.0,,,,,,,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,,
10434212,home,Shrewsbury Town,Jordan Shipley,Jordan,Shipley,jordan-shipley,J. Shipley,M,26,183.0,32,M,842101,EUR,875232000,M,26,26,False,30.0,21.0,2.0,,12.0,14.0,10.0,20.0,,7.0,,,,,90.0,45.0,6.9,13.0,2,1.0,2.0,1.0,4.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,2.0,,4.0,1.0,,,1.0,,,
10434212,home,Shrewsbury Town,Tom Bloxham,Tom Bloxham,,tom-bloxham,T. Bloxham,F,14,196.0,81,M,1067951,EUR,1067731200,F,18,18,False,9.0,5.0,,,3.0,3.0,2.0,7.0,,,,,,,45.0,18.0,6.3,11.0,0,2.0,1.0,4.0,1.0,1.0,1.0,,,,,,,5.0,,,,,,,,,1.0,,,,,,,
