match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_ownGoals,stat_unsuccessfulTouch,stat_duelWon,stat_clearanceOffLine,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_aerialWon,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_totalCross,stat_accurateCross,stat_wonContest,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle,stat_bigChanceMissed,stat_hitWoodwork,stat_bigChanceCreated
12451019,home,Nice,Marcin Bułka,marcin-bulka,M. Bułka,G,99,198,4805,M,marcinbulka1,889590,EUR,938995200,G,1,1,False,31.0,16.0,22.0,8.0,0.0,14.0,22.0,2.0,9.0,1.0,11.0,3.0,7.0,1.0,90.0,44.0,8.0,15.0,0.00018159,0,-0.2829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451019,home,Nice,Moise Bombito,bombito-moise,M. Bombito,D,64,190,602,M,,1469180,EUR,954374400,D,64,64,False,12.0,11.0,,,0.0,9.0,10.0,2.0,2.0,7.0,1.0,,,,90.0,23.0,6.6,2.0,0.00101717,0,,Moise Bombito,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451019,home,Nice,Youssouf Ndayishimiye,youssouf-ndayishimiye,Y. Ndayishimiye,D,55,183,1788,M,,985934,EUR,909446400,D,55,55,False,9.0,9.0,,,0.0,7.0,7.0,2.0,2.0,5.0,2.0,,,,57.0,23.0,7.5,1.0,0.00091849,0,,,,3.0,5.0,1.0,,,1.0,5.0,1.0,2.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12451019,home,Nice,Dante,dante,Dante,D,4,188,1257,M,,3577,EUR,435283200,D,4,4,False,36.0,34.0,4.0,2.0,0.0,29.0,29.0,5.0,7.0,5.0,7.0,,,,90.0,55.0,6.7,8.0,0.00109883,2,,,,,5.0,1.0,1.0,,2.0,6.0,,,2.0,1.0,1.0,True,3.0,1.0,2.0,1.0,1.0,1.0,0.1225,,,,,,,,,,,,,,
12451019,home,Nice,Jonathan Clauss,jonathan-clauss,J. Clauss,M,92,178,2004,M,,821728,EUR,717379200,M,92,92,False,27.0,21.0,1.0,,0.0,10.0,11.0,15.0,24.0,5.0,3.0,,,,90.0,52.0,7.3,12.0,0.382348,0,,,,1.0,4.0,2.0,2.0,,2.0,3.0,,1.0,1.0,,1.0,,1.0,,1.0,,,,,8.0,4.0,1.0,3.0,,,,,,,,,,
12451019,home,Nice,Hicham Boudaoui,hicham-boudaoui,H. Boudaoui,M,6,176,11417,M,hicham_boudaoui,985923,EUR,938044800,M,6,6,False,26.0,23.0,4.0,2.0,0.0,12.0,14.0,11.0,12.0,3.0,5.0,,,,90.0,49.0,6.5,11.0,0.0142937,1,,,,1.0,7.0,1.0,,,3.0,5.0,,1.0,4.0,1.0,1.0,,,3.0,1.0,1.0,,1.0,0.0284,,,,,,,,,,,,,,
12451019,home,Nice,Tanguy Ndombélé,tanguy-ndombele,T. Ndombélé,M,22,181,2715,M,,845486,EUR,851731200,M,22,22,False,30.0,27.0,2.0,1.0,0.0,15.0,15.0,12.0,15.0,,4.0,,,,87.0,47.0,7.1,7.0,0.0126751,0,,,,,4.0,,2.0,,,9.0,,,6.0,4.0,,,,2.0,4.0,,,1.0,,,,2.0,,,,,,,,,,,
12451019,home,Nice,Ali Abdi,ali-abdi,A. Abdi,M,2,183,4213,M,,919027,EUR,756345600,M,2,2,False,26.0,18.0,4.0,1.0,0.0,8.0,13.0,10.0,13.0,3.0,5.0,,,,90.0,51.0,7.7,13.0,0.00570399,3,,,,1.0,6.0,2.0,,,2.0,6.0,,2.0,3.0,2.0,2.0,,2.0,1.0,,1.0,,1.0,0.0633,,,,1.0,2.0,1.0,0.2354,,,,,,,
12451019,home,Nice,Evann Guessand,evann-guessand,E. Guessand,F,29,185,5228,M,,930245,EUR,993945600,F,29,29,False,21.0,17.0,1.0,,0.0,9.0,10.0,8.0,12.0,1.0,3.0,,,,88.0,40.0,6.6,13.0,0.0257644,0,,,,1.0,6.0,,1.0,,3.0,6.0,,,1.0,1.0,,,1.0,2.0,5.0,,,2.0,,1.0,,2.0,,,,,,,,,,,
12451019,home,Nice,Jérémie Boga,jeremie-boga,J. Boga,F,13,172,4912,M,jeremieboga,367056,EUR,852249600,F,7,7,False,26.0,22.0,,,0.0,10.0,10.0,12.0,16.0,,4.0,,,,76.0,36.0,6.7,9.0,0.0290482,1,,,,,3.0,,,,1.0,3.0,,,,,,,1.0,1.0,4.0,,1.0,,0.0352,,,2.0,1.0,,,,,,,,,,
12451019,home,Nice,Mohamed-Ali Cho,mohamed-ali-cho,M. Cho,F,25,182,1757,M,,1063235,EUR,1074470400,F,25,25,False,17.0,13.0,1.0,1.0,0.0,4.0,5.0,9.0,13.0,1.0,3.0,,,,77.0,26.0,6.8,8.0,0.120563,2,,,,1.0,3.0,,,,1.0,3.0,,,,,,,2.0,1.0,1.0,,1.0,1.0,0.2026,1.0,,,2.0,1.0,,0.9041,2.0,,,,,,
12451019,home,Nice,Antoine Mendy,mendy-antoine,A. Mendy,D,5,186,6281,M,,1120615,EUR,1085529600,D,33,33,True,10.0,8.0,1.0,,0.0,7.0,7.0,1.0,3.0,3.0,2.0,,,,33.0,17.0,6.7,3.0,0.00068437,0,,,,,1.0,1.0,,,,3.0,,,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,
12451019,home,Nice,Youssoufa Moukoko,youssoufa-moukoko,Y. Moukoko,F,9,179,12001,M,youssoufa_10,997006,EUR,1100908800,F,15,15,True,5.0,3.0,,,0.0,2.0,2.0,2.0,4.0,,1.0,,,,14.0,8.0,6.7,2.0,0.0576146,0,,,,,1.0,,,,,2.0,,,1.0,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,
12451019,home,Nice,Sofiane Diop,sofiane-diop,S. Diop,M,10,175,3842,M,,944164,EUR,960508800,M,10,10,True,6.0,6.0,,,0.0,6.0,6.0,,,1.0,2.0,,,,13.0,8.0,6.7,,0.00023688,0,,,,,,,,,,2.0,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,
12451019,home,Nice,Pablo Rosario,pablo-rosario,P. Rosario,M,13,188,1208,M,,804472,EUR,852595200,M,8,8,True,1.0,1.0,,,0.0,,,1.0,1.0,1.0,,,,,9.0,3.0,6.5,,0.0004226,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
