match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_blockedScoringAttempt,stat_totalTackle,stat_unsuccessfulTouch,stat_aerialLost,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_totalCross,stat_wonContest,stat_wasFouled,stat_fouls,stat_keyPass,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalOffside,stat_goals
12476419,home,Portsmouth,Will Norris,,,will-norris,W. Norris,G,50,195,65,M,365296,EUR,745113600,G,1,1,False,True,44.0,29.0,21.0,6.0,0.0,23.0,25.0,6.0,19.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,90.0,50.0,6.5,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,
12476419,home,Portsmouth,Jordan Williams,,,jordan-williams,J. Williams,D,2,179,50,M,826146,EUR,940550400,D,2,2,False,,55.0,50.0,5.0,3.0,0.0,34.0,35.0,16.0,20.0,,3.0,,,,,,64.0,61.0,6.4,8.0,1,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12476419,home,Portsmouth,Ryley Towler,Ryley Towler,,ryley-towler,R. Towler,D,6,187,53,M,1064344,EUR,988761600,D,4,4,False,,67.0,55.0,12.0,4.0,0.0,48.0,56.0,7.0,11.0,4.0,6.0,,,,,,90.0,81.0,6.7,12.0,3,3.0,3.0,4.0,,,,1.0,,3.0,1.0,3.0,1.0,3.0,1.0,,,,,,,,,,,
12476419,home,Portsmouth,Connor Ogilvie,Connor,Ogilvie,connor-ogilvie,C. Ogilvie,D,3,183,70,M,284427,EUR,824256000,D,3,3,False,,54.0,39.0,6.0,3.0,0.0,23.0,29.0,16.0,27.0,1.0,,,,,,,90.0,88.0,7.2,24.0,1,7.0,4.0,10.0,,2.0,1.0,,,2.0,,,2.0,2.0,,2.0,1.0,2.0,1.0,,,,,,,
12476419,home,Portsmouth,Zak Swanson,,,zak-swanson,Z. Swanson,D,22,189,96,M,993445,EUR,970099200,M,22,22,False,,65.0,53.0,7.0,1.0,0.0,35.0,35.0,18.0,31.0,1.0,3.0,,,,,,90.0,87.0,6.9,20.0,0,,4.0,3.0,2.0,,,2.0,2.0,2.0,,,,3.0,2.0,1.0,,1.0,,1.0,,,,,,
12476419,home,Portsmouth,Terry Devlin,,,terry-devlin,T. Devlin,M,24,180,119,M,1198145,EUR,1068076800,M,24,24,False,,38.0,24.0,3.0,,0.0,14.0,21.0,12.0,21.0,3.0,1.0,,,,,,90.0,71.0,6.7,22.0,1,9.0,7.0,11.0,3.0,2.0,,1.0,,2.0,,1.0,,,1.0,4.0,1.0,1.0,1.0,1.0,2.0,,,,,
12476419,home,Portsmouth,Ben Stevenson,,,ben-stevenson,B. Stevenson,M,26,183,24,M,816806,EUR,859075200,M,14,14,False,,49.0,42.0,7.0,4.0,0.0,19.0,21.0,27.0,37.0,1.0,3.0,,,,,,90.0,68.0,7.4,12.0,0,,2.0,7.0,,,,4.0,,1.0,,,,1.0,,9.0,,3.0,,4.0,4.0,1.0,1.0,,,
12476419,home,Portsmouth,Samuel Silvera,,,samuel-silvera,S. Silvera,M,22,179,210,M,991166,EUR,972432000,M,20,20,False,,18.0,16.0,4.0,4.0,0.0,3.0,3.0,14.0,16.0,,3.0,,,,,,76.0,47.0,6.5,18.0,1,,13.0,9.0,5.0,11.0,1.0,,6.0,,,,,1.0,,1.0,6.0,3.0,2.0,1.0,1.0,1.0,,,,
12476419,home,Portsmouth,Gavin Whyte,,,gavin-whyte,G. Whyte,F,11,178,34,M,573696,EUR,823046400,F,11,11,False,,8.0,5.0,,,0.0,,,5.0,9.0,,3.0,,,,,,64.0,14.0,6.1,8.0,0,,4.0,,1.0,1.0,,,2.0,,,,,,,1.0,,,1.0,,,1.0,,,,
12476419,home,Portsmouth,Tom Lowery,,,tom-lowery,T. Lowery,M,18,168,42,M,845572,EUR,883526400,F,26,26,False,,21.0,17.0,2.0,2.0,0.0,9.0,11.0,8.0,10.0,1.0,4.0,,,,,,66.0,30.0,6.6,7.0,0,1.0,7.0,3.0,3.0,,,1.0,,2.0,,,,1.0,,,,1.0,3.0,,,,,,,
