match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,captain,stat_totalContest,stat_wonContest,stat_wasFouled,stat_accurateCross,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_keyPass,stat_blockedScoringAttempt,stat_clearanceOffLine
10913442,home,Al-Fateh,Jacob Rinne,,,jacob-rinne,J. Rinne,G,35,188,92,M,289025,EUR,740534400,G,1,1,False,31.0,22.0,14.0,6.0,18.0,19.0,4.0,12.0,14.0,3.0,5.0,1.0,1.0,90.0,45.0,8.1,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913442,home,Al-Fateh,Ahmed Al-Julaydan,,,al-julaydan-ahmed,A. Al-Jelidan,D,32,170,199,M,1475443,EUR,1078704000,D,42,42,False,30.0,24.0,5.0,1.0,19.0,20.0,5.0,11.0,1.0,,,,,45.0,44.0,6.5,11.0,0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10913442,home,Al-Fateh,Fran Vélez,,,fran-velez,F. Vélez,D,,182,101,M,113431,EUR,677635200,D,4,4,False,80.0,66.0,15.0,7.0,48.0,51.0,18.0,29.0,7.0,,,,,90.0,93.0,7.4,14.0,0,,4.0,,6.0,1.0,,1.0,3.0,1.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,
10913442,home,Al-Fateh,Marwane Saadane,,,marwane-saadane,M. Saadane,D,17,185,1277,M,847714,EUR,695606400,D,17,17,False,74.0,65.0,10.0,5.0,42.0,45.0,23.0,29.0,12.0,,,,,90.0,91.0,7.8,10.0,0,,5.0,2.0,8.0,2.0,,1.0,2.0,4.0,9.0,1.0,3.0,2.0,True,1.0,1.0,1.0,,,,,,,,,,,,
10913442,home,Al-Fateh,Tawfiq Buhumaid,,,tawfiq-buhumaid,T. Buhumaid,D,25,179,6,M,871425,EUR,562464000,D,25,25,False,59.0,49.0,12.0,7.0,18.0,19.0,32.0,43.0,9.0,,,,,90.0,82.0,6.8,17.0,0,3.0,8.0,4.0,,,1.0,,1.0,,9.0,,3.0,2.0,,3.0,2.0,4.0,1.0,2.0,,,,,,,,,,
10913442,home,Al-Fateh,Sofiane Bendebka,,,sofiane-bendebka,S. Bendebka,M,28,180,1218,M,845609,EUR,713318400,M,28,28,False,63.0,53.0,8.0,5.0,29.0,31.0,24.0,32.0,5.0,,,,,90.0,85.0,7.2,14.0,4,,7.0,1.0,2.0,2.0,,2.0,,2.0,11.0,1.0,3.0,3.0,,4.0,3.0,3.0,,3.0,2.0,3.0,1.0,1.0,,,,,,
10913442,home,Al-Fateh,Mohammed Petros,,,petros,Petros,M,,182,273,M,552678,EUR,612403200,M,6,6,False,66.0,62.0,6.0,5.0,34.0,35.0,28.0,31.0,11.0,,,,,90.0,84.0,7.0,9.0,0,,9.0,4.0,,2.0,,1.0,1.0,,7.0,,3.0,3.0,,4.0,2.0,2.0,,1.0,,,,,,,,,,
10913442,home,Al-Fateh,Mourad Batna,,,batna-mourad,M. Batna,M,11,185,1192,M,880790,EUR,646444800,M,11,11,False,28.0,25.0,,,10.0,10.0,17.0,25.0,4.0,,,,,90.0,58.0,9.3,13.0,1,7.0,7.0,1.0,,,1.0,1.0,1.0,2.0,14.0,,2.0,2.0,,8.0,6.0,4.0,2.0,2.0,,,1.0,2.0,1.0,3.0,1.0,5.0,,
10913442,home,Al-Fateh,Cristian Tello,,,cristian-tello,C. Tello,M,,178,644,M,114157,EUR,681868800,M,37,37,False,42.0,37.0,2.0,,11.0,12.0,26.0,35.0,6.0,,,,,90.0,67.0,6.7,17.0,4,5.0,7.0,3.0,,2.0,3.0,1.0,,,4.0,,,,,5.0,4.0,,,2.0,,,1.0,,,1.0,,1.0,3.0,
10913442,home,Al-Fateh,Khalid Al-Ghannam,,,khalid-al-ghannam,K. Al-Ghannam,M,17,171,713,M,976538,EUR,973641600,M,19,19,False,25.0,17.0,2.0,1.0,5.0,6.0,12.0,20.0,3.0,,,,,70.0,42.0,6.2,17.0,1,1.0,7.0,2.0,,,4.0,1.0,,,6.0,,1.0,1.0,,6.0,4.0,1.0,,2.0,1.0,,1.0,,,,,,,
