match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_ownGoals,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_outfielderBlock,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,player_firstName,player_lastName,stat_dispossessed,stat_totalContest,stat_lastManTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_wonContest,stat_blockedScoringAttempt,stat_wasFouled,stat_totalOffside,stat_savedShotsFromInsideTheBox
13981615,home,Hellas Verona,Amin Sarr,sarr-amin,A. Sarr,F,9,190,942,M,1022204,EUR,984268800,F,9,9,True,,6.0,5.0,,,0.0,3.0,3.0,2.0,3.0,,,,,,,22.0,9.0,6.5,2.0,0.0115977,6.3379315237702,1.0,-0.42000000000002,-0.42000000000002,,0,,0.11,0.02,0.13,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,
13981615,home,Hellas Verona,Daniel Mosquera,daniel-mosquera,D. Mosquera,F,25,180,1031,M,1018179,EUR,940377600,F,25,25,True,,6.0,5.0,,,0.0,1.0,2.0,4.0,4.0,,1.0,,,,,22.0,10.0,6.6,2.0,0.0991742,17.872087273816,3.0,-13.755,-3.36,,1,,0.38,-0.07,0.13,,,2.0,2.0,3.0,3.0,,,1.0,,,,,,0.0375,-0.14,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,
13981615,home,Hellas Verona,Unai Núñez,unai-nunez,U. Núñez,D,4,186,733,M,892521,EUR,854582400,D,5,5,True,,12.0,10.0,2.0,1.0,0.0,3.0,3.0,7.0,9.0,1.0,1.0,,,,,14.0,14.0,6.3,2.0,0.00464307,8.8164503061039,1.0,8.19,8.19,,0,,0.1,0.01,-0.17,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981615,home,Hellas Verona,Suat Serdar,suat-serdar,S. Serdar,M,8,183,687,M,800408,EUR,860716800,M,8,8,True,,9.0,7.0,,,0.0,2.0,3.0,5.0,6.0,,1.0,,,,,14.0,9.0,6.4,2.0,0.0052327,,,,,,0,,-0.04,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981615,home,Hellas Verona,Mutassim Al-Musrati,mutassim-al-musrati,M. Al-Musrati,M,73,189,2821,M,868958,EUR,828748800,M,73,73,True,,4.0,2.0,2.0,,0.0,,,2.0,4.0,,,,,,,9.0,4.0,6.5,2.0,0.00053316,21.401705392878,2.0,8.295,6.09,,0,,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981615,home,Hellas Verona,Simone Perilli,simone-perilli,S. Perilli,G,34,195,110,M,253369,EUR,789436800,G,34,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981615,home,Hellas Verona,Giacomo Toniolo,giacomo-toniolo,G. Toniolo,G,94,192,50,M,1137380,EUR,1080777600,G,94,94,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981615,home,Hellas Verona,Fallou Cham,fallou-cham,F. Cham,D,70,185,247,M,1945133,EUR,1139875200,D,70,70,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Fallou Cham,,,,,,,,,,,,,,,,,
13981615,home,Hellas Verona,Enzo Ebosse,enzo-ebosse,E. Ebosse,D,77,185,507,M,848279,EUR,921110400,D,23,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981615,home,Hellas Verona,Daniel Oyegoke,daniel-oyegoke,D. Oyegoke,D,2,188,170,M,998830,EUR,1041552000,D,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
