match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_outfielderBlock,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_blockedScoringAttempt,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoalsOnTarget,stat_bigChanceCreated,player_firstName,player_lastName,stat_goals,player_sofascoreId,stat_totalOffside,stat_errorLeadToAGoal,stat_goodHighClaim
12530831,home,Başakşehir FK,Muhammed Şengezer,muhammed-sengezer,M. Şengezer,G,16,185,464,M,827418,EUR,852422400,G,16,16,False,34.0,31.0,12.0,9.0,0.0,26.0,26.0,5.0,8.0,1.0,1.0,7.0,1.0,1.0,2.0,2.0,2.0,90.0,37.0,7.5,3.0,0.00616781,0,0.0892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530831,home,Başakşehir FK,Léo Duarte,leo-duarte,L. Duarte,D,5,183,505,M,839982,EUR,837561600,D,5,5,False,39.0,29.0,5.0,1.0,0.0,19.0,20.0,10.0,19.0,4.0,5.0,4.0,,,,,,90.0,58.0,7.1,14.0,0.0158536,1,,True,2.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0519,1.0,,,,,,,,,,,,,,,,,,,
12530831,home,Başakşehir FK,Ousseynou Ba,ousseynou-ba,O. Ba,D,27,192,385,M,889430,EUR,816048000,D,27,27,False,54.0,48.0,5.0,1.0,0.0,39.0,41.0,9.0,13.0,4.0,9.0,3.0,,,,,,90.0,74.0,7.9,6.0,0.00445284,1,,,1.0,3.0,,1.0,8.0,1.0,5.0,3.0,,2.0,0.0763,,2.0,,,,,,,,,,,,,,,,,,
12530831,home,Başakşehir FK,Jerome Opoku,opoku-jerome,J. Opoku,D,3,194,1395,M,920514,EUR,908323200,D,3,3,False,53.0,49.0,7.0,4.0,0.0,41.0,43.0,8.0,10.0,3.0,5.0,2.0,1.0,,,,,90.0,61.0,7.2,4.0,0.0444661,2,,,,1.0,,2.0,3.0,,1.0,,,1.0,0.1452,,,,,,,,,,,,,,,,,,,,
12530831,home,Başakşehir FK,Lucas Lima,lucas-lima,L. Lima,D,3,178,140,M,248529,EUR,687052800,D,6,6,False,39.0,30.0,7.0,5.0,0.0,14.0,19.0,17.0,24.0,3.0,5.0,3.0,,,,,,90.0,61.0,7.0,18.0,0.0539128,0,,,1.0,5.0,,,4.0,,2.0,2.0,2.0,1.0,,,,4.0,1.0,1.0,2.0,,,,,,,,,,,,,,
12530831,home,Başakşehir FK,Onur Ergün,onur-ergun,O. Ergün,M,4,185,45,M,893009,EUR,721785600,M,4,4,False,29.0,24.0,2.0,2.0,0.0,12.0,15.0,12.0,14.0,1.0,2.0,5.0,,,,,,90.0,33.0,6.8,5.0,0.00984218,1,,,,1.0,,,1.0,,1.0,,,1.0,0.033,1.0,,,,,,1.0,,,,,,,,,,,,,
12530831,home,Başakşehir FK,Deniz Türüç,deniz-turuc,D. Türüç,M,9,175,292,M,252207,EUR,728265600,M,23,23,False,29.0,24.0,9.0,5.0,0.0,12.0,14.0,15.0,24.0,1.0,6.0,1.0,3.0,,,,,89.0,53.0,7.5,15.0,0.125796,4,,,,3.0,1.0,1.0,1.0,,1.0,1.0,2.0,,0.3129,2.0,,9.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.6458,,,,,,,,
12530831,home,Başakşehir FK,Olivier Kemen,olivier-kemen,O. Kemen,M,8,177,827,M,280447,EUR,837820800,M,8,8,False,27.0,19.0,1.0,1.0,2.0,6.0,9.0,14.0,21.0,1.0,5.0,8.0,2.0,,,,,90.0,40.0,8.1,12.0,0.399292,3,,,4.0,7.0,1.0,3.0,1.0,,,,2.0,2.0,0.9139,5.0,,3.0,1.0,,2.0,,2.0,3.0,,1.0,,1.0,,,,,,,
12530831,home,Başakşehir FK,Miguel Crespo,miguel-crespo,M. Crespo,M,13,187,618,M,972410,EUR,842400000,M,13,13,False,23.0,18.0,4.0,2.0,0.0,8.0,9.0,12.0,18.0,,3.0,2.0,2.0,,,,,78.0,40.0,8.1,9.0,0.413664,1,,,1.0,3.0,,,1.0,,1.0,1.0,1.0,1.0,0.4593,2.0,2.0,4.0,2.0,1.0,,,,,1.0,,0.9833,2.0,,,1.0,,,,
12530831,home,Başakşehir FK,Davidson,davidson,Davidson,M,,177,353,M,814334,EUR,668131200,M,91,91,False,14.0,10.0,2.0,1.0,0.0,4.0,4.0,6.0,12.0,2.0,11.0,2.0,4.0,,,,,71.0,31.0,7.9,8.0,0.0488165,2,,,2.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,,0.124,1.0,,2.0,,,1.0,,1.0,,1.0,,0.1536,,,,,,,,
